Location,CowTagID,lat,lon,Season,Parameters,Maximum,Minimum,Range,MeanSeasonal,MeanAll,CVSeasonal,CVAll
Varari,V1,-17.53975298,-149.900506,Dry,Salinity,36.52,36.22,0.30000000000000426,36.4,36.48125,0.0035253436913773675,0.004280378047766802
Varari,V1,-17.53975298,-149.900506,Dry,Temperature,28.44,27.1,1.3399999999999999,27.705000000000002,28.243750000000002,0.02286147595971395,0.026891257194519836
Varari,V1,-17.53975298,-149.900506,Dry,TA,2377.029989,2309.516077,67.51391199999989,2339.726749,2344.84593925,0.011962247765351644,0.008855289716491351
Varari,V1,-17.53975298,-149.900506,Dry,pH,8.065993322640152,8.014044470618156,0.051948852021995506,8.041593861599743,7.998135182537688,0.002977831097233636,0.007638312192803674
Varari,V1,-17.53975298,-149.900506,Dry,Phosphate_umolL,0.23,0.2,0.03,0.215,0.190191126,0.06004625342957236,0.16039345526132157
Varari,V1,-17.53975298,-149.900506,Dry,Silicate_umolL,5.11,0.91,4.2,2.5,2.347206797375,0.7317704558124768,0.7252863975459962
Varari,V1,-17.53975298,-149.900506,Dry,NN_umolL,0.84,0.5,0.33999999999999997,0.6375,0.53709298475,0.24515293502882796,0.4172084380009704
Varari,V1,-17.53975298,-149.900506,Dry,Ammonia_umolL,0.52,0.32,0.2,0.40249999999999997,0.45508183275,0.22070820656292228,0.4523483332794905
Varari,V1,-17.53975298,-149.900506,Dry,M_C,2.754412529,1.185099417,1.5693131120000001,1.76441788875,1.76441788875,0.38743449494761634,0.38743449494761634
Varari,V1,-17.53975298,-149.900506,Dry,HIX,2.128530089,0.637080298,1.491449791,1.151990804,1.151990804,0.5770489552732508,0.5770489552732508
Varari,V1,-17.53975298,-149.900506,Dry,VisibleHumidic_Like,0.014525517,0.009013159,0.005512358,0.011933298,0.011933298,0.20038462125518575,0.20038462125518575
Varari,V1,-17.53975298,-149.900506,Dry,Tryptophan_Like,0.09829493,0.019077179,0.079217751,0.046190840000000004,0.046190840000000004,0.7730904031260509,0.7730904031260509
Varari,V1,-17.53975298,-149.900506,Dry,Tyrosine_Like,0.208416064,0.016755293,0.191660771,0.07872583325,0.07872583325,1.1435214960582174,1.1435214960582174
Varari,V1,-17.53975298,-149.900506,Wet,Salinity,36.67,36.34,0.3299999999999983,36.5625,36.48125,0.004132087502150571,0.004280378047766802
Varari,V1,-17.53975298,-149.900506,Wet,Temperature,29.3,28.38,0.9200000000000017,28.7825,28.243750000000002,0.01435976065868677,0.026891257194519836
Varari,V1,-17.53975298,-149.900506,Wet,TA,2360.875128,2333.14574,27.7293880000002,2349.9651295,2344.84593925,0.005260125528165121,0.008855289716491351
Varari,V1,-17.53975298,-149.900506,Wet,pH,8.033556118392447,7.904822909610202,0.12873320878224526,7.954676503475633,7.998135182537688,0.0069979613758071975,0.007638312192803674
Varari,V1,-17.53975298,-149.900506,Wet,Phosphate_umolL,0.187228219,0.143281048,0.04394717100000001,0.165382252,0.190191126,0.11526763734033306,0.16039345526132157
Varari,V1,-17.53975298,-149.900506,Wet,Silicate_umolL,4.940658029,1.232851655,3.7078063739999996,2.19441359475,2.347206797375,0.8344845362563399,0.7252863975459962
Varari,V1,-17.53975298,-149.900506,Wet,NN_umolL,0.758656776,0.154868566,0.60378821,0.4366859695,0.53709298475,0.5876430605248365,0.4172084380009704
Varari,V1,-17.53975298,-149.900506,Wet,Ammonia_umolL,0.828499422,0.230482094,0.5980173280000001,0.5076636655,0.45508183275,0.5695909849011092,0.4523483332794905
Varari,V2,-17.53989003,-149.900519,Dry,Salinity,36.4,36.09,0.30999999999999517,36.307500000000005,36.425,0.00406893526205163,0.004654418260346058
Varari,V2,-17.53989003,-149.900519,Dry,Temperature,28.47,27.15,1.3200000000000003,27.725,28.27,0.02140842741461022,0.026374805696415635
Varari,V2,-17.53989003,-149.900519,Dry,TA,2365.03174,2328.302637,36.72910300000012,2348.3515925,2347.598096375,0.0065488656887084775,0.005280704487036378
Varari,V2,-17.53989003,-149.900519,Dry,pH,8.05555174101946,8.014612800858368,0.040938940161092674,8.035083692995888,8.00054531143662,0.0025094071163059262,0.006520558940866472
Varari,V2,-17.53989003,-149.900519,Dry,Phosphate_umolL,0.26,0.2,0.06,0.2175,0.190153339375,0.13205891141466733,0.1878711158526272
Varari,V2,-17.53989003,-149.900519,Dry,Silicate_umolL,5.76,0.92,4.84,2.5075,2.2096600595,0.8852324337902289,0.7666963858633621
Varari,V2,-17.53989003,-149.900519,Dry,NN_umolL,1.05,0.57,0.4800000000000001,0.7125,0.548556364625,0.31724162541680523,0.4624911181739919
Varari,V2,-17.53989003,-149.900519,Dry,Ammonia_umolL,2.4,0.26,2.1399999999999997,0.9199999999999999,0.61371223525,1.0945747520561078,1.2160301160405074
Varari,V2,-17.53989003,-149.900519,Dry,M_C,2.175318354,1.228273596,0.9470447579999999,1.57906632675,1.57906632675,0.27347824564146284,0.27347824564146284
Varari,V2,-17.53989003,-149.900519,Dry,HIX,1.337764548,0.815434825,0.522329723,1.13982619575,1.13982619575,0.2073165125733818,0.2073165125733818
Varari,V2,-17.53989003,-149.900519,Dry,VisibleHumidic_Like,0.022531222,0.008753099,0.013778123,0.013372904750000001,0.013372904750000001,0.477929916258935,0.477929916258935
Varari,V2,-17.53989003,-149.900519,Dry,Tryptophan_Like,0.080698238,0.015103301,0.065594937,0.04224969575,0.04224969575,0.7345816200491587,0.7345816200491587
Varari,V2,-17.53989003,-149.900519,Dry,Tyrosine_Like,0.186930911,0.016072899,0.170858012,0.0846088395,0.0846088395,0.9532328881367382,0.9532328881367382
Varari,V2,-17.53989003,-149.900519,Wet,Salinity,36.64,36.42,0.21999999999999886,36.542500000000004,36.425,0.0025118095027277434,0.004654418260346058
