Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Micro_Vial,Slurry_No,Genotype,Species
NA,PAC V01 A,NA,NA,NA,NA,NA,PA22,Pocillopora_acuta
NA,PAC V01 B,NA,NA,NA,NA,NA,PA22,Pocillopora_acuta
2,PAC V01 C,PAC 02,C,PAC 02,PAC 02,PAC 02,PA22,Pocillopora_acuta
4,PAC V02 A,PAC 06,C,PAC 04,PAC 04,PAC 04,PR21,Pocillopora_acuta
5,PAC V02 B,PAC 05,B,PAC 05,PAC 05,PAC 05,PR21,Pocillopora_acuta
6,PAC V02 C,PAC 04,A,PAC 06,PAC 06,PAC 06,PR21,Pocillopora_acuta
7,PAC V03 A,PAC 09,C,PAC 07,PAC 07,PAC 07,PA11,Pocillopora_acuta
8,PAC V03 B,PAC 08,B,PAC 08,PAC 08,PAC 08,PA11,Pocillopora_acuta
9,PAC V03 C,PAC 07,A,PAC 09,PAC 09,PAC 09,PA11,Pocillopora_acuta
16,PAC V04 A,PAC 15,C,PAC 16,PAC 16,PAC 16,PA19,Pocillopora_acuta
17,PAC V04 B,PAC 14,B,PAC 17,PAC 17,PAC 17,PA19,Pocillopora_acuta
18,PAC V04 C,PAC 13,A,PAC 18,PAC 18,PAC 18,PA19,Pocillopora_acuta
22,PAC V05 A,PAC 18,C,PAC 22,PAC 22,PAC 22,PA19,Pocillopora_acuta
23,PAC V05 B,PAC 17,B,PAC 23,PAC 23,PAC 23,PA19,Pocillopora_acuta
24,PAC V05 C,PAC 16,A,PAC 24,PAC 24,PAC 24,PA19,Pocillopora_acuta
34,PAC V06 A,PAC 24,C,PAC 34,PAC 34,PAC 34,PA18,Pocillopora_acuta
35,PAC V06 B,PAC 23,B,PAC 35,PAC 35,PAC 35,PA18,Pocillopora_acuta
36,PAC V06 C,PAC 22,A,PAC 36,PAC 36,PAC 36,PA18,Pocillopora_acuta
43,PAC V07 A,PAC 27,C,PAC 43,PAC 43,PAC 43,PA13,Pocillopora_acuta
44,PAC V07 B,PAC 26,B,PAC 44,PAC 44,PAC 44,PA13,Pocillopora_acuta
45,PAC V07 C,PAC 25,A,PAC 45,PAC 45,PAC 45,PA13,Pocillopora_acuta
31,PAC V08 A,PAC 36,C,PAC 31,PAC 31,PAC 31,PA19,Pocillopora_acuta
32,PAC V08 B,PAC 35,B,PAC 32,PAC 32,PAC 32,PA19,Pocillopora_acuta
33,PAC V08 C,PAC 34,A,PAC 33,PAC 33,PAC 33,PA19,Pocillopora_acuta
19,PAC V09 A,PAC 45,C,PAC 19,PAC 19,,PA13,Pocillopora_acuta
20,PAC V09 B,PAC 44,B,PAC 20,PAC 20,PAC 20,PA13,Pocillopora_acuta
21,PAC V09 C,PAC 43,A,PAC 21,PAC 21,PAC 21,PA13,Pocillopora_acuta
55,PAC V10 A,PAC 42,C,PAC 55,PAC 55,PAC 55,PA18,Pocillopora_acuta
56,PAC V10 B,PAC 41,B,PAC 56,PAC 56,PAC 56,PA18,Pocillopora_acuta
57,PAC V10 C,PAC 40,A,PAC 57,PAC 57,PAC 57,PA18,Pocillopora_acuta
40,PAC V11 A,PAC 30,C,PAC 40,PAC 40,,PA18,Pocillopora_acuta
41,PAC V11 B,PAC 29,B,PAC 41,PAC 41,PAC 41,PA18,Pocillopora_acuta
42,PAC V11 C,PAC 28,A,PAC 42,PAC 42,PAC 42,PA18,Pocillopora_acuta
28,PAC V12 A,PAC 33,C,PAC 28,PAC 28,PAC 28,PA21,Pocillopora_acuta
29,PAC V12 B,PAC 32,B,PAC 29,PAC 29,PAC 29,PA21,Pocillopora_acuta
30,PAC V12 C,PAC 31,A,PAC 30,PAC 30,PAC 30,PA21,Pocillopora_acuta
54,PAC V13 A,PAC 58,A,PAC 54,PAC 54,PAC 54,PA13,Pocillopora_acuta
53,PAC V13 B,PAC 59,B,PAC 53,PAC 53,PAC 53,PA13,Pocillopora_acuta
52,PAC V13 C,PAC 60,C,PAC 52,PAC 52,PAC 52,PA13,Pocillopora_acuta
46,PAC V14 A,PAC 57,C,PAC 46,PAC 46,PAC 46,PA18,Pocillopora_acuta
47,PAC V14 B,PAC 56,B,PAC 47,PAC 47,PAC 47,PA18,Pocillopora_acuta
48,PAC V14 C,PAC 55,A,PAC 48,PAC 48,PAC 48,PA18,Pocillopora_acuta
25,PAC V15 A,PAC 21,C,PAC 25,PAC 25,PAC 25,PA21,Pocillopora_acuta
26,PAC V15 B,PAC 20,B,PAC 26,PAC 26,PAC 26,PA21,Pocillopora_acuta
27,PAC V15 C,PAC 19,A,PAC 27,PAC 27,PAC 27,PA21,Pocillopora_acuta
13,PAC V16 A,PAC 12,C,PAC 13,PAC 13,PAC 13,PA11,Pocillopora_acuta
14,PAC V16 B,PAC 11,B,PAC 14,PAC 14,PAC 14,PA11,Pocillopora_acuta
15,PAC V16 C,PAC 10,A,PAC 15,PAC 15,PAC 15,PA11,Pocillopora_acuta
49,PAC V17 A,PAC 51,C,PAC 49,PAC 49,PAC 49,PA22,Pocillopora_acuta
50,PAC V17 B,PAC 50,B,PAC 50,PAC 50,PAC 50,PA22,Pocillopora_acuta
51,PAC V17 C,PAC 49,A,PAC 51,ALG TIL 07,PAC 51,PA22,Pocillopora_acuta
60,PAC V18 A,PAC 39,C,PAC 60,PAC 60,PAC 60,PA22,Pocillopora_acuta
59,PAC V18 B,PAC 38,B,PAC 59,PAC 59,PAC 59,PA22,Pocillopora_acuta
58,PAC V18 C,PAC 37,A,PAC 58,PAC 58,PAC 58,PA22,Pocillopora_acuta
10,PAC V19 A,PAC 48,C,PAC 10,PAC 10,PAC 10,PA22,Pocillopora_acuta
11,PAC V19 B,PAC 47,B,PAC 11,PAC 11,PAC 11,PA22,Pocillopora_acuta
12,PAC V19 C,PAC 46,A,PAC 12,PAC 12,PAC 12,PA22,Pocillopora_acuta
37,PAC V20 A,PAC 54,C,PAC 37,PAC 37,PAC 37,PA11,Pocillopora_acuta
38,PAC V20 B,PAC 53,B,PAC 38,PAC 38,PAC 38,PA11,Pocillopora_acuta
39,PAC V20 C,PAC 52,A,PAC 39,PAC 39,PAC 39,PA11,Pocillopora_acuta
,,,,,,,,
,,,,,,,,
