Vial_No_Only,Placement_Code,T0_Weight,T0_Temp,T0_Sal,T1_Weight,T1_Temp,T1_Sal,Change,Percent_Change,Percent_Change,Surface_Area,Change_Over_Area,T1_Notes
1,PRU V01 A,12.4754,29.7,31.48,14.1444,28.6,31.54,1.669,0.133783286,13.37832855,39.38152,0.042380284,
3,PRU V01 B,12.6547,29.7,31.5,14.6659,28.6,31.29,2.0112,0.158929094,15.89290935,39.28832,0.051190786,
2,PRU V01 C,12.8067,29.7,31.49,15.2974,28.7,31.39,2.4907,0.194484137,19.44841372,56.7074,0.043921957,
6,PRU V02 A,13.1899,29.6,31.5,13.5607,28.3,31.35,0.3708,0.028112419,2.811241935,13.93792,0.026603683,
5,PRU V02 B,12.2756,29.6,31.49,13.4917,28.3,31.39,1.2161,0.099066441,9.906644074,31.62262,0.038456649,
4,PRU V02 C,12.4651,29.6,31.48,13.2618,28.3,31.41,0.7967,0.063914449,6.391444914,29.87046,0.026671836,
9,PRU V03 A,13.3353,28.9,31.5,14.4182,28.3,31.42,1.0829,0.081205522,8.120552219,31.5667,0.034305138,
8,PRU V03 B,12.1414,28.9,31.49,12.3874,28.3,31.41,0.246,0.020261255,2.026125488,3.74184,0.065743057,
7,PRU V03 C,13.9669,28.9,31.49,14.9538,28.2,31.39,0.9869,0.070659917,7.065991738,30.09414,0.03279376,
15,PRU V04 A,16.4963,29.1,31.47,17.8048,28.2,31.39,1.3085,0.079320817,7.93208174,41.75812,0.031335223,
14,PRU V04 B,16.3879,29,31.51,17.8553,28.2,31.27,1.4674,0.089541674,8.954167404,44.06948,0.03329742,
13,PRU V04 C,13.8674,29,31.5,14.7492,28.1,31.3,0.8818,0.063587983,6.358798333,30.47626,0.028933996,
18,PRU V05 A,12.2536,28.4,31.51,13.3955,28.8,31.45,1.1419,0.09318894,9.318894039,29.80056,0.038318072,
17,PRU V05 B,13.17,28.4,31.52,14.4145,28.9,31.41,1.2445,0.094495065,9.449506454,29.726,0.041865707,
16,PRU V05 C,11.4012,28.4,31.52,12.8436,28.8,31.41,1.4424,0.126512999,12.65129986,30.01958,0.04804864,
24,PRU V06 A,13.472,28.4,31.53,14.0092,28.6,31.27,0.5372,0.039875297,3.987529691,10.387,0.051718494,Mostly Dead
23,PRU V06 B,14.3385,28.6,31.47,15.4086,28.5,31.29,1.0701,0.074631238,7.463123758,31.60398,0.033859659,
22,PRU V06 C,12.0364,28.3,31.53,14.0282,28.5,31.38,1.9918,0.165481373,16.54813732,40.49526,0.049186003,
27,PRU V07 A,11.9477,29.7,31.49,14.1102,28.7,31.36,2.1625,0.180997179,18.09971794,43.66872,0.049520572,
26,PRU V07 B,11.6696,29.6,31.5,13.1478,28.7,31.46,1.4782,0.126671008,12.66710084,34.98248,0.042255438,
25,PRU V07 C,12.0452,29.6,31.5,13.7121,28.7,31.43,1.6669,0.138387075,13.83870753,51.03152,0.032664126,
36,PRU V08 A,11.1951,28.5,31.53,12.5255,28.7,31.37,1.3304,0.118837706,11.88377058,29.99162,0.044359058,
35,PRU V08 B,11.6447,28.5,31.5,12.6034,28.6,31.33,0.9587,0.0823293,8.232930002,28.2348,0.033954553,
34,PRU V08 C,10.6727,28.5,31.53,11.8476,28.6,31.44,1.1749,0.110084608,11.00846084,26.8368,0.043779437,
45,PRU V09 A,12.263,29.8,31.47,12.3875,28.6,31.4,0.1245,0.010152491,1.015249123,5.11654,0.02433285,Mostly dead
44,PRU V09 B,12.6028,29.8,31.48,12.8984,28.5,31.37,0.2956,0.023455105,2.345510521,9.06822,0.032597356,Mostly dead
43,PRU V09 C,10.5596,29.7,31.49,11.0468,28.5,31.46,0.4872,0.046138111,4.613811129,15.97434,0.030498913,
42,PRU V10 A,14.0614,28.8,31.5,14.8296,28.7,31.42,0.7682,0.054631829,5.463182898,32.82956,0.023399643,
41,PRU V10 B,11.6296,28.7,31.53,11.9041,28.7,31.4,0.2745,0.023603563,2.360356332,14.80468,0.018541434,Mostly dead
40,PRU V10 C,12.9981,28.7,31.49,14.6447,28.7,31.46,1.6466,0.126680053,12.66800532,34.49318,0.047736973,
30,PRU V11 A,12.1394,29.5,31.51,13.1846,28.5,31.4,1.0452,0.086099807,8.609980724,31.90222,0.03276261,
29,PRU V11 B,11.2885,29.5,31.48,11.36,28.4,31.39,0.0715,0.00633388,0.633387961,14.27344,0.005009304,Mostly dead
28,PRU V11 C,11.454,29.5,31.52,12.2681,28.4,31.43,0.8141,0.071075607,7.107560677,20.96986,0.038822386,
33,PRU V12 A,12.599,29.8,31.63,13.4738,28.3,31.44,0.8748,0.069434082,6.943408207,18.309,0.04777978,Mostly dead
32,PRU V12 B,10.2989,29.9,31.52,11.0088,28.3,31.44,0.7099,0.068929692,6.892969152,13.2529,0.053565635,Mostly dead
31,PRU V12 C,12.7518,29.9,31.5,13.181,28.3,31.43,0.4292,0.033657993,3.365799338,8.44844,0.050802278,
58,PRU V13 A,11.2818,29.8,31.58,10.7848,28.4,31.42,-0.497,-0.044053254,-4.405325391,15.17748,-0.032745884,
59,PRU V13 B,15.1913,29.8,31.48,17.4522,28.3,31.41,2.2609,0.148828606,14.88286058,49.35858,0.045805613,
60,PRU V13 C,13.5178,29.8,31.49,15.7331,28.3,31.48,2.2153,0.163880217,16.38802172,42.1915,0.052505836,
57,PRU V14 A,13.2789,28.7,31.5,15.7665,28.7,31.39,2.4876,0.187334794,18.73347943,41.842,0.059452225,
56,PRU V14 B,14.1945,28.6,31.52,17.3577,28.6,31.43,3.1632,0.222846877,22.28468773,66.37224,0.047658479,
55,PRU V14 C,13.8767,28.7,31.5,14.1998,28.6,31.43,0.3231,0.023283634,2.328363372,4.86956,0.066350964,Dead
21,PRU V15 A,15.2219,29.7,31.53,16.9227,28.8,31.54,1.7008,0.111733752,11.1733752,49.88982,0.034091123,
20,PRU V15 B,14.0275,29.6,31.52,14.9041,28.9,31.46,0.8766,0.062491534,6.249153449,30.3318,0.028900362,
19,PRU V15 C,17.5643,29.6,31.51,18.4853,28.9,31.46,0.921,0.052435907,5.243590692,24.33904,0.037840441,
12,PRU V16 A,13.9905,29.5,31.5,18.6061,28.2,31.45,4.6156,0.329909582,32.99095815,73.03604,0.063196197,
11,PRU V16 B,13.7079,29.5,31.52,16.6767,28.2,31.46,2.9688,0.216575843,21.65758431,55.91986,0.053090262,
10,PRU V16 C,12.5364,29.5,31.52,15.0117,28.2,31.44,2.4753,0.197449028,19.74490284,37.56412,0.065895328,
51,PRU V17 A,11.0092,29.4,31.51,13.7974,28.6,31.43,2.7882,0.253260909,25.32609091,42.53168,0.06555584,
50,PRU V17 B,12.7394,29.4,31.51,16.7922,28.6,31.43,4.0528,0.318131152,31.81311522,54.62904,0.074187648,
49,PRU V17 C,14.2645,29.4,31.52,17.3694,28.6,31.43,3.1049,0.217666234,21.76662344,42.80662,0.072533174,
39,PRU V18 A,13.574,29.2,31.52,14.0499,28.9,31.36,0.4759,0.035059673,3.50596729,19.92136,0.023888931,
38,PRU V18 B,13.6527,29.2,31.52,14.191,28.8,31.48,0.5383,0.039428098,3.942809847,17.0741,0.031527284,
