Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Micro_Vial,Genotype,Species
1,PRU V01 A,1,A,PRU 01,PRU 01,PR08,Porites_rus
3,PRU V01 B,1,B,PRU 03,PRU 03,PR08,Porites_rus
2,PRU V01 C,1,C,PRU 02,PRU 02,PR08,Porites_rus
6,PRU V02 A,2,A,PRU 06,PRU 06,PR06,Porites_rus
5,PRU V02 B,2,B,PRU 05,PRU 05,PR06,Porites_rus
4,PRU V02 C,2,C,PRU 04,PRU 04,PR06,Porites_rus
9,PRU V03 A,3,A,PRU 09,PRU 09,PR03,Porites_rus
8,PRU V03 B,3,B,PRU 08,PRU 08,PR03,Porites_rus
7,PRU V03 C,3,C,PRU 07,PRU 07,PR03,Porites_rus
15,PRU V04 A,4,A,PRU 15,PRU 15,PR02,Porites_rus
14,PRU V04 B,4,B,PRU 14,PRU 14,PR02,Porites_rus
13,PRU V04 C,4,C,PRU 13,PRU 13,PR02,Porites_rus
18,PRU V05 A,5,A,PRU 18,PRU 18,PR02,Porites_rus
17,PRU V05 B,5,B,PRU 17,PRU 17,PR02,Porites_rus
16,PRU V05 C,5,C,PRU 16,PRU 16,PR02,Porites_rus
24,PRU V06 A,6,A,PRU 24,PRU 24,PR07,Porites_rus
23,PRU V06 B,6,B,PRU 23,PRU 23,PR07,Porites_rus
22,PRU V06 C,6,C,PRU 22,PRU 22,PR07,Porites_rus
27,PRU V07 A,7,A,PRU 27,PRU 27,PR04,Porites_rus
26,PRU V07 B,7,B,PRU 26,PRU 26,PR04,Porites_rus
25,PRU V07 C,7,C,PRU 25,PRU 25,PR04,Porites_rus
36,PRU V08 A,8,A,PRU 36,PRU 36,PR02,Porites_rus
35,PRU V08 B,8,B,PRU 35,PRU 35,PR02,Porites_rus
34,PRU V08 C,8,C,PRU 34,PRU 34,PR02,Porites_rus
45,PRU V09 A,9,A,PRU 45,PRU 45,PR04,Porites_rus
44,PRU V09 B,9,B,PRU 44,PRU 44,PR04,Porites_rus
43,PRU V09 C,9,C,PRU 43,PRU 43,PR04,Porites_rus
42,PRU V10 A,10,A,PRU 42,PRU 42,PR07,Porites_rus
41,PRU V10 B,10,B,PRU 41,PRU 41,PR07,Porites_rus
40,PRU V10 C,10,C,PRU 40,PRU 40,PR07,Porites_rus
30,PRU V11 A,11,A,PRU 30,PRU 30,PR07,Porites_rus
29,PRU V11 B,11,B,PRU 29,PRU 29,PR07,Porites_rus
28,PRU V11 C,11,C,PRU 28,PRU 28,PR07,Porites_rus
33,PRU V12 A,12,A,PRU 33,PRU 33,PR06,Porites_rus
32,PRU V12 B,12,B,PRU 32,PRU 32,PR06,Porites_rus
31,PRU V12 C,12,C,PRU 31,PRU 31,PR06,Porites_rus
58,PRU V13 A,13,A,PRU 58,PRU 58,PR04,Porites_rus
59,PRU V13 B,13,B,PRU 59,PRU 59,PR04,Porites_rus
60,PRU V13 C,13,C,PRU 60,PRU 60,PR04,Porites_rus
57,PRU V14 A,14,A,PRU 57,PRU 57,PR07,Porites_rus
56,PRU V14 B,14,B,PRU 56,PRU 56,PR07,Porites_rus
55,PRU V14 C,14,C,PRU 55,PRU 55,PR07,Porites_rus
21,PRU V15 A,15,A,PRU 21,PRU 21,PR06,Porites_rus
20,PRU V15 B,15,B,PRU 20,PRU 20,PR06,Porites_rus
19,PRU V15 C,15,C,PRU 19,PRU 19,PR06,Porites_rus
12,PRU V16 A,16,A,PRU 12,PRU 12,PR03,Porites_rus
11,PRU V16 B,16,B,PRU 11,PRU 11,PR03,Porites_rus
10,PRU V16 C,16,C,PRU 10,PRU 10,PR03,Porites_rus
51,PRU V17 A,17,A,PRU 51,PRU 51,PR08,Porites_rus
50,PRU V17 B,17,B,PRU 50,PRU 50,PR08,Porites_rus
49,PRU V17 C,17,C,PRU 49,PRU 49,PR08,Porites_rus
39,PRU V18 A,18,A,PRU 39,PRU 39,PR08,Porites_rus
38,PRU V18 B,18,B,PRU 38,PRU 38,PR08,Porites_rus
37,PRU V18 C,18,C,PRU 37,PRU 37,PR08,Porites_rus
48,PRU V19 A,19,A,PRU 48,PRU 48,PR08,Porites_rus
47,PRU V19 B,19,B,PRU 47,PRU 47,PR08,Porites_rus
46,PRU V19 C,19,C,PRU 46,PRU 46,PR08,Porites_rus
54,PRU V20 A,20,A,PRU 54,PRU 54,PR03,Porites_rus
53,PRU V20 B,20,B,PRU 53,PRU 53,PR03,Porites_rus
52,PRU V20 C,20,C,PRU 52,PRU 52,PR03,Porites_rus
