Vial_No_Only,Placement_Code,T0_Weight,T0_Temp,T0_Sal,T1_Weight,T1_Temp,T1_Sal,Change,Percent_Change,Percent_Change_100,Surface.Area,Change_Over_Area,T1_Notes,T0_sw_dens,T1_sw_dens,T0_dry_weight.g,T1_dry_weight.g
NA,PAC V01 A,9.7748,28,31.37,NA,NA,NA,NA,NA,NA,NA,NA,Removed,1.019667606060226,NA,14.992241188421643,NA
NA,PAC V01 B,9.85,28.1,31.37,NA,NA,NA,NA,NA,NA,NA,NA,Removed,1.0196353148190054,NA,15.107324912293201,NA
2,PAC V01 C,13.1144,29.9,31.46,14.8006,28.3,31.36,2.590875021278162,0.12884466026473484,12.884466026473484,60.02998,0.04315968489874829,,1.0191085952865537,1.019563004325709,20.108516844661914,22.699391865940076
4,PAC V02 A,15.1446,28.8,31.47,16.6756,28.3,31.36,2.349048213540872,0.1011387564544339,10.11387564544339,62.57434,0.03754011969668193,,1.0194821203075384,1.019563004325709,23.225994622538096,25.575042836078968
5,PAC V02 B,13.162,28.8,31.47,14.1668,28.3,31.38,1.5420674186968455,0.07639500452257389,7.639500452257389,48.52444,0.03177919041820669,,1.0194821203075384,1.019578006792345,20.18544835927304,21.727515777969884
6,PAC V02 C,14.201,28.6,31.46,15.9877,28.3,31.39,2.740775707539168,0.12584177940015953,12.584177940015953,82.32808,0.03329089792376025,,1.0195402072729254,1.0195855080871457,21.77953713467352,24.52031284221269
7,PAC V03 A,15.9398,29,31.47,17.1266,28.8,31.24,1.8185681416167654,0.07439524412454186,7.439524412454186,53.00736,0.03430784218675983,,1.019416236039742,1.0193097284721184,24.444682761876273,26.263250903493038
8,PAC V03 B,15.6096,29.1,31.45,17.7343,28.7,31.34,3.258980449218157,0.1361442684880118,13.61442684880118,42.28936,0.0770638394437314,,1.019368197490142,1.019417493583883,23.937698482732138,27.196678931950295
9,PAC V03 C,14.413,29.1,31.44,15.3303,28.7,31.31,1.4071182211915492,0.06366302713752912,6.366302713752912,71.44232,0.01969586403677189,,1.0193607053047207,1.019395004558832,22.10259682047161,23.50971504166316
16,PAC V04 A,14.1176,28.7,31.45,14.5188,28.6,31.29,0.6142759454163098,0.02837148499745432,2.837148499745432,40.43002,0.01519356026577058,,1.0194999565011142,1.0194127460649343,21.651173545248927,22.265449490665237
17,PAC V04 B,15.4156,28.7,31.44,16.4047,28.6,31.25,1.51546284183447,0.06410117569878185,6.410117569878185,54.94126,0.02758332884674414,,1.0194924596669719,1.0193827569137375,23.6417323912402,25.15719523307467
18,PAC V04 C,13.9534,28.8,31.44,15.0271,28.6,31.25,1.6456964071460796,0.07690565484341101,7.690565484341101,49.17218,0.033468038373447744,,1.0194596331845676,1.0193827569137375,21.39889986629607,23.04459627344215
22,PAC V05 A,16.3618,28.6,31.45,17.4025,28.5,31.33,1.595275404252643,0.06357356644047292,6.357356644047292,66.20448,0.024096185095821957,,1.019532709226474,1.0194753994591674,25.093375966981156,26.6886513712338
23,PAC V05 B,16.2461,28.6,31.43,17.3646,28.4,31.3,1.7149318015516748,0.06882926420244863,6.882926420244863,68.7535,0.024943192732757965,,1.0195177132568205,1.0194854883739393,24.91573637206869,26.630668173620364
24,PAC V05 C,15.614,28.5,31.43,16.6994,28.4,31.35,1.6642785115543077,0.06949919879530003,6.949919879530003,66.85688,0.02489315253051455,,1.0195503885940758,1.019522987707297,23.946729464554007,25.611007976108315
34,PAC V06 A,18.8915,28.7,31.45,20.4076,29.1,31.41,2.322487112035727,0.08016158608937671,8.01615860893767,84.40644,0.027515520285368356,,1.0194999565011142,1.019338228995156,28.97256934819446,31.29505646023019
35,PAC V06 B,16.6583,28.8,31.43,19.4163,29.1,31.4,4.227753453840361,0.16548905483990028,16.54890548399003,97.04902,0.04356307208295726,,1.0194521375591157,1.0193307369741718,25.547027614185314,29.774781068025675
36,PAC V06 C,18.878,28.8,31.45,22.4047,29.1,31.38,5.40583745334634,0.18672131402220823,18.672131402220824,110.45584,0.048941164662242756,,1.019467128851116,1.0193157530554557,28.95136788028056,34.3572053336269
43,PAC V07 A,12.773,29.4,31.42,15.0244,28.2,31.35,3.456477825188337,0.17647288693948684,17.647288693948685,68.48788,0.050468459896675685,,1.0192461298134134,1.0195879431837978,19.586452543123947,23.042930368312284
44,PAC V07 B,14.814,29.3,31.46,16.3097,28.2,31.37,2.2974650200125666,0.10113449799144844,10.113449799144844,56.78662,0.040457858206960844,,1.0193093606340224,1.0196029479404096,22.71692711825031,25.014392138262878
45,PAC V07 C,14.5027,29.3,31.47,16.295,28.1,31.36,2.7525288968957327,0.12376677562848591,12.376677562848592,70.55692,0.039011466159460086,,1.019316850598919,1.0196278112305617,22.239642932591806,24.99217182948754
31,PAC V08 A,10.3949,28.4,31.35,11.5733,28.5,31.39,1.8072271551137025,0.11336177148816012,11.336177148816013,53.43608,0.033820354245927144,,1.019522987707297,1.0195203924479128,15.942121681668104,17.749348836781806
32,PAC V08 B,12.0982,28.4,31.36,13.0728,28.5,31.39,1.4945936490720975,0.08055172847573178,8.055172847573179,54.7036,0.027321668940839313,,1.0195304876968616,1.0195203924479128,18.554457829199546,20.049051478271643
33,PAC V08 C,10.8777,28.4,31.35,11.1297,28.5,31.38,0.3863892095559116,0.023161256096898026,2.3161256096898026,43.03496,0.008978495845143382,,1.019522987707297,1.0195128935139504,16.682567125867603,17.068956335423515
