Tube Name:,Sample ID:,Volume(μL):,All Events ,sym_FSC Events,sym_SSC Events,include Events,All Events  Mean Chla-A,sym_FSC Mean Chla-A,sym_SSC Mean Chla-A,include Mean Chla-A,All Events  Events/μL(V),sym_FSC Events/μL(V),sym_SSC Events/μL(V),include Events/μL(V)
02-Well-B2,,88.4,960,98,141,656,1649855.3,3753247.0,3403827.8,1566404.1,10.86,1.11,1.59,11.20
02-Well-C2,,150.1,1085,25,93,805,1361430.5,3555329.8,2765589.8,1336023.6,7.23,0.17,0.62,6.70
02-Well-B3,,150.0,13252,358,340,10509,511561.1,6319487.0,6062889.0,470703.0,88.32,2.39,2.27,87.48
02-Well-B4,,150.0,13692,533,476,10772,871638.8,7169265.5,6969176.0,855613.6,91.27,3.55,3.17,89.68
02-Well-B5,,150.0,15632,417,398,12228,445752.8,6018940.0,5823766.0,435798.8,104.19,2.78,2.65,101.78
02-Well-B6,,150.0,9526,426,378,7512,833316.3,7319316.0,7134381.0,816656.2,63.50,2.84,2.52,62.54
02-Well-C3,,151.1,5951,108,124,3842,377625.0,4281032.0,3948872.8,334810.0,39.38,0.71,0.82,31.69
02-Well-C4,,150.1,6599,232,263,5265,641615.2,5262746.0,4876338.0,627127.8,43.97,1.55,1.75,43.81
02-Well-C5,,150.1,12016,589,566,8982,771445.0,5063428.0,5175878.5,736413.5,80.05,3.92,3.77,74.73
02-Well-C6,,0.0,0,0,0,0,####,####,####,####,####,####,####,####
03-Well-A1,,150.0,2300,157,143,1767,1360050.5,6067153.5,5963865.5,1326607.6,15.33,1.05,0.95,14.71
03-Well-A2,,150.1,2735,145,146,2101,849739.0,5716855.0,5266301.0,777985.8,18.22,0.97,0.97,17.48
03-Well-A3,,150.1,6676,640,607,4944,1760565.4,6871944.5,6801309.0,1647128.0,44.48,4.26,4.04,41.14
03-Well-A4,,150.1,3946,200,193,3031,817790.1,5916568.5,5770566.0,788162.1,26.29,1.33,1.29,25.22
03-Well-A5,,150.0,5096,141,146,3975,912369.8,8188407.5,7903020.5,875651.1,33.96,0.94,0.97,33.08
03-Well-A6,,150.1,5369,282,269,4224,1424434.3,6299837.0,6094318.0,1286341.5,35.76,1.88,1.79,35.13
03-Well-A7,,150.1,7009,521,542,5619,1003188.1,5656613.0,5417670.5,975064.0,46.70,3.47,3.61,46.75
