CLOD_ID,PIN,Initial_Weight_g,Deployment_Date,Deployment_Time,Retrival_Date,Retrival_Time,Time_Deployed,Final_Weight,Weight_lost,%_loss,Bite_Marks_YN
C1,1,17.32,3/21/23,8:58,3/21/23,18:28,9:30,13.1796,4.1404,23.90531178,N
C2,2,18.21,3/21/23,8:56,3/21/23,18:26,9:30,14.0126,4.1974,23.04997254,N
C3,3,18.11,3/21/23,8:53,3/21/23,18:23,9:30,12.6648,5.4452,30.0673661,Y
C4,4,17.24,3/21/23,8:50,3/21/23,18:19,9:29,10.3604,6.8796,39.90487239,N
C5,5,17.81,3/21/23,8:46,3/21/23,18:17,9:31,13.0897,4.7203,26.50364964,N
C6,6,17.8,3/21/23,8:42,3/21/23,18:11,9:29,13.5076,4.2924,24.11460674,Y
C7,7,16.24,3/21/23,8:43,3/21/23,18:07,9:24,10.293,5.947,36.61945813,Y
C8,8,18.65,3/21/23,8:31,3/21/23,18:04,9:33,13.1692,5.4808,29.38766756,N
C9,9,17.86,3/21/23,8:17,3/21/23,17:56,9:39,12.2152,5.6448,31.60582307,N
C10,10,18.48,3/21/23,8:13,3/21/23,17:55,9:42,11.3333,7.1467,38.67261905,N
C11,11,16.7,3/21/23,8:38,3/21/23,18:15,9:37,11.5347,5.1653,30.92994012,N
C12,12,15.99,3/21/23,8:21,3/21/23,18:00,9:39,11.0784,4.9116,30.71669794,N
C13,13,17.44,3/21/23,7:56,3/21/23,17:42,9:46,13.1454,4.2946,24.625,N
C14,14,15.6,3/21/23,8:04,3/21/23,17:45,9:41,10.3028,5.2972,33.95641026,N
C15,15,17.97,3/21/23,8:40,3/21/23,18:11,9:31,11.679,6.291,35.00834725,Y
C16,16,17.5,3/21/23,8:48,3/21/23,18:20,9:32,10.26,7.24,41.37142857,Y
C17,17,16.32,3/21/23,8:07,3/21/23,17:48,9:41,11.6411,4.6789,28.66973039,N
C18,18,17.12,3/21/23,8:30,3/21/23,18:03,9:33,11.3533,5.7667,33.68399533,N
C19,19,15.7,3/21/23,8:10,3/21/23,17:53,9:43,11.7105,3.9895,25.41082803,N
C20,20,14.83,3/21/23,8:10,3/21/23,17:47,9:37,10.6719,4.1581,28.0384356,Y
