DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.150m);Dir#1(0.150m);Speed#2(0.200m);Dir#2(0.200m);Speed#3(0.250m);Dir#3(0.250m);Speed#4(0.300m);Dir#4(0.300m);Speed#5(0.350m);Dir#5(0.350m);Speed#6(0.400m);Dir#6(0.400m);Speed#7(0.450m);Dir#7(0.450m);Speed#8(0.500m);Dir#8(0.500m);Speed#9(0.550m);Dir#9(0.550m);Speed#10(0.600m);Dir#10(0.600m);Speed#11(0.650m);Dir#11(0.650m);Speed#12(0.700m);Dir#12(0.700m);Speed#13(0.750m);Dir#13(0.750m);Speed#14(0.800m);Dir#14(0.800m);Speed#15(0.850m);Dir#15(0.850m);Speed#16(0.900m);Dir#16(0.900m);
2/10/2023 11:00:00; 11.6;300.5;  1.0;  1.3;  0.028; 31.49;    0;    0;  0.415;  64.30;  0.849;  89.39;  0.479;  69.98;  0.730;  67.69;  0.748;  88.47;  0.501;  88.63;  0.695;  41.21;  0.438;  61.68;  0.659;  63.90;  0.859;  89.13;  0.640;  56.86;  0.535;  86.36;  0.773;  50.88;  0.739;  80.03;  0.497;  79.46;  0.347;  66.02;
2/10/2023 11:10:00; 11.6;  1.1; -1.6;-13.7;  0.000; 35.21;    0;    0;  0.125; 202.66;  0.251; 166.63;  0.281; 197.40;  0.300; 275.16;  0.257; 339.03;  0.159; 286.84;  0.313; 355.24;  0.154;   6.71;  0.118; 240.62;  0.198; 206.05;  0.178;   3.86;  0.314; 250.64;  0.050; 320.63;  0.194;  74.18;  0.076; 192.20;  0.243; 112.77;
2/10/2023 11:20:00; 11.6;285.7; -3.2; -0.4;  1.090; 31.12;    0;    0;  0.064; 254.67;  0.065; 262.00;  0.079; 263.42;  0.088; 266.10;  0.091; 263.66;  0.094; 263.25;  0.096; 262.80;  0.100; 268.28;  0.104; 267.25;  0.104; 267.25;  0.106; 266.22;  0.114; 267.99;  0.115; 269.50;  0.112; 272.56;  0.115; 273.48;  0.121; 267.63;
2/10/2023 11:30:00; 11.6;285.8; -3.3; -0.4;  1.113; 30.56;    0;    0;  0.064; 305.43;  0.078; 304.51;  0.080; 300.72;  0.083; 297.18;  0.087; 293.03;  0.094; 292.48;  0.100; 291.16;  0.103; 291.08;  0.106; 291.50;  0.108; 291.11;  0.105; 287.74;  0.113; 289.72;  0.112; 288.27;  0.112; 289.90;  0.106; 289.29;  0.102; 291.80;
2/10/2023 11:40:00; 11.6;285.9; -3.3; -0.4;  1.111; 30.37;    0;    0;  0.056; 258.69;  0.064; 252.70;  0.068; 259.02;  0.075; 264.67;  0.079; 264.22;  0.085; 265.29;  0.091; 266.86;  0.093; 265.08;  0.099; 264.17;  0.095; 265.79;  0.097; 264.05;  0.097; 261.70;  0.093; 262.57;  0.095; 263.93;  0.095; 268.19;  0.096; 262.21;
2/10/2023 11:50:00; 11.6;285.9; -3.3; -0.4;  1.122; 30.33;    0;    0;  0.053; 258.06;  0.057; 263.99;  0.062; 265.39;  0.063; 270.91;  0.069; 279.19;  0.077; 286.56;  0.085; 291.43;  0.091; 287.84;  0.093; 290.19;  0.093; 290.19;  0.097; 291.04;  0.097; 291.04;  0.098; 289.73;  0.101; 289.69;  0.103; 288.08;  0.099; 290.08;
2/10/2023 12:00:00; 11.6;285.8; -3.3; -0.4;  1.128; 30.32;    0;    0;  0.052; 296.08;  0.060; 295.71;  0.067; 292.75;  0.076; 290.11;  0.082; 291.54;  0.086; 287.59;  0.092; 289.03;  0.097; 288.62;  0.103; 289.32;  0.103; 287.55;  0.101; 288.43;  0.103; 287.55;  0.100; 288.62;  0.104; 289.13;  0.102; 290.75;  0.107; 294.89;
2/10/2023 12:10:00; 11.6;285.6; -3.2; -0.4;  1.135; 30.32;    0;    0;  0.041; 250.25;  0.043; 259.22;  0.045; 270.00;  0.047; 279.87;  0.056; 284.53;  0.060; 282.43;  0.065; 272.64;  0.070; 272.45;  0.074; 273.09;  0.081; 272.12;  0.087; 273.95;  0.099; 272.31;  0.101; 272.27;  0.104; 271.65;  0.103; 271.11;  0.098; 275.25;
2/10/2023 12:20:00; 11.6;285.8; -3.2; -0.4;  1.153; 30.27;    0;    0;  0.078; 299.20;  0.085; 298.66;  0.097; 297.10;  0.105; 296.57;  0.105; 296.08;  0.109; 294.44;  0.111; 297.26;  0.114; 299.93;  0.118; 301.80;  0.121; 302.91;  0.125; 299.86;  0.130; 299.91;  0.131; 298.72;  0.131; 297.35;  0.133; 298.30;  0.136; 293.36;
2/10/2023 12:30:00; 11.6;285.8; -3.2; -0.4;  1.157; 30.37;    0;    0;  0.078; 289.36;  0.079; 288.43;  0.093; 287.46;  0.105; 287.74;  0.114; 288.43;  0.126; 284.26;  0.129; 284.36;  0.134; 282.06;  0.137; 280.49;  0.149; 281.23;  0.154; 281.97;  0.151; 281.83;  0.150; 281.91;  0.154; 280.87;  0.162; 281.03;  0.169; 283.71;
2/10/2023 12:40:00; 11.6;285.7; -3.2; -0.4;  1.127; 30.49;    0;    0;  0.056; 288.76;  0.069; 276.61;  0.086; 272.00;  0.093; 273.08;  0.104; 276.10;  0.111; 277.77;  0.117; 281.31;  0.121; 281.40;  0.125; 282.93;  0.129; 281.14;  0.134; 282.90;  0.136; 283.22;  0.137; 282.62;  0.137; 282.62;  0.133; 281.73;  0.135; 280.65;
2/10/2023 12:50:00; 11.6;285.7; -3.2; -0.4;  1.142; 30.54;    0;    0;  0.076; 277.59;  0.082; 288.43;  0.096; 287.68;  0.103; 284.04;  0.111; 279.89;  0.121; 275.24;  0.125; 271.83;  0.130; 273.08;  0.134; 275.16;  0.140; 276.57;  0.141; 276.12;  0.141; 276.12;  0.139; 278.25;  0.140; 278.65;  0.142; 278.93;  0.141; 279.40;
