Slurry_ID,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug/mL,SD,CV,Slurry Volume (ml),Surface area (cm^2),Chl_ug/cm^2
BLANK,0.02252535211,0.02091549296,0.06100985915,0.06152112676,0.08353521127,0.08243661972,0.08298591549,0.0007768215343,0.009360884069,,,#DIV/0!
PAC 02,5.383170423,6.538471831,0.8010760563,1.134739437,6.184246479,7.673211268,6.928728873,1.052857099,0.1519553035,45,60.02998,5.193951411
PAC 04,4.275109859,4.807497183,0.8348830986,0.8210661972,5.109992958,5.62856338,5.369278169,0.3666846623,0.06829310212,45,82.32808,2.934812978
PAC 05,2.536511268,2.904422535,0.6410239437,0.6908028169,3.177535211,3.595225352,3.386380282,0.295351531,0.08721747307,45,48.52444,3.140419811
PAC 06,4.274776056,4.194874648,1.187167606,0.9171676056,5.461943662,5.112042254,5.286992958,0.2474176587,0.04679742542,45,62.57434,3.802112545
PAC 07,4.797890141,5.386094366,1.024821127,0.9478352113,5.822711268,6.333929577,6.078320423,0.3614859336,0.05947135202,45,71.44232,3.828604936
PAC 08,2.193095775,2.442328169,0.6364816901,0.7050169014,2.829577465,3.14734507,2.988461268,0.2246956288,0.07518773331,45,42.28936,3.180014005
PAC 09,3.455330986,3.823615493,1.110380282,1.076729577,4.565711268,4.90034507,4.733028169,0.2366218312,0.04999375088,45,53.00736,4.018050844
PAC 10,1.662677465,1.83024507,0.1611676056,0.3048676056,1.82384507,2.135112676,1.979478873,0.2200994347,0.1111905955,45,81.04658,1.099078447
PAC 11,1.921788732,2.165302817,0.4878591549,0.527915493,2.409647887,2.69321831,2.551433099,0.2005145687,0.07858899723,45,69.28008,1.657251109
PAC 12,3.025859155,3.311588732,1.231626761,0.7697704225,4.257485915,4.081359155,4.169422535,0.1245404267,0.02986994618,45,51.60004,3.636121485
PAC 13,3.455704225,3.886515493,1.026950704,0.9166394366,4.48265493,4.80315493,4.64290493,0.2266277234,0.04881162264,45,49.17218,4.24896195
PAC 14,2.522871831,2.785435211,0.4067830986,0.9255084507,2.92965493,3.710943662,3.320299296,0.5524545607,0.1663869765,45,54.94126,2.719512955
PAC 15,2.742097183,2.996712676,0.7309943662,0.7069352113,3.473091549,3.703647887,3.588369718,0.1630279501,0.04543231686,,,
PAC 16,2.251256338,2.460049296,0.4741098592,0.6312253521,2.725366197,3.091274648,2.908320423,0.2587363468,0.08896418179,,,
