"","Placement_Code","Slurry_Label","Total_Chl_ug.mL","Chl_ug.cm.2","Chl_per_cell"
"1","PAC V01 A",NA,NA,NA,NA
"2","PAC V01 B",NA,NA,NA,NA
"3","PAC V01 C","PAC 02",6.928728873,2.8855285613122,157.033455916284
"4","PAC V02 C","PAC 04",5.369278169,1.63045165422296,523.97055057481
"5","PAC V02 B","PAC 05",3.386380282,1.74467767273564,363.512530635055
"6","PAC V02 A","PAC 06",5.286992958,2.11228474723025,83.1275803569427
"7","PAC V03 C","PAC 07",6.078320423,2.12700274256211,316.179768963806
"8","PAC V03 B","PAC 08",2.988461268,1.76667444718955,238.430747652324
"9","PAC V03 A","PAC 09",4.733028169,2.2322504690858,170.910081405358
"10","PAC V16 C","PAC 10",1.979478873,0.610599137249221,21.0763629687863
"11","PAC V16 B","PAC 11",2.551433099,0.920695060903509,92.9855618302222
"12","PAC V16 A","PAC 12",4.169422535,2.02006749171125,143.954799103158
"13","PAC V04 C","PAC 13",4.64290493,2.36053441702198,400.17095922219
"14","PAC V04 B","PAC 14",3.320299296,1.51084053041375,126.064611212759
"15","PAC V04 A","PAC 15",3.588369718,2.21887703617263,557.519337238737
"16","PAC V05 C","PAC 16",2.908320423,1.08751725439476,100.413589341474
"17","PAC V05 B","PAC 17",3.328933099,1.21045950351618,222.079333519729
"18","PAC V05 A","PAC 18",3.653901408,1.37977875817467,139.178283308594
"19","PAC V15 C","PAC 19",7.441320423,1.68707676918464,105.230073718304
"20","PAC V15 B","PAC 20",5.499848592,1.31182931285538,214.330733248634
"21","PAC V15 A","PAC 21",3.02665493,0.99147883857107,130.433362822774
"22","PAC V06 C","PAC 22",16.39829225,3.71150412916148,689.07841597153
"23","PAC V06 B","PAC 23",8.611084507,2.2182306701809,195.914616297988
"24","PAC V06 A","PAC 24",6.395489437,1.89425399205321,222.766782513558
"25","PAC V07 C","PAC 25",9.696507042,3.43570377009087,213.612602895403
"26","PAC V07 B","PAC 26",6.550376761,2.88376767317724,126.798112776866
"27","PAC V07 A","PAC 27",10.93171127,3.99038168140115,284.948447408742
"28","PAC V11 C","PAC 28",9.645521127,3.41673559763465,222.016205589895
"29","PAC V11 B","PAC 29",3.920954225,2.01313260902157,248.917352090323
"30","PAC V11 A","PAC 30",6.404580986,2.72304817419261,141.886101843692
"31","PAC V12 C","PAC 31",5.51765493,2.38584869314078,276.069785650169
"32","PAC V12 B","PAC 32",2.017415493,1.08047089456347,235.857842983604
"33","PAC V12 A","PAC 33",3.141549296,1.7238270456016,187.350576197818
"34","PAC V08 C","PAC 34",4.2725,2.48199370930053,205.08
"35","PAC V08 B","PAC 35",8.968440141,4.09865170710886,135.421152410394
"36","PAC V08 A","PAC 36",2.376510563,1.11184735248169,131.745712337577
"37","PAC V18 C","PAC 37",3.965985915,3.05394577586823,329.791279467042
"38","PAC V18 B","PAC 38",0.5645316901,0.748733246425911,45.6574671006904
"39","PAC V18 A","PAC 39",1.142302817,0.754897348620424,44.3694462603158
"40","PAC V10 C","PAC 40",15.01285211,4.20646464024384,171.608671553611
"41","PAC V10 B","PAC 41",7.824288732,3.31223052375337,324.172636306863
"42","PAC V10 A","PAC 42",6.481584507,2.44274832870933,378.883910191366
"43","PAC V09 C","PAC 43",7.232348592,1.62411896960367,241.925133638346
