"","CowTagID","Maximum_TA","Maximum_Phosphate_umolL","Maximum_Silicate_umolL","Maximum_NN_umolL","Maximum_NNP_umolL","Minimum_Salinity","Minimum_Temperature","Minimum_pH","Mean_TA","Mean_Phosphate_umolL","Mean_Silicate_umolL","Mean_NN_umolL","Mean_NNP_umolL","Low_Tide_Mean_TA","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL","Low_Tide_Mean_NNP_umolL","CV_Salinity","CV_Temperature","CV_TA","CV_pH","CV_Phosphate_umolL","CV_Silicate_umolL","CV_NN_umolL","CV_Ammonia_umolL","Low_Tide_Mean_TA.1","Low_Tide_Mean_Phosphate_umolL.1","Low_Tide_Mean_Silicate_umolL.1","Low_Tide_Mean_NN_umolL.1","Low_Tide_Mean_NNP_umolL.1","pc1","pc2","X._loss","lat","lon","dist_to_seep_m","shore_dist_m","pulse_pc1","pulse_pc2"
"1","V1",2360.875128,0.187228219,4.940658029,0.758656776,4.05204290278486,36.34,28.38,7.9048229096102,2349.9651295,0.165382252,2.19441359475,0.4366859695,2.5565865363112,2355.5664505,0.1987122365,3.41604719775,0.69447906475,3.49064986306732,0.00413208750215057,0.0143597606586868,0.00526012552816512,0.0069979613758072,0.115267637340333,0.83448453625634,0.587643060524836,0.569590984901109,2355.5664505,0.1987122365,3.41604719775,0.69447906475,3.49064986306732,4.03197226794588,2.30155382196139,23.90531178,-17.53975298,-149.900506,138.888746616388,22.5,2.57434595301432,0.845817818311966
"2","V10",2355.541037,0.15502195,1.241850345,0.185062483,1.19378244822749,36.56,28.71,7.94124957292288,2342.7591525,0.143884336,1.07563415825,0.12715325425,0.872518649796747,2342.498401,0.18176250425,1.81897920325,0.4009730665,2.03877307610371,0.000669442400323334,0.0116891594426095,0.00454327201329267,0.00599553430076695,0.0636228184878692,0.108061431907272,0.389688968284456,0.36683403746837,2342.498401,0.18176250425,1.81897920325,0.4009730665,2.03877307610371,-3.53744785728528,-0.818645855428852,38.67261905,-17.54030501,-149.899788,48.508833727235,28.5,-1.80808724879865,0.399376424047638
"3","V11",2385.505837,0.173538235,3.202180346,0.540719787,3.53672277335425,36.37,28.45,7.94159186919343,2345.01406875,0.15512636575,1.5618229945,0.312372656,1.97873958907496,2346.734425,0.189106369,3.22989863675,0.64059296125,3.3087303291743,0.00320206322655692,0.0127809929017238,0.0123621147743655,0.00592711477201897,0.118546777544581,0.700617630140418,0.632275527277943,0.447808383464236,2346.734425,0.189106369,3.22989863675,0.64059296125,3.3087303291743,2.47973601258784,-0.237385323788191,30.92994012,-17.54019303,-149.900068,79.1628654576409,34,1.26155941798195,1.00577005696999
"4","V12",2356.102916,0.163143128,1.077105098,0.25716736,1.73309966854777,36.5,28.48,7.94470926351412,2336.702701,0.14585662175,0.96341011075,0.162079054,1.11261623339218,2341.67476775,0.177267015,1.951961358,0.43589203875,2.2895828679989,0.00152013554030142,0.0131875048055945,0.00651538323922837,0.00589034617708634,0.0925238184362078,0.0798030066214903,0.408228884029088,0.249965451546712,2341.67476775,0.177267015,1.951961358,0.43589203875,2.2895828679989,-2.30089103843269,-0.182462994663031,30.71669794,-17.54030996,-149.900112,82.9029737477621,47,-1.64542146132905,0.909424035231515
"5","V13",2350.382849,0.164488923,1.410056627,0.34603662,2.19666858535307,36.38,28.56,7.93241582918226,2334.69966275,0.15119339575,1.2980921575,0.23977205825,1.59642082315434,2340.17320225,0.18888561225,1.3930262685,0.44368746575,2.30615578209036,0.00285672067418566,0.0134569290956659,0.00546285003490824,0.00616655591222137,0.0851855341508357,0.0828942792821376,0.405765574908517,1.24396740938379,2340.17320225,0.18888561225,1.3930262685,0.44368746575,2.30615578209036,-0.858263571488811,-0.517845029842711,24.625,-17.540749,-149.899133,-54.0160089962688,NA,-1.46706842388368,0.222130973914273
"6","V14",2354.98,0.163235941,3.467295597,0.279610003,1.79081389784805,36.47,28.53,7.91501466060074,2333.84,0.1533397065,2.9075597755,0.20405761175,1.33053201202258,2345.11375475,0.18928006925,3.1131265185,0.37355431975,1.88899183440276,0.0011484419149067,0.0142384152517647,0.0062787480786819,0.00646336897598573,0.0556118995537727,0.209998962792667,0.247278205920884,0.086501946432668,2345.11375475,0.18928006925,3.1131265185,0.37355431975,1.88899183440276,-1.69881079129556,2.12230025035295,33.95641026,-17.54039696,-149.899396,12.6231845635526,17,-1.01477291531017,-0.651025895282464
"7","V15",2352.742306,0.179246262,4.175077174,0.529273138,2.95277085331911,36.38,28.51,7.93708686049673,2335.6039275,0.162284603,1.95369863775,0.30326941575,1.82184215677522,2345.25953125,0.2084394345,3.6462181245,0.55861212775,2.5261746565845,0.00271360312115514,0.0132425480117949,0.0054306092517487,0.00593397834063707,0.0848408478921113,0.772234149528157,0.51947681174026,1.20542530089924,2345.25953125,0.2084394345,3.6462181245,0.55861212775,2.5261746565845,1.4508074101257,-0.691652523881972,35.00834725,-17.54014299,-149.900183,92.1505184174103,36,1.21035542130303,-1.36235553652242
"8","V16",2350.500981,0.164999397,1.469932526,0.156671188,1.02201869825964,36.55,28.58,7.9516011059132,2339.30751,0.1486758305,1.0702695545,0.12591395175,0.850732370701558,2344.9584885,0.1836363385,1.200470768,0.25112055475,1.28893942332807,0.00103146860240057,0.0119109249134523,0.0040368765585537,0.00554418795723764,0.105185292974583,0.268131301518038,0.225832826479371,0.326264299902629,2344.9584885,0.1836363385,1.200470768,0.25112055475,1.28893942332807,-3.44312369538868,-1.44860320197151,41.37142857,-17.54029797,-149.900492,123.233668813241,70,-3.03226242405126,-0.300561043313707
"9","V17",2351.13,0.152980054,2.725595881,0.344684654,2.30989205421332,36.46,28.46,7.92168029503636,2335.40666666667,0.147844376333333,2.59569171566667,0.243587608,1.64934041676376,2345.62927475,0.20013826875,3.66871002475,0.48926421475,2.27249239616314,0.0016041609628807,0.0143251673202101,0.00588329743097146,0.00677997779042524,0.0402100683242198,0.0450076000386639,0.368088297984485,0.139967169819339,2345.62927475,0.20013826875,3.66871002475,0.48926421475,2.27249239616314,-1.64664029259757,2.54584698703204,28.66973039,-17.54031901,-149.899572,25.6506204375272,18.5,0.441611902186974,-1.08402118101828
"10","V18",2389.34,0.201475084,7.738904509,0.669156598,3.32128710267717,36,28.61,7.93422031771756,2352.62175,0.169997543,2.779959394,0.35287161675,1.9188272327567,2350.87985025,0.219570761,4.491727679,0.55812437175,2.3397807674378,0.00801188916747581,0.00669264713670736,0.0110077584024749,0.00647562245190951,0.179044294142697,1.19120693664875,0.74652361025881,1.62037590325557,2350.87985025,0.219570761,4.491727679,0.55812437175,2.3397807674378,7.84131596561048,-3.62493392977773,33.68399533,-17.54019697,-149.899906,62.1424564678648,25,2.19669740601059,-2.37630120430567
