PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species,Surface_Area,Approximate.Dry.Weight.of.Whole.Sample,FSC.Events.per.ul,FSC.Events.per.slurry,FSC.Events_per_cm_2,FSC.Events_per_g_dry_weight
PAC V01 C,PAC 02,25,28,521,5656613.0,3.47,1,C,PA22,Pocillopora_acuta,60.02998,0.227,44.12262872628727,1103065.7181571817,18375.247137466675,4859320.344304766
PAC V02 A,PAC 06,25,28,751,4111417.8,5.01,2,C,PR21,Pocillopora_acuta,62.57434,0.202,63.6009485094851,1590023.7127371274,25410.155548378574,7871404.518500631
PAC V02 B,PAC 05,25,28,110,3196454.5,0.73,2,B,PR21,Pocillopora_acuta,48.52444,0.1715,9.315718157181571,232892.95392953928,4799.498024697231,1357976.4077524154
PAC V02 C,PAC 04,25,28,121,4327838.5,0.81,2,A,PR21,Pocillopora_acuta,82.32808,0.227,10.24728997289973,256182.24932249324,3111.7238410332566,1128556.1644162696
PAC V03 A,PAC 09,25,28,327,5231836.5,2.18,3,C,PA11,Pocillopora_acuta,53.00736,0.233,27.69308943089431,692327.2357723578,13060.964284438196,2971361.5269199903
PAC V03 B,PAC 08,25,28,148,4627758.5,0.99,3,B,PA11,Pocillopora_acuta,42.28936,0.155,12.53387533875339,313346.88346883474,7409.5915253585,2021592.7965731274
PAC V03 C,PAC 07,25,28,227,4972355.0,1.51,3,A,PA11,Pocillopora_acuta,71.44232,0.2865,19.22425474254743,480606.36856368574,6727.1943095309025,1677509.1398383449
PAC V04 A,PAC 15,25,28,76,4673555.0,0.51,4,C,PA19,Pocillopora_acuta,40.43002,0.172,6.436314363143632,160907.85907859082,3979.9104496755335,935510.8085964583
PAC V04 B,PAC 14,25,28,311,5525032.5,2.07,4,B,PA19,Pocillopora_acuta,54.94126,0.222,26.33807588075881,658451.8970189702,11984.652281709052,2965999.5361214876
PAC V04 C,PAC 13,25,28,137,4799020.0,0.91,4,A,PA19,Pocillopora_acuta,49.17218,0.1825,11.60230352303523,290057.5880758807,5898.814900536863,1589356.6469911272
PAC V05 A,PAC 18,25,28,310,4831851.5,2.07,5,C,PA19,Pocillopora_acuta,66.20448,0.259,26.25338753387534,656334.6883468835,9913.750373794695,2534110.765818083
PAC V05 B,PAC 17,25,28,177,4712374.5,1.18,5,B,PA19,Pocillopora_acuta,68.7535,0.209,14.989837398373986,374745.93495934963,5450.572479355227,1793042.751001673
PAC V05 C,PAC 16,25,28,342,3226977.5,2.28,5,A,PA19,Pocillopora_acuta,66.85688,0.1995,28.963414634146343,724085.3658536585,10830.379249729549,3629500.5807200926
PAC V06 A,PAC 24,25,28,339,3553019.0,2.26,6,C,PA18,Pocillopora_acuta,84.40644,0.29,28.709349593495936,717733.7398373984,8503.305433061723,2474943.9304737877
PAC V06 B,PAC 23,25,28,519,4216917.0,3.46,6,B,PA18,Pocillopora_acuta,97.04902,0.3065,43.95325203252033,1098831.3008130083,11322.435824833763,3585093.9667634857
PAC V06 C,PAC 22,25,28,281,5426359.5,1.87,6,A,PA18,Pocillopora_acuta,110.45584,0.4135,23.797425474254744,594935.6368563686,5386.185437151795,1438780.2584192713
PAC V07 A,PAC 27,25,28,453,4423729.0,3.02,7,C,PA13,Pocillopora_acuta,68.48788,0.254,38.363821138211385,959095.5284552845,14003.872341431572,3775966.64746175
PAC V07 B,PAC 26,25,28,610,5775362.5,4.07,7,B,PA13,Pocillopora_acuta,56.78662,0.261,51.659891598916,1291497.2899729,22742.985759196443,4948265.478823371
PAC V07 C,PAC 25,25,28,536,4718911.5,3.57,7,A,PA13,Pocillopora_acuta,70.55692,0.289,45.392953929539296,1134823.8482384824,16083.806496067038,3926726.1184722576
