Nub_ID,Color,Number,Colony,Nutrient Level,Tank Level,Assignment,Species,Partial mortality,Blastate Vol (mL),growth.SA,growth.protein,Total Protein per mL,Total Protein (mg),Protein.SA,Chl.a per ml,Total Chl.a,Chl.a.cm2,Chl.c.per ml,Total Chl.c,Chl.c.cm2,Total chl,Zoox/uL,Zoox/mL,Total Zoox,Zoox.cm2,
G021_Poc2_CH_N0.T2,G,21,2,N0,T2,CH,POC,0,10,0.469030665,0.824629175,0.268821216,2.688212161,0.568777675,0.5852295,5.852295,1.238241086,1.114416977,11.14416977,2.357907262,3.596148348,77.48,77480,774800,1.64E+05,
G022_Poc2_CH_T0,G,22,2,T0,T0,T0,POC,0,10,0,,0.645896557,6.458965568,1.084390551,2.61339075,26.1339075,4.387600777,3.948840699,39.48840699,6.62967699,11.01727777,183.22449,183224.49,1832244.9,3.08E+05,
G023_Poc2_CH_N1.T2,G,23,2,N1,T2,CH,POC,0,10,0.604549851,0.742343072,0.371754674,3.71754674,0.814380674,2.37763275,23.7763275,5.208537504,4.687683754,46.87683754,10.26902773,15.47756523,123.7,123700,1237000,2.71E+05,
G024_Poc2_CH_N3.T2,G,24,2,N3,T2,CH,POC,0,10,0.408534884,0.412301548,0.438897231,4.388972308,0.990864298,4.757088,47.57088,10.73970928,9.66573835,96.6573835,21.82158914,32.56129841,229.52,229520,2295200,5.18E+05,
G025_Poc2_TP_N3.T3,G,25,2,N3,T3,TP,POC,0,10,0.701937943,0.484379522,0.504352674,5.04352674,1.449148676,2.229549,22.29549,6.406128385,5.765515546,57.65515546,16.56596594,22.97209432,223.854167,223854.167,2238541.67,6.43E+05,
G026_Poc2_CH_N2.T1,G,26,2,N2,T1,CH,POC,0,10,0.611270512,0.392709411,0.783379495,7.833794945,1.556546635,4.66639875,46.6639875,9.271965019,8.344768517,83.44768517,16.5807523,25.85271732,311.489796,311489.796,3114897.96,6.19E+05,
G027_Poc2_CH_N1.T3,G,27,2,N1,T3,CH,POC,0,10,0.737135079,0.668548251,0.83912426,8.391242604,1.102590692,7.7866635,77.866635,10.23150337,9.208353035,92.08353035,12.09957193,22.3310753,202.612245,202612.245,2026122.45,2.66E+05,
G028_Poc2_CH_N4.T2,G,28,2,N4,T2,CH,POC,0,10,0.940521592,0.654125416,0.670885949,6.708859487,1.437830679,9.00462,90.0462,19.29853937,17.36868543,173.6868543,37.22425372,56.52279308,293.673469,293673.469,2936734.69,6.29E+05,
G029_Poc2_CH_N2.T2,G,29,2,N2,T2,CH,POC,0,10,0.619822873,0.943170261,0.345363626,3.453636264,0.657169653,2.137302,21.37302,4.06693093,3.660237837,36.60237837,6.964825033,11.03175596,194.836735,194836.735,1948367.35,3.71E+05,
G030_Poc2_TP_N0.T1,G,30,2,N0,T1,TP,POC,0,10,0.008729621,0.256251908,0.582549451,5.825494505,0.034066559,1.47772425,14.7772425,0.086414949,0.077773454,0.777734537,0.004548067,0.090963016,128.816327,128816.327,1288163.27,7.53E+03,
G031_Poc2_TP_N4.T2,G,31,2,N4,T2,TP,POC,0,10,0.522963564,0.451716163,0.991521875,9.915218755,1.15772604,8.236998,82.36998,9.617727366,8.655954629,86.55954629,10.10691173,19.7246391,229.040816,229040.816,2290408.16,2.67E+05,
G032_Poc2_CH_N1.T1,G,32,2,N1,T1,CH,POC,0,10,0.777983081,0.555003046,0.595062256,5.950622564,1.401763625,1.874646,18.74646,4.416026296,3.974423666,39.74423666,9.362385976,13.77841227,178.285714,178285.714,1782857.14,4.20E+05,
G033_Poc2_CH_N3.T3,G,33,2,N3,T3,CH,POC,0,10,0.530147165,0.619519788,0.555002959,5.550029586,0.855738873,5.97003225,59.7003225,9.204975564,8.284478008,82.84478008,12.77353529,21.97851085,208.22449,208224.49,2082244.9,3.21E+05,
G034_Poc2_CH_T0,G,34,2,T0,T0,T0,POC,0,10,0,,0.539768571,5.397685714,0.8575425,2.35605075,23.5605075,3.743110952,3.368799857,33.68799857,5.352088294,9.095199246,269.82,269820,2698200,4.29E+05,
