Date,Sample,Species,AreaCM,TubeRep,TechRep,Symbionts.cm2
8/17/18,MCAP9,MCAP,0.236,1,1,1322033.898
8/17/18,MCAP9,MCAP,0.236,1,2,1347457.627
8/17/18,MCAP9,MCAP,0.236,2,1,1576271.186
8/17/18,MCAP9,MCAP,0.236,2,2,1398305.085
8/17/18,MCAP40,MCAP,0.482,1,1,809128.6307
8/17/18,MCAP40,MCAP,0.482,1,2,647302.9046
8/17/18,MCAP40,MCAP,0.482,2,1,721991.7012
8/17/18,MCAP40,MCAP,0.482,2,2,547717.8423
8/17/18,MCAP1753,MCAP,0.383,1,1,626631.8538
8/17/18,MCAP1753,MCAP,0.383,1,2,438642.2977
8/17/18,MCAP1753,MCAP,0.383,2,1,516971.2794
8/17/18,MCAP1753,MCAP,0.383,2,2,422976.5013
8/17/18,MCAP145,MCAP,0.329,1,1,601823.7082
8/17/18,MCAP145,MCAP,0.329,1,2,601823.7082
8/17/18,MCAP145,MCAP,0.329,2,1,802431.6109
8/17/18,MCAP145,MCAP,0.329,2,2,784194.5289
8/17/18,MCAP64,MCAP,0.405,1,1,1377777.778
8/17/18,MCAP64,MCAP,0.405,1,2,1037037.037
8/17/18,MCAP64,MCAP,0.405,2,1,1481481.481
8/17/18,MCAP64,MCAP,0.405,2,2,1111111.111
8/17/18,MCAP11,MCAP,0.382,1,1,958115.1832
8/17/18,MCAP11,MCAP,0.382,1,2,801047.1204
8/17/18,MCAP11,MCAP,0.382,2,1,1083769.634
8/17/18,MCAP11,MCAP,0.382,2,2,706806.2827
8/18/18,PVAR1104,PVAR,0.612,1,1,1264705.882
8/18/18,PVAR1104,PVAR,0.612,1,2,833333.3333
8/18/18,PVAR1104,PVAR,0.612,2,1,1117647.059
8/18/18,PVAR1104,PVAR,0.612,2,2,1147058.824
8/18/18,PVAR84,PVAR,0.993,1,1,1492447.13
8/18/18,PVAR84,PVAR,0.993,1,2,1117824.773
8/18/18,PVAR84,PVAR,0.993,2,1,1033232.628
8/18/18,PVAR84,PVAR,0.993,2,2,1021148.036
8/18/18,PVAR35,PVAR,0.683,1,1,983894.5827
8/18/18,PVAR35,PVAR,0.683,1,2,825768.6676
8/18/18,PVAR35,PVAR,0.683,2,1,1563689.605
8/18/18,PVAR35,PVAR,0.683,2,2,676427.5256
8/18/18,PVAR1982,PVAR,0.429,1,1,895104.8951
8/18/18,PVAR1982,PVAR,0.429,1,2,783216.7832
8/18/18,PVAR1982,PVAR,0.429,2,1,895104.8951
8/18/18,PVAR1982,PVAR,0.429,2,2,825174.8252
8/18/18,PVAR208,PVAR,0.478,1,1,1179916.318
8/18/18,PVAR208,PVAR,0.478,1,2,1142259.414
8/18/18,PVAR208,PVAR,0.478,2,1,941422.5941
8/18/18,PVAR208,PVAR,0.478,2,2,1230125.523
8/18/18,PVAR148,PVAR,0.522,1,1,655172.4138
