Pin,On/Adjacent,Block,Species,Juvenile/Adult,MaxN,Time Stamp,Notes
14,Adjacent,7,Acanthurus triostegus,Adult,2,0:17,
14,Adjacent,7,Chaetodon vagabundus,Adult,2,7:06,
4,On,9,Zebrasoma scopas,Adult,1,0:01,
4,On,9,Stegastes sp,Adult,3,2:31,
4,On,9,Chlorurus spilurus,Adult,1,0:04,
4,On,9,Epinephelus merra,Adult,2,0:09,
4,On,9,Parupeneus multifasciatus,Adult,2,0:10,
4,On,9,Thalassoma hardwicke,Adult,2,7:00,
4,On,9,Balistapus undulatus,Adult,1,1:20,
4,On,9,Centropyge flavissima,Adult,1,1:25,
4,On,9,Cheilinus trilobatus,Adult,1,4:22,
4,On,9,Cheilio inermis,Adult,1,4:57,
4,On,9,Mulloidichthys flavolineatus,Adult,2,7:48,
4,On,9,Carcharhinus melanopterus,Adult,1,8:30,
10,Adjacent,7,Thalassoma hardwicke,Adult,2,2:55,
10,Adjacent,7,Stegastes sp,Adult,6,4:09,
10,Adjacent,7,Acanthurus nigrofuscus,Adult,1,0:24,
10,Adjacent,7,Mulloidichthys flavolineatus,Adult,5,1:11,
10,Adjacent,7,Stethojulis bandanensis,Adult,2,1:17,
10,Adjacent,7,Centropyge flavissima,Adult,1,1:25,
10,Adjacent,7,Chlorurus spilurus,Female,1,2:36,
10,Adjacent,7,Siganus spinus,Adult,1,2:37,
10,Adjacent,7,Acanthurus triostegus,Adult,2,2:47,
10,Adjacent,7,Chaetodon citrinellus,Adult,1,3:09,
10,Adjacent,7,Stegastes albifasciatus,Adult,1,4:36,
10,Adjacent,7,Balistapus undulatus,Adult,1,4:36,
10,Adjacent,7,Parupeneus multifasciatus,Adult,1,5:04,
10,Adjacent,7,Halichoeres trimaculatus,Adult,1,9:20,
9,On,7,Chromis viridis,Adult,27,0:01,
9,On,7,Abudefduf sexfasciatus,Adult,2,4:01,
9,On,7,Zanclus cornutus,Adult,1,0:08,
9,On,7,Epinephelus merra,Adult,1,0:08,
9,On,7,Stegastes sp,Adult,3,1:24,
9,On,7,Cheilinus trilobatus,Adult,1,1:55,
9,On,7,Thalassoma hardwicke,Adult,1,1:02,
9,On,7,Chaetodon lunulatus,Adult,2,1:19,
9,On,7,Parupeneus multifasciatus,Adult,1,1:20,
9,On,7,Cheilinus chlorourus,Adult,2,1:52,
9,On,7,Labroides dimidiatus,Adult,1,2:18,
9,On,7,Stethojulis bandanensis,Adult,1,2:19,
9,On,7,Rhinecanthus aculeatus,Adult,1,3:50,
9,On,7,Siganus spinus,Adult,1,5:40,
9,On,7,Stethojulis bandanensis,Adult,1,5:42,
10,On,6,Stegastes sp,Adult,9,6:07,
10,On,6,Dascyllus aruanus,Adult,1,0:22,
10,On,6,Wrasse Unknown,Adult,1,0:57,
10,On,6,Kyphosus sp.,Adult,4,3:40,
10,On,6,Gomphosus varius,Adult,1,3:01,
10,On,6,Chaetodon auriga,Adult,2,3:26,
10,On,6,Thalassoma hardwicke,Adult,1,9:07,
14,On,8,Chaetodon vagabundus,Adult,2,4:43,
14,On,8,Carcharhinus melanopterus,Adult,1,5:44,
14,On,8,Kyphosus sp.,Adult,1,8:01,
12,On,3,Balistapus undulatus,Adult,1,0:01,
12,On,3,Thalassoma hardwicke,Adult,2,5:28,
12,On,3,Stegastes sp,Adult,15,1:59,
