"","CowTagID","lat","lon.x","shore_dist_m","lon.y","adj_CT_depth_cm","Maximum_Salinity","Maximum_pH","Maximum_Temperature","Maximum_TA","Maximum_NN_umolL","Maximum_Silicate_umolL","Maximum_Ammonia_umolL","Maximum_Phosphate_umolL","Minimum_Salinity","Minimum_pH","Minimum_Temperature","Minimum_TA","Minimum_NN_umolL","Minimum_Silicate_umolL","Minimum_Ammonia_umolL","Minimum_Phosphate_umolL","Range_Salinity","Range_pH","Range_Temperature","Range_TA","Range_NN_umolL","Range_Silicate_umolL","Range_Ammonia_umolL","Range_Phosphate_umolL","MeanSeasonal_Salinity","MeanSeasonal_pH","MeanSeasonal_Temperature","MeanSeasonal_TA","MeanSeasonal_NN_umolL","MeanSeasonal_Silicate_umolL","MeanSeasonal_Ammonia_umolL","MeanSeasonal_Phosphate_umolL","CVSeasonal_Salinity","CVSeasonal_pH","CVSeasonal_Temperature","CVSeasonal_TA","CVSeasonal_NN_umolL","CVSeasonal_Silicate_umolL","CVSeasonal_Ammonia_umolL","CVSeasonal_Phosphate_umolL"
"1","V1",-17.53975298,-149.900506,22.5,-149.900506,76.6,36.67,8.03355611839245,29.3,2360.875128,0.758656776,4.940658029,0.828499422,0.187228219,36.34,7.9048229096102,28.38,2333.14574,0.154868566,1.232851655,0.230482094,0.143281048,0.329999999999998,0.128733208782245,0.920000000000002,27.7293880000002,0.60378821,3.707806374,0.598017328,0.043947171,36.5625,7.95467650347563,28.7825,2349.9651295,0.4366859695,2.19441359475,0.5076636655,0.165382252,0.00413208750215057,0.0069979613758072,0.0143597606586868,0.00526012552816512,0.587643060524836,0.83448453625634,0.569590984901109,0.115267637340333
"2","V10",-17.54030501,-149.899788,28.5,-149.899788,32.9,36.61,8.04179062100226,29.51,2355.541037,0.185062483,1.241850345,0.334172034,0.15502195,36.56,7.94124957292288,28.71,2329.516085,0.073660449,0.987118198,0.129792442,0.132885942,0.0499999999999972,0.100541048079381,0.800000000000001,26.0249519999998,0.111402034,0.254732147,0.204379592,0.022136008,36.59,7.98242521148134,29.07,2342.7591525,0.12715325425,1.07563415825,0.2400080075,0.143884336,0.000669442400323334,0.00599553430076695,0.0116891594426095,0.00454327201329267,0.389688968284456,0.108061431907272,0.36683403746837,0.0636228184878692
"3","V11",-17.54019303,-149.900068,34,-149.900068,50.8,36.63,8.0428857767403,29.3,2385.505837,0.540719787,3.202180346,0.294148198,0.173538235,36.37,7.94159186919343,28.45,2316.6125,0.122511503,0.977081198,0.092888905,0.130612012,0.260000000000005,0.101293907546869,0.850000000000001,68.893337,0.418208284,2.225099148,0.201259293,0.042926223,36.5425,7.98127574615139,28.815,2345.01406875,0.312372656,1.5618229945,0.19729891375,0.15512636575,0.00320206322655692,0.00592711477201897,0.0127809929017238,0.0123621147743655,0.632275527277943,0.700617630140418,0.447808383464236,0.118546777544581
"4","V12",-17.54030996,-149.900112,47,-149.900112,59.5,36.63,8.04805275096319,29.38,2356.102916,0.25716736,1.077105098,0.236962716,0.163143128,36.5,7.94470926351412,28.48,2319.751901,0.111785903,0.909244919,0.125171999,0.131215299,0.130000000000003,0.10334348744907,0.899999999999999,36.3510149999997,0.145381457,0.167860179,0.111790717,0.031927829,36.5775,7.98681939523607,28.865,2336.702701,0.162079054,0.96341011075,0.19540873225,0.14585662175,0.00152013554030142,0.00589034617708634,0.0131875048055945,0.00651538323922837,0.408228884029088,0.0798030066214903,0.249965451546712,0.0925238184362078
"5","V13",-17.540749,-149.899133,NA,NA,NA,36.6,8.03491097984902,29.43,2350.382849,0.34603662,1.410056627,1.689881996,0.164488923,36.38,7.93241582918226,28.56,2320.632545,0.125666091,1.170206929,0.132612713,0.134742211,0.219999999999999,0.102495150666757,0.870000000000001,29.7503040000001,0.220370529,0.239849698,1.557269283,0.029746712,36.5325,7.97477943123835,28.975,2334.69966275,0.23977205825,1.2980921575,0.5913716905,0.15119339575,0.00285672067418566,0.00616655591222137,0.0134569290956659,0.00546285003490824,0.405765574908517,0.0828942792821376,1.24396740938379,0.0851855341508357
"6","V14",-17.54039696,-149.899396,17,-149.899396,61.8,36.57,8.01550462116522,29.4,2354.98,0.279610003,3.467295597,0.272426115,0.163235941,36.47,7.91501466060074,28.53,2322.19,0.174607276,2.041695443,0.223881462,0.143002608,0.100000000000001,0.100489960564473,0.869999999999997,32.79,0.105002727,1.425600154,0.048544653,0.020233333,36.5125,7.97183046597469,28.915,2333.84,0.20405761175,2.9075597755,0.24225822325,0.1533397065,0.0011484419149067,0.00646336897598573,0.0142384152517647,0.0062787480786819,0.247278205920884,0.209998962792667,0.086501946432668,0.0556118995537727
"7","V15",-17.54014299,-149.900183,36,-149.900183,43.5,36.59,8.03610170117537,29.4,2352.742306,0.529273138,4.175077174,1.451119107,0.179246262,36.38,7.93708686049673,28.51,2325.725545,0.1682981,0.984003267,0.180377291,0.148246568,0.210000000000001,0.09901484067864,0.889999999999997,27.0167610000003,0.360975038,3.191073907,1.270741816,0.030999694,36.5275,7.9763503653517,28.9,2335.6039275,0.30326941575,1.95369863775,0.51705456575,0.162284603,0.00271360312115514,0.00593397834063707,0.0132425480117949,0.0054306092517487,0.51947681174026,0.772234149528157,1.20542530089924,0.0848408478921113
"8","V16",-17.54029797,-149.900492,70,-149.900492,75.7,36.64,8.05239901757699,29.36,2350.500981,0.156671188,1.469932526,0.387457142,0.164999397,36.55,7.9516011059132,28.58,2329.885978,0.087811031,0.828602813,0.178217084,0.127456354,0.0900000000000034,0.100797911663789,0.780000000000001,20.6150030000003,0.068860157,0.641329713,0.209240058,0.037543043,36.5975,7.99460901293683,28.8675,2339.30751,0.12591395175,1.0702695545,0.27581644,0.1486758305,0.00103146860240057,0.00554418795723764,0.0119109249134523,0.0040368765585537,0.225832826479371,0.268131301518038,0.326264299902629,0.105185292974583
"9","V17",-17.54031901,-149.899572,18.5,-149.899572,69.2,36.57,8.02131791089403,29.28,2351.13,0.344684654,2.725595881,0.248183791,0.152980054,36.46,7.92168029503636,28.46,2325.71,0.173705965,2.499244218,0.187577982,0.141331966,0.109999999999999,0.0996376158576702,0.82,25.4200000000001,0.170978689,0.226351663,0.060605809,0.011648088,36.5266666666667,7.98372044277367,28.9033333333333,2335.40666666667,0.243587608,2.59569171566667,0.221761258333333,0.147844376333333,0.0016041609628807,0.00677997779042524,0.0143251673202101,0.00588329743097146,0.368088297984485,0.0450076000386639,0.139967169819339,0.0402100683242198
"10","V18",-17.54019697,-149.899906,25,-149.899906,31.5,36.6,8.04512481118532,29.07,2389.34,0.669156598,7.738904509,4.25986836,0.201475084,36,7.93422031771756,28.61,2329.31,0.110343805,0.858814892,0.164055727,0.141192746,0.600000000000001,0.110904493467761,0.460000000000001,60.0300000000002,0.558812793,6.880089617,4.095812633,0.060282338,36.4375,7.97635897180944,28.8025,2352.62175,0.35287161675,2.779959394,1.24235792075,0.169997543,0.00801188916747581,0.00647562245190951,0.00669264713670736,0.0110077584024749,0.74652361025881,1.19120693664875,1.62037590325557,0.179044294142697
"11","V19",-17.54050802,-149.89978,45,-149.89978,82.9,36.62,8.04730720202828,29.37,2343.707945,0.37666396,1.185435481,0.950458716,0.187056048,36.52,7.9501934177493,28.63,2320.615292,0.067080879,0.739466183,0.155294887,0.11887111,0.0999999999999943,0.097113784278978,0.740000000000002,23.0926530000002,0.309583081,0.445969298,0.795163829,0.068184938,36.5725,7.99259601195475,28.92,2332.9028455,0.1584244365,0.9303102205,0.37270267475,0.14703175575,0.0013648669657868,0.00549304973337128,0.0111546907210099,0.0045345514795255,0.922973274274469,0.199730302601287,1.034902546061,0.207626662779082
"12","V2",-17.53989003,-149.900519,35,-149.900519,69.2,36.64,8.03991681797496,29.32,2360.453386,0.620575938,3.700915433,0.583375924,0.174559182,36.42,7.92523676833072,28.43,2335.686567,0.232831964,1.036264889,0.163935715,0.147550467,0.219999999999999,0.114680049644243,0.890000000000001,24.7668189999999,0.387743974,2.664650544,0.419440209,0.027008715,36.5425,7.96600692987735,28.815,2346.84460025,0.38461272925,1.911820119,0.3074244705,0.16280667875,0.00251180950272774,0.00659803065590996,0.0135672059840807,0.00467879443614782,0.430535010827964,0.647667199675308,0.611355073313376,0.0773591266232828
"13","V20",-17.54045103,-149.899509,29,-149.899509,65,36.66,8.03362668845326,29.4,2347.161306,0.28925403,1.495544182,0.465584632,0.166438005,36.52,7.93085765164605,28.53,2310.803421,0.119176652,1.164669273,0.15511487,0.147596874,0.139999999999993,0.102769036807208,0.869999999999997,36.3578849999999,0.170077378,0.330874909,0.310469762,0.018841131,36.595,7.97542242785598,28.915,2325.32547025,0.18107418225,1.36281350475,0.2556545075,0.15425623925,0.00158554403475232,0.00617055514878337,0.0142384152517647,0.00667944462727745,0.440823970329051,0.104634482828553,0.553984254826027,0.0559541515342721
"14","V3",-17.54012598,-149.90056,59,-149.90056,52,36.63,8.04658244233596,29.31,2361.344489,0.458430097,3.033281857,0.66846408,0.165463464,36.43,7.91742562590164,28.48,2338.368209,0.17487767,0.940740334,0.223401416,0.112838235,0.200000000000003,0.129156816434312,0.829999999999998,22.9762799999999,0.283552427,2.092541523,0.445062664,0.052625229,36.55,7.97087191525864,28.8375,2348.57690275,0.278325635,1.576878495,0.4423174015,0.1495807615,0.00232155441155641,0.00710723760665999,0.0124463631416337,0.00480738198140519,0.467006053656628,0.629441699654178,0.414037723779656,0.166108543827357
"15","V4",-17.54024902,-149.900454,63.5,-149.900454,58.7,36.65,8.05021091697143,29.33,2362.423851,0.252300281,1.174706274,0.408759185,0.163003907,36.54,7.94843547289435,28.49,2338.301671,0.184071041,0.853522262,0.132552707,0.128152455,0.109999999999999,0.101775444077076,0.84,24.1221799999998,0.06822924,0.321184012,0.276206478,0.034851452,36.5775,7.98795184988661,28.8525,2350.21746375,0.20486879175,0.97768687875,0.27671652675,0.14257334575,0.00136468039385523,0.00567094660254628,0.0122452410203133,0.00435294486294735,0.157875816257036,0.14741166446304,0.429800201987101,0.105005357589026
"16","V5",-17.54025003,-149.900336,55,-149.900336,70.9,36.61,8.04767416466006,29.37,2352.301094,0.3723549,2.390567731,0.470025058,0.162771874,36.5,7.94626126726384,28.47,2321.775911,0.135219987,0.891247539,0.147074099,0.116086706,0.109999999999999,0.101412897396219,0.900000000000002,30.5251829999997,0.237134913,1.499320192,0.322950959,0.046685168,36.565,7.98286391315171,28.8625,2337.9675345,0.2367526665,1.32967409825,0.3228309475,0.145879825,0.0012730060662536,0.00584584444311988,0.0131091451111013,0.00643283848321197,0.435348879798847,0.536878559513016,0.463397922825693,0.150130824587178
"17","V6",-17.54002498,-149.900106,20,-149.900106,67.7,36.58,8.03043895597614,29.29,2405.71887,0.534681004,4.688002503,0.298948658,0.18040643,36.36,7.91622854131028,28.34,2335.810823,0.134498939,1.491044837,0.125652045,0.141610406,0.219999999999999,0.114210414665864,0.949999999999999,69.9080470000004,0.400182065,3.196957666,0.173296613,0.038796024,36.4825,7.96892748278603,28.7675,2359.93571425,0.31710453875,2.9299699745,0.2315471965,0.164546931,0.00288678083610491,0.00658840188566216,0.0148633145666452,0.0133754496353219,0.61008698764545,0.543088970461215,0.323616027930265,0.100031437536287
"18","V7",-17.54004803,-149.899985,15.5,-149.899985,45.9,36.58,8.02437025962059,29.48,2357.65494,0.479520773,5.850910131,0.239062917,0.17558013,36.32,7.91307048702686,28.53,2332.53922,0.168388231,1.628447911,0.162075537,0.148432195,0.259999999999998,0.111299772593737,0.949999999999999,25.1157199999998,0.311132542,4.22246222,0.07698738,0.027147935,36.4525,7.96745846872328,28.9725,2341.45340375,0.307618241,3.2701896765,0.2014393105,0.16452372775,0.00291508824347575,0.00644035719105431,0.0148091827766102,0.00494852524752637,0.478478495060124,0.580257382466635,0.180860284906111,0.069718086225875
"19","V8",-17.54014903,-149.899896,20,-149.899896,37.9,36.68,8.03192229991678,29.43,2355.165876,0.406694848,3.702299847,0.342932874,0.171403525,36.46,7.93021162038583,28.61,2329.224197,0.169830328,1.306225589,0.13123258,0.145415758,0.219999999999999,0.101710679530944,0.82,25.941679,0.23686452,2.396074258,0.211700294,0.025987767,36.5675,7.97484880349258,28.97,2342.36522525,0.2743598665,2.1683693095,0.22059614675,0.1604167325,0.00245993551077023,0.00583495170001916,0.0124649431033951,0.00478131148971191,0.357515805848079,0.510527248257459,0.419785223514847,0.0705774687167072
"20","V9",-17.540245,-149.899765,22.5,-149.899765,77,36.61,8.03563383737151,29.45,2354.123837,0.244549007,1.543652563,0.264385345,0.158827302,36.52,7.93202266004098,28.86,2330.358812,0.105927381,1.031073338,0.163515675,0.131586553,0.0899999999999963,0.103611177330533,0.59,23.7650250000002,0.138621626,0.512579225,0.10086967,0.027240749,36.5725,7.97488636418586,29.0825,2340.76039825,0.1830570665,1.2095761975,0.2050696585,0.1462278755,0.00112461208824961,0.00626667587308743,0.00912497516356267,0.00480720827375153,0.3365826591977,0.188298504550375,0.23561566510046,0.076859641865257
"21","VSEEP",-17.540302,-149.899331,2,-149.899331,39.9,36.54,8.01943567151829,30.09,3370.869465,18.53571555,447.2495465,4.325574659,2.3580421,15.12,7.02590388215805,26.98,2294.644581,0.353787894,3.096964894,0.208039943,0.16495299,21.42,0.993531789360236,3.11,1076.224884,18.181927656,444.152581606,4.117534716,2.19308911,27.421875,7.55017348413755,28.426875,2758.524264375,8.1370816225,183.566386647125,1.60904337425,1.0394727530625,0.313307633911043,0.0513435000528258,0.0379030204070352,0.146428747125934,0.853184517161574,0.925211697188268,0.960276577869332,0.732454697516955
