Location,lat,lon,CowTagID,Maximum_Salinity,Maximum_Temperature,Maximum_TA,Maximum_pH,Maximum_Phosphate_umolL,Maximum_Silicate_umolL,Maximum_NN_umolL,Maximum_Ammonia_umolL,Maximum_M_C,Maximum_HIX,Maximum_VisibleHumidic_Like,Maximum_Tryptophan_Like,Maximum_Tyrosine_Like,Minimum_Salinity,Minimum_Temperature,Minimum_TA,Minimum_pH,Minimum_Phosphate_umolL,Minimum_Silicate_umolL,Minimum_NN_umolL,Minimum_Ammonia_umolL,Minimum_M_C,Minimum_HIX,Minimum_VisibleHumidic_Like,Minimum_Tryptophan_Like,Minimum_Tyrosine_Like,Range_Salinity,Range_Temperature,Range_TA,Range_pH,Range_Phosphate_umolL,Range_Silicate_umolL,Range_NN_umolL,Range_Ammonia_umolL,Range_M_C,Range_HIX,Range_VisibleHumidic_Like,Range_Tryptophan_Like,Range_Tyrosine_Like,MeanAll_Salinity,MeanAll_Temperature,MeanAll_TA,MeanAll_pH,MeanAll_Phosphate_umolL,MeanAll_Silicate_umolL,MeanAll_NN_umolL,MeanAll_Ammonia_umolL,MeanAll_M_C,MeanAll_HIX,MeanAll_VisibleHumidic_Like,MeanAll_Tryptophan_Like,MeanAll_Tyrosine_Like,CVAll_Salinity,CVAll_Temperature,CVAll_TA,CVAll_pH,CVAll_Phosphate_umolL,CVAll_Silicate_umolL,CVAll_NN_umolL,CVAll_Ammonia_umolL,CVAll_M_C,CVAll_HIX,CVAll_VisibleHumidic_Like,CVAll_Tryptophan_Like,CVAll_Tyrosine_Like
Varari,-17.53975298,-149.900506,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.53989003,-149.900519,V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54012598,-149.90056,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54024902,-149.900454,V4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54025003,-149.900336,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54002498,-149.900106,V6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54004803,-149.899985,V7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54014903,-149.899896,V8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.540245,-149.899765,V9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54030501,-149.899788,V10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54019303,-149.900068,V11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54030996,-149.900112,V12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.540749,-149.899133,V13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54039696,-149.899396,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54014299,-149.900183,V15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54029797,-149.900492,V16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54031901,-149.899572,V17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54019697,-149.899906,V18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54050802,-149.89978,V19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.54045103,-149.899509,V20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varari,-17.540302,-149.899331,VSEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
