d13C,d15N,Genotype,Species,HS
-14.3,5.8,PR03,Porites rus,host
-14.1,5.6,PR06,Porites rus,host
-15.9,6.5,PR02,Porites rus,host
-15,6.6,PR07,Porites rus,host
-14.4,6.2,PR08,Porites rus,host
-13.2,6.3,PR06,Porites rus,host
-15.3,6.4,PR03,Porites rus,host
-14.1,5.5,PR02,Porites rus,host
-13.1,6,PR06,Porites rus,host
-15.1,6.1,PR02,Porites rus,host
-14.3,6.5,PR08,Porites rus,host
-13.6,5.2,PR07,Porites rus,host
-13.5,5.8,PR04,Porites rus,host
-15.3,6.3,PR08,Porites rus,host
-13.1,6,PR03,Porites rus,host
-14.7,6.6,PR08,Porites rus,host
-15.2,6.4,PR04,Porites rus,host
-14.1,6.2,PR07,Porites rus,host
-13.6,6.2,PR04,Porites rus,host
