Micro_Vial,Weight..mg.,μg.N,δ15N...........vs..AIR.,μg.C,δ13C............vs..VPDB.,HS,δ15N,δ13C,Vial_No_Only,Placement_Code,Pin_Number,Cage_Uncaged,Metabolomics_Vial,Genotype,Species,CowTagID,Δ15N,Δ13C,C_N_ratio,Percent_N,Percent_C,δ15N_T0,δ13C_T0,δ15N_T1_T0,δ13C_T1_T0,Δ15N_T1T0,Δ13C_T1T0,δ15N_T1_T0_host,δ15N_T1_T0_symb,δ13C_T1_T0_host,δ13C_T1_T0_symb,Percent_N15,Percent_C13
PA11,18.9044,51.9,5.6,309,-16.6,host,5.6,-16.6,NA,T0,T0,NA,NA,PA11,Pocillopora acuta,T0,0.2999999999999998,0.3999999999999986,5.9537572254335265,0.27453926070121243,1.634540107065022,5.6,-16.6,0,0,0,0,0,0,0,0,10.789980732177264,-5.372168284789645
PA13,18.9256,45.8,5.8,270.8,-17,host,5.8,-17,NA,T0,T0,NA,NA,PA13,Pocillopora acuta,T0,0.5,0.3000000000000007,5.9126637554585155,0.24200025362471994,1.4308661284186501,5.8,-17,0,0,0,0,0,0,0,0,12.663755458515286,-6.277695716395863
PA19,19.4628,45.7,5.7,264.5,-16.9,host,5.7,-16.9,NA,T0,T0,NA,NA,PA19,Pocillopora acuta,T0,0.2999999999999998,-0.1999999999999993,5.787746170678337,0.2348069137020367,1.3590028156277616,5.7,-16.9,0,0,0,0,0,0,0,0,12.472647702407,-6.389413988657844
PA21,28.3977,49.8,5.6,322.3,-19.3,host,5.6,-19.3,NA,T0,T0,NA,NA,PA21,Pocillopora acuta,T0,0.8999999999999995,0,6.471887550200804,0.1753663148776133,1.1349510699810197,5.6,-19.3,0,0,0,0,0,0,0,0,11.244979919678714,-5.988209742475954
PA22,19.4048,51.9,6.2,300.5,-15.8,host,6.2,-15.8,NA,T0,T0,NA,NA,PA22,Pocillopora acuta,T0,0.40000000000000036,0,5.7899807321772645,0.2674595976253298,1.5485859168865432,6.2,-15.8,0,0,0,0,0,0,0,0,11.946050096339114,-5.2579034941763725
PAC 04,14.2238,61.8,6.7,326.4,-16.5,host,6.7,-16.5,4,PAC V02 A,2,A,PAC 04,PA21,Pocillopora acuta,V2,0.40000000000000036,0.1999999999999993,5.281553398058253,0.43448304953669203,2.2947454266792273,5.6,-19.3,1.1000000000000005,2.8000000000000007,-0.4999999999999991,0.1999999999999993,1.1000000000000005,1.5999999999999996,2.8000000000000007,2.6000000000000014,10.841423948220065,-5.05514705882353
PAC 37,27.637,73.9,6.2,377.5,-16.7,host,6.2,-16.7,37,PAC V20 A,20,A,PAC 37,PA11,Pocillopora acuta,V20,-0.5999999999999996,0.6999999999999993,5.108254397834911,0.26739515866410973,1.3659224952057025,5.6,-16.6,0.6000000000000005,-0.09999999999999787,-0.8999999999999995,0.3000000000000007,0.6000000000000005,1.5,-0.09999999999999787,-0.3999999999999986,8.389715832205683,-4.423841059602649
PR02,37.89,40.7,5.9,259,-14.1,host,5.9,-14.1,NA,T0,T0,NA,NA,PR02,Porites rus,T0,-0.2999999999999998,-1.1999999999999993,6.363636363636363,0.10741620480337821,0.6835576669305885,5.9,-14.1,0,0,0,0,0,0,0,0,14.496314496314497,-5.444015444015444
PR06,37.58,48.3,2.9,296.6,-13.9,host,2.9,-13.9,NA,T0,T0,NA,NA,PR06,Porites rus,T0,-3.0000000000000004,-0.7000000000000011,6.140786749482403,0.1285258116019159,0.7892496008515169,2.9,-13.9,0,0,0,0,0,0,0,0,6.004140786749482,-4.68644639244774
PRU 07,35.75,41.2,5.8,254.4,-14.3,host,5.8,-14.3,7,PRU V03 C,3,C,PRU 07,PR03,Porites rus,V3,0.20000000000000018,-1.5,6.174757281553398,0.11524475524475526,0.7116083916083916,4.6,-15.1,1.2000000000000002,0.7999999999999989,0.8000000000000007,0.09999999999999964,1.2000000000000002,0.39999999999999947,0.7999999999999989,0.6999999999999993,14.077669902912621,-5.621069182389937
PRU 31,38.15,48.6,5.6,311.3,-14.1,host,5.6,-14.1,31,PRU V12 C,12,C,PRU 31,PR06,Porites rus,V12,-0.3000000000000007,-3.1999999999999993,6.405349794238683,0.12739187418086503,0.815989515072084,2.9,-13.9,2.6999999999999997,-0.1999999999999993,2.6999999999999997,-2.4999999999999982,2.6999999999999997,0,-0.1999999999999993,2.299999999999999,11.522633744855966,-4.529392868615483
PR03,28.7263,20.5,4.6,152.6,-15.1,host,4.6,-15.1,NA,T0,T0,NA,NA,PR03,Porites rus,T0,-0.6000000000000005,-1.5999999999999996,7.44390243902439,0.07136317590500692,0.5312205191758075,4.6,-15.1,0,0,0,0,0,0,0,0,22.4390243902439,-9.895150720838794
PR07,24.1438,39.4,5.6,259.9,-14.6,host,5.6,-14.6,NA,T0,T0,NA,NA,PR07,Porites rus,T0,-0.20000000000000018,-1.6999999999999993,6.596446700507614,0.1631888932148212,1.0764668362063965,5.6,-14.6,0,0,0,0,0,0,0,0,14.213197969543149,-5.617545209696037
PRU 16,26.275,40.3,6.5,246.6,-15.9,host,6.5,-15.9,16,PRU V05 C,5,C,PRU 16,PR02,Porites rus,V5,0.20000000000000018,-0.5999999999999996,6.119106699751861,0.1533777354900095,0.9385347288296861,5.9,-14.1,0.5999999999999996,-1.8000000000000007,0.5,0.5999999999999996,0.5999999999999996,0.09999999999999964,-1.8000000000000007,-2.4000000000000004,16.12903225806452,-6.447688564476886
PRU 22,26.2726,42.4,6.6,282.3,-15,host,6.6,-15,22,PRU V06 C,6,C,PRU 22,PR07,Porites rus,V6,-0.20000000000000018,-0.8000000000000007,6.658018867924529,0.1613848648401757,1.0745034751033395,5.6,-14.6,1,-0.40000000000000036,0,0.8999999999999986,1,1,-0.40000000000000036,-1.299999999999999,15.566037735849056,-5.313496280552603
PRU 49,27.0514,41.5,6.2,271.2,-14.4,host,6.2,-14.4,49,PRU V17 C,17,C,PRU 49,PR08,Porites rus,V17,-0.20000000000000018,-0.40000000000000036,6.534939759036145,0.15341165337099003,1.002535913113554,5.9,-13.7,0.2999999999999998,-0.7000000000000011,0.1999999999999993,-0.3000000000000007,0.2999999999999998,0.10000000000000053,-0.7000000000000011,-0.40000000000000036,14.93975903614458,-5.3097345132743365
PAC 60,18.8599,57.4,6.5,338.9,-15.5,host,6.5,-15.5,60,PAC V18 A,18,A,PAC 60,PA22,Pocillopora acuta,V18,0.5999999999999996,0.3000000000000007,5.904181184668989,0.30434943981675405,1.7969342361306262,6.2,-15.8,0.2999999999999998,0.3000000000000007,0.1999999999999993,0.3000000000000007,0.2999999999999998,0.10000000000000053,0.3000000000000007,0,11.32404181184669,-4.573620537031573
PR04,19.5728,42.4,5.3,289.1,-15.1,host,5.3,-15.1,NA,T0,T0,NA,NA,PR04,Porites rus,T0,-1.1000000000000005,-0.9000000000000004,6.8183962264150955,0.21662715605329846,1.477049783372844,5.3,-15.1,0,0,0,0,0,0,0,0,12.5,-5.223106191629193
PR08,19.2343,33.1,5.9,222.3,-13.7,host,5.9,-13.7,NA,T0,T0,NA,NA,PR08,Porites rus,T0,-0.39999999999999947,-0.09999999999999964,6.716012084592145,0.17208840456892116,1.1557478047030567,5.9,-13.7,0,0,0,0,0,0,0,0,17.824773413897283,-6.162843004948267
PRU 04,17.9894,43.5,6.3,244.4,-13.2,host,6.3,-13.2,4,PRU V02 C,2,C,PRU 04,PR06,Porites rus,V2,0.20000000000000018,-0.5,5.618390804597701,0.24180906533847712,1.3585778291660644,2.9,-13.9,3.4,0.7000000000000011,3.2000000000000006,0.20000000000000107,3.4,0.1999999999999993,0.7000000000000011,0.5,14.482758620689653,-5.400981996726677
PRU 10,16.9838,33.8,6.4,199.9,-15.3,host,6.4,-15.3,10,PRU V16 C,16,C,PRU 10,PR03,Porites rus,V16,0.40000000000000036,-0.6000000000000014,5.9142011834319534,0.19901317726303888,1.1770039684876177,4.6,-15.1,1.8000000000000007,-0.20000000000000107,1.0000000000000009,0.9999999999999982,1.8000000000000007,0.7999999999999998,-0.20000000000000107,-1.1999999999999993,18.93491124260355,-7.653826913456728
PRU 13,19.6704,30.7,5.5,204.4,-14.1,host,5.5,-14.1,13,PRU V04 C,4,C,PRU 13,PR02,Porites rus,V4,-0.40000000000000036,-0.6999999999999993,6.657980456026059,0.15607206767528878,1.0391247763136489,5.9,-14.1,-0.40000000000000036,0,-0.10000000000000053,0.5,-0.40000000000000036,-0.2999999999999998,0,-0.5,17.91530944625407,-6.898238747553815
PRU 19,18.6367,27.8,6,182.5,-13.1,host,6,-13.1,19,PRU V15 C,15,C,PRU 19,PR06,Porites rus,V15,-0.09999999999999964,-1.0999999999999996,6.5647482014388485,0.14916803940611803,0.9792506184034726,2.9,-13.9,3.1,0.8000000000000007,2.900000000000001,-0.3999999999999986,3.1,0.1999999999999993,0.8000000000000007,1.1999999999999993,21.58273381294964,-7.178082191780821
