Sample ID,Seep_Out,POM_Zoop,Replicate,Weight Non-Acifified (mg),Weight Acidified (mg),μg N,δ15N        (‰ vs. AIR),μg C,δ13C         (‰ vs. VPDB),Date:
SGD OUT POM 01,Out,POM,1,83.13,201.744,11.2,6.4,83.5,-21.7,9/19/24
SGD OUT POM 02,Out,POM,2,81.979,203.568,13.9,6.8,83.5,-21.3,9/19/24
SGD OUT POM 03,Out,POM,3,83.979,202.469,11.4,6.5,76.9,-21.4,9/19/24
SGD OUT ZOOP 01,Out,ZOOP,1,81.926,200.005,77.7,5.8,410.6,-17.8,9/19/24
SGD OUT ZOOP 02,Out,ZOOP,2,72.85,196.501,35.5,5.7,242.3,-18.4,9/19/24
SGD OUT ZOOP 03,Out,ZOOP,3,63.467,185.567,14.6,6.1,114.6,-20.1,9/19/24
SGD SEEP POM 01,Seep,POM,1,84.946,203.996,38.9,8.2,206.7,-19.9,9/19/24
SGD SEEP POM 02,Seep,POM,2,84.958,200.973,32.4,6.5,164.9,-19.4,9/19/24
SGD SEEP POM 03,Seep,POM,3,86.24,202.849,32.3,7.8,178.3,-19.4,9/19/24
SGD SEEP ZOOP 01,Seep,ZOOP,1,6.006,4.56,6.1,7.4,58.7,-20,9/13/24
SGD SEEP ZOOP 02,Seep,ZOOP,2,5.781,2.1709,7.4,6.9,18.8,-20.3,9/13/24
SGD SEEP ZOOP 03,Seep,ZOOP,3,5.46,2.0006,9.7,7.2,36.1,-19.2,9/13/24
