Sample ID,Weight (mg),μg N,δ15N        (‰ vs. AIR),μg C,δ13C         (‰ vs. VPDB), ,,,,
,,,,,, ,,,,
,,,,,,,,,,
PA11 host,18.9044,51.9,5.6,309.0,-16.6,,,,,
PA11 symb,25.8405,39.4,5.3,306.7,-17.0,,,,,
PA13 host,18.9256,45.8,5.8,270.8,-17.0,,,,,
PA19 host,19.4628,45.7,5.7,264.5,-16.9,,,,,
PA21 host,28.3977,49.8,5.6,322.3,-19.3,,,,,
PA22 host,19.4048,51.9,6.2,300.5,-15.8,,,,,
PAC 04 host,14.2238,61.8,6.7,326.4,-16.5,,,,,
PAC 10 symb,38.55,53.6,6.1,346.2,-15.8,,,,,
PAC 37 host,27.6370,73.9,6.2,377.5,-16.7,,,,,
PAC 37 symb,27.8063,48.5,6.8,348.1,-17.4,,,,,
PR02 host,37.89,40.7,5.9,259.0,-14.1,,,,,
PR06 host,37.58,48.3,2.9,296.6,-13.9,,,,,
PRU 07 host,35.75,41.2,5.8,254.4,-14.3,,,,,
PRU 31 host,38.15,48.6,5.6,311.3,-14.1,,,,,
PRU 34 symb,37.49,53.8,5.7,334.3,-15.2,,,,,
PR03 host,28.7263,20.5,4.6,152.6,-15.1,,,,,
PR07 host,24.1438,39.4,5.6,259.9,-14.6,,,,,
PRU 16 host,26.2750,40.3,6.5,246.6,-15.9,,,,,
PRU 22 host,26.2726,42.4,6.6,282.3,-15.0,,,,,
PRU 43 symb,27.1674,58.2,5.6,373.7,-14.1,,,,,
PRU 49 host,27.0514,41.5,6.2,271.2,-14.4,,,,,
PRU 55 symb,28.1832,9.0,5.1,97.2,-12.3,,,,,
PAC 60 host,18.8599,57.4,6.5,338.9,-15.5,,,,,
PAC 60 symb,17.8889,36.4,5.9,266.7,-15.8,,,,,
PR03 symb,18.8749,34.8,5.2,254.0,-13.5,,,,,
PR04 host,19.5728,42.4,5.3,289.1,-15.1,,,,,
PR08 host,19.2343,33.1,5.9,222.3,-13.7,,,,,
PRU 04 host,17.9894,43.5,6.3,244.4,-13.2,,,,,
PRU 10 host,16.9838,33.8,6.4,199.9,-15.3,,,,,
PRU 13 host,19.6704,30.7,5.5,204.4,-14.1,,,,,
PRU 16 symb,20.0961,51.9,6.3,281.0,-15.3,,,,,
PRU 19 host,18.6367,27.8,6.0,182.5,-13.1,,,,,
PRU 34 host,19.5926,34.0,6.1,206.5,-15.1,,,,,
PRU 37 host,18.7969,53.3,6.5,346.8,-14.3,,,,,
PRU 40 host,20.3349,42.6,5.2,256.6,-13.6,,,,,
PRU 43 host,20.3519,47.9,5.8,295.0,-13.5,,,,,
PRU 46 host,18.2952,34.5,6.3,222.5,-15.3,,,,,
PRU 52 host,17.3851,39.9,6.0,264.9,-13.1,,,,,
PRU 60 symb,19.7028,41.4,6.0,268.1,-13.8,,,,,
PA13 symb,5.3585,45.7,5.3,382.1,-17.3,,,,,
PA18 host,7.5579,26.2,5.8,279.3,-16.9,,,,,
PA18 symb,10.0674,31.6,4.9,278.8,-16.8,,,,,
PA19 symb,6.1080,94.8,5.4,677.8,-16.7,,,,,
PA21 symb,5.8286,44.8,4.7,341.5,-19.3,,,,,
