ID,Placement_Code,Slurry Label,Dry Weight,Wax Weight,Wax-Dry,Surface_Area
124,NA,PR07,14.4065,15.3117,0.9052,43.48232
125,NA,PRUS 078,12.8369,14.0768,1.2399,59.07934
126,NA,PRUS 079,3.8562,4.1253,0.2691,13.84006
127,NA,PRUS 080,10.0546,10.484,0.4294,21.31004
128,NA,PRUS 065,7.5897,7.9578,0.3681,18.45346
129,NA,PRUS 061,3.43,3.8632,0.4332,21.48712
130,NA,PRUS 064,3.4103,3.7471,0.3368,16.99488
61,PAC V01 A,,NA,NA,#VALUE!,0
62,PAC V01 B,,NA,NA,#VALUE!,0
63,PAC V01 C,PAC 02,37.9602,39.2205,1.2603,60.02998
64,PAC V02 A,PAC 06,10.7925,12.1074,1.3149,62.57434
65,PAC V02 B,PAC 05,8.8968,9.9102,1.0134,48.52444
66,PAC V02 C,PAC 04,14.5694,16.3082,1.7388,82.32808
67,PAC V03 A,PAC 09,11.6186,12.7282,1.1096,53.00736
68,PAC V03 B,PAC 08,9.2797,10.1593,0.8796,42.28936
69,PAC V03 C,PAC 07,12.9899,14.4951,1.5052,71.44232
70,PAC V04 A,PAC 15,8.4598,9.2995,0.8397,40.43002
71,PAC V04 B,PAC 14,10.003,11.1541,1.1511,54.94126
72,PAC V04 C,PAC 13,9.282,10.3093,1.0273,49.17218
73,PAC V05 A,PAC 18,13.8221,15.2149,1.3928,66.20448
74,PAC V05 B,PAC 17,12.9703,14.4178,1.4475,68.7535
75,PAC V05 C,PAC 16,11.0346,12.4414,1.4068,66.85688
76,PAC V06 A,PAC 24,16.8879,18.6713,1.7834,84.40644
77,PAC V06 B,PAC 23,15.8226,17.8773,2.0547,97.04902
78,PAC V06 C,PAC 22,20.7572,23.0996,2.3424,110.45584
79,PAC V07 A,PAC 27,10.1191,11.5609,1.4418,68.48788
80,PAC V07 B,PAC 26,10.4842,11.6749,1.1907,56.78662
81,PAC V07 C,PAC 25,11.9651,13.4513,1.4862,70.55692
82,PAC V08 A,PAC 36,26.4096,27.5284,1.1188,53.43608
83,PAC V08 B,PAC 35,30.1322,31.2782,1.146,54.7036
84,PAC V08 C,PAC 34,26.4368,27.3324,0.8956,43.03496
85,PAC V09 A,PAC 45,11.0926,12.2911,1.1985,57.1501
86,PAC V09 B,PAC 44,14.8275,16.0127,1.1852,56.53032
87,PAC V09 C,PAC 43,18.8409,21.202,2.3611,111.32726
88,PAC V10 A,PAC 42,14.3892,15.7848,1.3956,66.33496
89,PAC V10 B,PAC 41,11.1072,12.3466,1.2394,59.05604
90,PAC V10 C,PAC 40,20.4431,22.3299,1.8868,89.22488
91,PAC V11 A,PAC 30,9.478,10.7119,1.2339,58.79974
92,PAC V11 B,PAC 29,8.6935,9.7105,1.017,48.6922
93,PAC V11 C,PAC 28,12.5361,14.0227,1.4866,70.57556
94,PAC V12 A,PAC 33,10.4885,11.4383,0.9498,45.56068
95,PAC V12 B,PAC 32,9.9845,10.9583,0.9738,46.67908
96,PAC V12 C,PAC 31,11.3252,12.538,1.2128,57.81648
97,PAC V13 A,PAC 58,12.1184,13.6072,1.4888,70.67808
98,PAC V13 B,PAC 59,7.5113,8.5884,1.0771,51.49286
99,PAC V13 C,PAC 60,8.4424,9.4224,0.98,46.968
100,PAC V14 A,PAC 57,18.5003,20.5494,2.0491,96.78806
101,PAC V14 B,PAC 56,15.5764,17.2645,1.6881,79.96546
102,PAC V14 C,PAC 55,16.3318,18.1202,1.7884,84.63944
103,PAC V15 A,PAC 21,11.4991,13.1089,1.6098,76.31668
104,PAC V15 B,PAC 20,19.1773,21.3986,2.2213,104.81258
105,PAC V15 C,PAC 19,19.568,21.9064,2.3384,110.26944
106,PAC V16 A,PAC 12,7.6868,8.7662,1.0794,51.60004
107,PAC V16 B,PAC 11,13.4204,14.8792,1.4588,69.28008
108,PAC V16 C,PAC 10,13.3501,15.0614,1.7113,81.04658
109,PAC V17 A,PAC 51,8.8768,9.9754,1.0986,52.49476
110,PAC V17 B,PAC 50,8.6243,9.5751,0.9508,45.60728
111,PAC V17 C,PAC 49,6.2537,7.0585,0.8048,38.80368
112,PAC V18 A,PAC 39,8.6632,9.4471,0.7839,37.82974
113,PAC V18 B,PAC 38,7.7113,8.0879,0.3766,18.84956
114,PAC V18 C,PAC 37,5.8981,6.5669,0.6688,32.46608
115,PAC V19 A,PAC 48,10.2192,11.3578,1.1386,54.35876
116,PAC V19 B,PAC 47,9.722,10.7614,1.0394,49.73604
117,PAC V19 C,PAC 46,12.6846,14.0419,1.3573,64.55018
118,PAC V20 A,PAC 54,16.709,18.0406,1.3316,63.35256
119,PAC V20 B,PAC 53,12.8622,14.2186,1.3564,64.50824
120,PAC V20 C,PAC 52,16.0149,17.161,1.1461,54.70826
1,PRU V01 A,PRU 01,7.8828,8.7,0.8172,39.38152
2,PRU V01 B,PRU 03,10.3929,11.2081,0.8152,39.28832
3,PRU V01 C,PRU 02,12.4435,13.6325,1.189,56.7074
4,PRU V02 A,PRU 06,6.9265,7.1977,0.2712,13.93792
5,PRU V02 B,PRU 05,8.305,8.9557,0.6507,31.62262
6,PRU V02 C,PRU 04,8.1743,8.7874,0.6131,29.87046
7,PRU V03 A,PRU 09,9.4814,10.1309,0.6495,31.5667
8,PRU V03 B,PRU 08,6.3463,6.3987,0.0524,3.74184
9,PRU V03 C,PRU 07,10.2083,10.8262,0.6179,30.09414
10,PRU V04 A,PRU 15,15.3837,16.2519,0.8682,41.75812
11,PRU V04 B,PRU 14,15.4262,16.344,0.9178,44.06948
12,PRU V04 C,PRU 13,9.639,10.2651,0.6261,30.47626
13,PRU V05 A,PRU 18,7.9945,8.6061,0.6116,29.80056
14,PRU V05 B,PRU 17,10.7292,11.3392,0.61,29.726
15,PRU V05 C,PRU 16,7.4766,8.0929,0.6163,30.01958
16,PRU V06 A,PRU 24,9.5655,9.7605,0.195,10.387
17,PRU V06 B,PRU 23,10.2679,10.9182,0.6503,31.60398
18,PRU V06 C,PRU 22,10.4097,11.2508,0.8411,40.49526
19,PRU V07 A,PRU 27,10.4813,11.3905,0.9092,43.66872
20,PRU V07 B,PRU 26,9.6856,10.4084,0.7228,34.98248
21,PRU V07 C,PRU 25,11.2712,12.3384,1.0672,51.03152
22,PRU V08 A,PRU 36,7.9969,8.6126,0.6157,29.99162
23,PRU V08 B,PRU 35,6.4055,6.9835,0.578,28.2348
24,PRU V08 C,PRU 34,5.737,6.285,0.548,26.8368
25,PRU V09 A,PRU 45,8.0157,8.0976,0.0819,5.11654
26,PRU V09 B,PRU 44,9.5383,9.705,0.1667,9.06822
