Class,Order,Family,Genus,Species,Depth (m),Habitat,Season,Temperature,Light (µmol quanta m-2 s-1,Flow,Lat.Long,Location,Region,Skeletal.structure,Reproductive.mode,Morphology,Trait,Units,Value,Method,Notes,Reference
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.134,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.137,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.149,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.155,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.155,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.187,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.196,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.240,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.291,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
Anthozoa,Scleractinia,Acroporidae,Acropora,eurystoma,5 to 8,NA,NA,24,350,NA,,Eilat,Red Sea,Perforate,Broadcast spawner,Branching,Calcification, µm cm-2 h-1,0.517,Alkalinity Anomaly Technique (Smith and Key 1975),,"Schneider, K. and Erez, J. 2006. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:1284-1293."
