Placement,Slurry Label,GENOTYPE,T0/T1,Symbiont_Filter_Before_Weight,Symbiont_Filter_After_Weight,Symbiont_dry_weight,Notes,Host_Filter_Before_Weight,Host_Filter_After_Weight,Host_dry_weight
PAC V01 A,NA,,T1,,,0,,,,0
PAC V01 B,NA,,T1,,,0,,,,0
NA,PA11,PA11,T0,,,0,,,,0
NA,PA13,PA13,T0,,,0,,,,0
NA,PA18,PA18,T0,,,0,,,,0
NA,PA19,PA19,T0,,,0,,,,0
NA,PA21,PA21,T0,,,0,,,,0
NA,PA22,PA22,T0,,,0,,,,0
PAC V01 C,PAC 02,,T1,37.61,39.68,2.07,,,,0
PAC V02 C,PAC 04,,T1,37.39,39.6,2.21,,,,0
PAC V02 B,PAC 05,,T1,37.51,38.35,0.84,,,,0
PAC V02 A,PAC 06,,T1,37.28,40.2,2.92,,,,0
PAC V03 C,PAC 07,,T1,37.47,39.57,2.1,,,,0
PAC V03 B,PAC 08,,T1,37.83,39.89,2.06,,,,0
PAC V03 A,PAC 09,,T1,37.38,40.56,3.18,,,,0
PAC V16 C,PAC 10,,T1,37.99,38.55,0.56,,,,0
PAC V16 B,PAC 11,,T1,34.73,36.34,1.61,,,,0
PAC V16 A,PAC 12,,T1,34.91,36.61,1.7,,,,0
PAC V04 C,PAC 13,,T1,35.29,37.89,2.6,,,,0
PAC V04 B,PAC 14,,T1,35.16,36.04,0.88,,,,0
PAC V04 A,PAC 15,,T1,35.07,36.11,1.04,,,,0
PAC V05 C,PAC 16,,T1,36.01,37.86,1.85,,,,0
PAC V05 B,PAC 17,,T1,35.41,37.92,2.51,,,,0
PAC V05 A,PAC 18,,T1,37.46,39.97,2.51,,,,0
PAC V15 C,PAC 19,,T1,37.18,,-37.18,,,,0
PAC V15 B,PAC 20,,T1,37.63,,-37.63,,,,0
PAC V15 A,PAC 21,,T1,37.5,,-37.5,,,,0
PAC V06 C,PAC 22,,T1,37.36,,-37.36,,,,0
PAC V06 B,PAC 23,,T1,35.37,,-35.37,,,,0
PAC V06 A,PAC 24,,T1,34.71,,-34.71,,,,0
PAC V07 C,PAC 25,,T1,34.43,,-34.43,,,,0
PAC V07 B,PAC 26,,T1,35.06,,-35.06,,,,0
PAC V07 A,PAC 27,,T1,34.91,,-34.91,,,,0
PAC V11 C,PAC 28,,T1,35.44,,-35.44,,,,0
PAC V11 B,PAC 29,,T1,35.22,,-35.22,,,,0
PAC V11 A,PAC 30,,T1,35.32,,-35.32,,,,0
PAC V12 C,PAC 31,,T1,35.27,,-35.27,,,,0
PAC V12 B,PAC 32,,T1,35.1,,-35.1,,,,0
PAC V12 A,PAC 33,,T1,35.13,,-35.13,,,,0
PAC V08 C,PAC 34,,T1,34.45,,-34.45,,,,0
PAC V08 B,PAC 35,,T1,34.91,,-34.91,,,,0
PAC V08 A,PAC 36,,T1,34.59,,-34.59,,,,0
PAC V18 C,PAC 37,,T1,35.32,,-35.32,,,,0
PAC V18 B,PAC 38,,T1,35.16,,-35.16,,,,0
PAC V18 A,PAC 39,,T1,34.88,,-34.88,,,,0
PAC V10 C,PAC 40,,T1,34.14,,-34.14,,,,0
PAC V10 B,PAC 41,,T1,35.28,,-35.28,,,,0
PAC V10 A,PAC 42,,T1,35.18,,-35.18,,,,0
PAC V09 C,PAC 43,,T1,34.47,,-34.47,,,,0
PAC V09 B,PAC 44,,T1,34.49,,-34.49,,,,0
PAC V09 A,PAC 45,,T1,34.24,,-34.24,,,,0
PAC V19 C,PAC 46,,T1,35.03,,-35.03,,,,0
PAC V19 B,PAC 47,,T1,35.33,,-35.33,,,,0
PAC V19 A,PAC 48,,T1,35.2,,-35.2,,,,0
PAC V17 C,PAC 49,,T1,35.04,,-35.04,,,,0
PAC V17 B,PAC 50,,T1,34.75,,-34.75,,,,0
PAC V17 A,PAC 51,,T1,34.75,,-34.75,,,,0
PAC V20 C,PAC 52,,T1,35.19,,-35.19,,,,0
PAC V20 B,PAC 53,,T1,35.55,,-35.55,,,,0
PAC V20 A,PAC 54,,T1,34.85,,-34.85,,,,0
PAC V14 C,PAC 55,,T1,34.55,,-34.55,,,,0
PAC V14 B,PAC 56,,T1,35.11,,-35.11,,,,0
