Vial_No_Only,Placement_Code,T0_Feret_1,T0_Feret_X_1,T0_Feret_Y_1,T0_Area_1,T0_Min_Feret_1,T0_Feret_2,T0_Feret_X_2,T0_Feret_Y_2,T0_Area_2,T0_Min_Feret_2,T0_Feret_3,T0_Feret_X_3,T0_Feret_Y_3,T0_Area_3,T0_Min_Feret_3,,
NA,PAC V01 A,,,,,,,,,,,,,,,,,
NA,PAC V01 B,,,,,,,,,,,,,,,,,
2,PAC V01 C,4.252,1607,1759,8.969,3.339,4.246,1547,1714,7.372,3.01,4.296,1255,1388,6.885,3.167,,
4,PAC V02 A,4.702,1687,1765.5,9.043,3.317,4.582,1516.5,1657,9.147,3.469,5.239,1106,902,9.036,3.353,,
5,PAC V02 B,5.433,1526,1818,9.016,3.397,5.093,1611,1565,8.804,3.441,5.444,1174,1069,8.405,2.928,,6/7: start at V02 B2
6,PAC V02 C,5.508,1450,1865,8.72,3.388,5.548,1525,1811,9.554,3.482,5.167,1230,896,9.056,3.322,,
7,PAC V03 A,4.714,1660.5,1619.5,7.256,2.601,5.103,1735.5,1612.5,7.863,2.806,5.152,1321,939,11.117,4.387,,6/9: start at V03 B1
8,PAC V03 B,5.758,1763,1600,9.68,3.385,5.527,1615,1657,9.357,3.33,5.727,973,892,9.804,3.53,,
9,PAC V03 C,4.733,1715,1691,6.587,2.601,4.555,1694,1584,6.987,2.748,4.936,1304,1046,7.438,2.864,,
16,PAC V04 A,5.248,1608,1787,9.913,3.42,5.251,1761,1608,10.684,3.495,5.222,1424,1063,10.397,3.764,,
17,PAC V04 B,4.941,1590,1794,8.985,4.015,4.933,1486,1681,9.246,3.868,4.985,1067,1193,6.4,2.723,,6/10: start at V04 C1
18,PAC V04 C,4.028,1732,1687,7.097,3.1,3.895,1670,1722,7.576,3.077,4.365,1481,813,7.266,3.332,,
22,PAC V05 A,5.419,1599,1743,8.851,3.396,5.281,1501,1690,8.981,3.202,5.729,1096,1400,9.014,3.208,,
23,PAC V05 B,4.74,1862,1481,11.453,3.842,4.311,1665,1902,10.534,3.954,4.728,1423,895,10.271,3.835,,6/12: start at V05 C1
24,PAC V05 C,5.288,1718,1570,8.77,3.157,5.213,1657,1922,8.668,3.144,5.037,1132,1227,9.928,3.529,,
34,PAC V06 A,7.249,1343,1945,15.163,4.315,6.91,1576,1495,14.865,4.253,6.783,1084,721,12.888,4.306,,
35,PAC V06 B,5.563,1630,1515,10.413,3.673,5.437,1472,1919,12.052,3.596,4.856,1117,1669,10.47,3.844,,
36,PAC V06 C,6.067,1422,1935,12.963,4.277,6.005,1463,1867,12.854,4.444,5.615,1132,1398,12.897,3.972,,6/13: start at V06 C2
43,PAC V07 A,4.857,1759,1550,8.337,3.154,4.757,1654,1919.5,7.466,3.087,4.523,1619,646,8.787,3.658,,
44,PAC V07 B,6.026,1621,1568,9.023,3.051,6.114,1372,1795,9.356,3.279,5.641,1015,1117,9.59,3.391,,
45,PAC V07 C,4.593,1576,1592,8.368,3.408,4.841,1872,1887,8.957,3.493,4.445,1734,958,7.379,3.021,,6/15: start at V07 C3 (first did V06 B1
31,PAC V08 A,3.921,1926,1853,5.802,2.562,3.888,2059,1789,6.157,2.518,5.343,2174,1833,9.76,3.567,,6/16: start at V08 A3
32,PAC V08 B,4.287,1909,1764,7.208,3.592,4.26,1894,1814,8.048,3.656,4.349,1864,1394,9.333,3.474,,
33,PAC V08 C,4.485,1887,1796,6.104,2.049,4.513,1920,1859,6.531,2.304,4.47,1809,1342,7.699,2.807,,6/17: statrt at V08 C3
19,PAC V09 A,6.324,1686,1857,11.039,3.248,6.228,1496,1776,11.794,3.28,6.245,1171,1406,12.357,3.958,,
20,PAC V09 B,5.752,1858,1533,12.283,3.754,6.438,1518,1930,12.831,3.932,5.67,1230,1564,11.181,3.902,,
21,PAC V09 C,6.293,1669,1524,13.854,3.715,6.306,1555,1661,12.894,3.668,6.62,1242,1221,14.695,4.618,,6/18: start at V09 C1
55,PAC V10 A,5.418,1489,1632,10.011,3.076,5.565,1586,1717,10.306,3.167,5.659,1264,1309,8.665,2.966,,6/19: start a6 V10 A2
56,PAC V10 B,4.666,1632,1664,7.337,2.723,4.886,1554,1609,8.49,3.176,5.172,1153,1644,7.622,2.745,,
57,PAC V10 C,6.011,1541,1831,10.819,3.2,5.487,1586,1629,10.906,3.476,5.7,1174,1154,11.793,3.855,,
40,PAC V11 A,5,1645,1601,9.525,3.737,4.581,1654,1648,9.043,3.7,4.935,1930,650,9.644,3.929,,
41,PAC V11 B,5.19,1922,1443,8.547,3.805,5.264,1782,1962,9.401,3.908,5.339,1257,1011,7.366,2.422,,6/27: start at V11 B3
42,PAC V11 C,4.144,1591,1708,9.225,3.717,4.419,1630,1510,10.167,4.058,4.881,1308,1419,9.56,4.062,,
28,PAC V12 A,5.34,1690,1715,9.836,3.806,4.889,1636,1592,8.896,3.636,5.285,1176,898,8.386,2.701,,
29,PAC V12 B,4.725,1772,1489,9.029,3.688,4.689,1810,1857,8.828,3.638,5.199,1211,1058,8.415,3.375,,
