Vial_No_Only,Placement_Code,T1_Feret_1,T1_Feret_X_1,T1_Feret_Y_1,T1_Area_1,T1_Min_Feret_1,T1_Feret_2,T1_Feret_X_2,T1_Feret_Y_2,T1_Area_2,T1_Min_Feret_2,T1_Feret_3,T1_Feret_X_3,T1_Feret_Y_3,T1_Area_3,T1_Min_Feret_3,
NA,PAC V01 A,,,,,,,,,,,,,,,,
NA,PAC V01 B,,,,,,,,,,,,,,,,
2,PAC V01 C,5.114,1556,1719,13.561,4.236,5.315,1573,1886,12.089,4.116,5.197,1112,1259,11.025,3.922,
4,PAC V02 A,5.312,1468,1516,11.768,3.443,5.378,1672,1730,11.75,3.436,5.949,929,1089,12.161,3.58,
5,PAC V02 B,5.449,1563,1782,11.09,3.576,5.058,1670,1458,10.114,3.433,4.96,1214,1044,9.26,3.105,
6,PAC V02 C,6.432,1520,1751,13.645,4.353,6.248,1466,1843,13.264,4.11,5.792,1185,1082,12.013,3.586,
7,PAC V03 A,5.038,1573,1608,8.734,2.772,5.214,1657,1745,9.045,2.966,5.544,1609,655,13.935,4.733,
8,PAC V03 B,6.075,1621,1583,12.822,3.793,6.194,1563,1696,13.34,3.704,6.124,1255,1326,15.463,4.034,
9,PAC V03 C,4.787,1666,1705,8.353,2.751,4.628,1671,1540,9.094,3.34,4.666,1513,1577,8.68,3.188,
16,PAC V04 A,4.718,1676,1898,10.078,3.664,4.489,1658,1661,8.848,3.676,4.53,1289,1279,8.566,3.101,
17,PAC V04 B,5.596,1545,1648,12.959,3.978,5.668,1573,1651,13.841,4.366,5.83,1075,1021,11.747,3.77,
18,PAC V04 C,5.177,1634,1574,11.352,3.95,5.01,1624,1724,10.172,3.61,5.982,1280,918,8.077,2.61,
22,PAC V05 A,7.063,1522,1612,13.57,3.733,7,1537,1653,14.757,3.865,7.245,1061,961,13.974,3.956,
23,PAC V05 B,6.851,1505,1645,14.635,4.266,6.639,1552,1512,13.605,4.128,6.791,1099,1311,12.17,3.529,
24,PAC V05 C,6.285,1751,1571,14.853,4.277,6.254,1527,1888,14.524,4.382,5.743,1426,985,11.032,3.136,
34,PAC V06 A,5.924,1628,1859,16.901,4.959,5.855,1747,1488,16.653,4.792,5.586,1510,799,12.416,4.223,
35,PAC V06 B,6.326,1841,1435,15.67,4.383,6.084,1646,1843,16.436,4.404,5.112,1401,1823,14.062,4.389,
36,PAC V06 C,7.198,1519,1817,20.924,4.979,7.328,1562,1905,20.215,4.872,6.232,1335,1228,18.873,4.579,
43,PAC V07 A,5.512,1738,1492,12.592,4,5.268,1667,1892,11.508,3.531,5.195,1434,1614,12.649,4.386,
44,PAC V07 B,6.453,1710,1528,12.235,3.372,6.62,1455,1745,12.988,3.559,6.154,1047,1358,12.789,3.828,
45,PAC V07 C,6.144,1799,1885,14.25,4.358,5.802,1467,1749,13.809,4.272,5.774,885,1131,13.241,3.601,
31,PAC V08 A,NA,NA,NA,NA,NA,3.99,1975,1875,7.394,2.714,5.746,2179,2100,10.654,3.58,CS: Confirmed missing images
32,PAC V08 B,4.531,1799,1768,9.153,4.011,4.584,1955,1493,10.465,3.962,4.445,1833,1733,10.043,3.67,
33,PAC V08 C,4.777,1708,1769,7.098,2.407,4.986,1729,1835,8.274,2.682,4.779,1602,1548,9.375,3.097,
19,PAC V09 A,6.345,1612,1770,12.083,3.566,6.125,1359,1818,13.117,3.602,6.215,897,957,11.075,3.394,
20,PAC V09 B,5.351,1641,1530,12.315,3.94,5.578,1659,1773,12.634,4.008,5.921,1425,1381,10.301,3.288,
21,PAC V09 C,7.351,1427,1632,20.171,4.446,7.453,1531,1429,22.346,5.048,7.639,1014,1320,21.511,5.347,
55,PAC V10 A,6.027,1512,1600,13.288,3.608,6.252,1642,1677,13.787,3.686,6.281,1327,1125,11.964,3.191,
56,PAC V10 B,5.2,1662,1729,9.952,3.278,5.814,1510,1539,13.701,4.051,5.392,1037,1400,10.512,3.236,
57,PAC V10 C,6.361,1497,1553,16.898,4.414,6.853,1482,1802,17.783,4.399,6.133,1114,1564,14.997,4.034,
40,PAC V11 A,4.85,1629,1654,11.687,3.941,5.529,1713,1951,11.895,4.023,5.068,1470,1143,12.817,4.347,
41,PAC V11 B,5.385,1917,1428,10.893,4.019,5.389,1625,1531,11.535,4.15,5.75,1108,1055,8.788,2.907,
42,PAC V11 C,5.152,1665,1665,14.077,4.562,5.233,1785,1877,14.8,4.67,5.651,1220,1141,14.377,4.623,
28,PAC V12 A,4.961,1655,1761,9.007,3.121,4.686,1647,1591,9,3.292,5.017,1237,1129,9.064,2.902,
29,PAC V12 B,5.249,1667,1527,9.984,3.629,5.198,1602,1778,9.932,4.233,5.201,1148,1191,9.534,3.302,
30,PAC V12 C,5.032,1664,1596,12.006,4.074,5.194,1584,1498,12.487,4.512,5.705,1048,1448,12.696,3.692,
54,PAC V13 A,4.818,1722,1802,11.015,3.827,4.943,1747,1483,12.154,3.971,5.764,1855,1935,14.581,4.633,
53,PAC V13 B,5.176,1682,1716,10.093,3.195,4.865,1674,1756,8.789,3.094,4.859,1394,970,9.496,3.236,
