Vial_No_Only,Placement_Code,T0_Feret_1,T0_Area_1,T0_Feret_2,T0_Area_2,T0_Feret_3,T0_Area_3,T1_Feret_1,T1_Area_1,T1_Feret_2,T1_Area_2,T1_Feret_3,T1_Area_3
1,PRU V01 A,4.066,4.763,3.602,5.102,3.765,6.11,4.224,5.857,3.883,7.497,3.642,6.611
3,PRU V01 B,4.203,6.858,4.201,7.101,3.709,6.177,4.774,9.683,4.691,9.755,4.43,8.986
2,PRU V01 C,4.201,7.386,4.131,7.422,4.217,7.407,5.526,12.661,5.425,12.245,5.721,11.731
6,PRU V02 A,3.822,3.313,3.559,3.925,3.179,5.198,2.52,2.05,2.821,3.831,2.751,4.024
5,PRU V02 B,4.141,6.096,4.142,7.153,4.028,7.227,4.202,6.497,3.524,5.394,3.758,6.407
4,PRU V02 C,4.52,6.241,4.128,5.711,3.703,5.381,4.794,6.87,4.257,5.96,3.571,5.884
9,PRU V03 A,3.97,6.212,3.988,6.506,3.587,5.502,5.228,9.634,5.281,11.195,3.815,6.39
8,PRU V03 B,3.587,5.766,3.8,6.315,3.626,3.956,1.227,0.433,1.579,1.14,1.309,0.605
7,PRU V03 C,4.178,7.079,4.035,6.382,3.421,5.343,3.804,5.949,3.567,6.077,3.88,5.984
15,PRU V04 A,5.374,9.853,5.45,9.878,5.182,7.702,6.697,17.897,6.988,17.303,5.483,8.927
14,PRU V04 B,4.729,9.493,4.849,10.625,4.354,7.316,5.777,14.719,5.763,16.211,4.224,7.936
13,PRU V04 C,4.486,8.231,4.364,8.122,4.689,5.791,5.463,7.88,5.494,12.066,4.911,6.388
18,PRU V05 A,3.364,4.498,3.502,4.337,4.002,4.924,4.815,8.497,5.356,8.002,4.687,5.195
17,PRU V05 B,4.16,7.194,3.94,7.194,3.929,5.761,5.484,13.314,4.35,8.423,4.087,4.64
16,PRU V05 C,2.901,3.899,3.013,4.877,3.339,3.772,3.876,5.791,4.052,6.621,4.101,5.707
24,PRU V06 A,4.039,5.966,4.217,6.468,4.181,6.56,3.345,2.879,0,0,0,0
23,PRU V06 B,3.498,5.504,3.533,5.748,3.955,6.587,6.492,12.25,5.643,9.138,4.656,6.057
22,PRU V06 C,4.133,6.228,3.974,6.35,4.486,7.271,6.232,14.452,5.803,14.176,5.323,10.136
27,PRU V07 A,3.781,6.566,3.87,7.012,3.483,4.343,5.407,14.568,5.59,14.176,4.055,6.658
26,PRU V07 B,4.347,6.485,4.101,6.143,3.07,3.749,6.09,12.743,6.182,12.345,3.552,5.364
25,PRU V07 C,3.671,5.994,4.009,6.638,3.673,5.763,5.364,13.52,6.054,15.408,4.195,7.871
36,PRU V08 A,3.204,5.14,3.35,4.943,2.979,4.565,4.462,9.101,4.236,8.661,3.105,5.645
35,PRU V08 B,3.017,4.899,3.155,4.943,3.082,4.409,3.497,6.763,3.887,7.084,3.18,4.989
34,PRU V08 C,3.015,4.092,2.999,3.692,2.773,3.999,4.103,8.39,4.043,7.609,3.428,5.598
45,PRU V09 A,4.174,5.626,4.194,5.915,3.384,4.664,0,0,1.846,1.167,2.201,1.686
44,PRU V09 B,4.535,4.616,4.79,5.594,2.304,3.014,3.959,3.819,0.636,0.076,0.941,0.363
43,PRU V09 C,3.425,3.377,3.303,3.367,2.341,2.694,3.079,3.806,4.061,3.935,2.384,2.846
42,PRU V10 A,3.558,6.76,3.731,7.42,3.593,6.403,3.361,4.02,3.897,7.445,3.457,5.944
41,PRU V10 B,4.012,6.74,3.618,5.547,3.551,4.993,1.362,0.782,3.614,5.075,1.928,1.35
40,PRU V10 C,3.481,5.647,3.5,5.462,3.374,5.663,4.577,9.64,4.315,9.942,3.626,6.602
