"","Vial_No_Only","Placement_Code","Max_L_AVG","Max_L_Basal","Area_AVG","Area_Basal","Species"
"1",1,"PRU V01 A",0.2195,-0.123,1.7445,0.500999999999999,"PRU"
"2",3,"PRU V01 B",0.5305,0.721,2.7395,2.809,"PRU"
"3",2,"PRU V01 C",1.3095,1.504,5.049,4.324,"PRU"
"4",6,"PRU V02 A",-1.02,-0.428,-0.6785,-1.174,"PRU"
"5",5,"PRU V02 B",-0.2785,-0.27,-0.679,-0.82,"PRU"
"6",4,"PRU V02 C",0.2015,-0.132,0.439,0.503,"PRU"
"7",9,"PRU V03 A",1.2755,0.228,4.0555,0.888,"PRU"
"8",8,"PRU V03 B",-2.2905,-2.317,-5.254,-3.351,"PRU"
"9",7,"PRU V03 C",-0.421,0.459,-0.7175,0.641,"PRU"
"10",15,"PRU V04 A",1.4305,0.300999999999999,7.7345,1.225,"PRU"
"11",14,"PRU V04 B",0.981,-0.13,5.406,0.62,"PRU"
"12",13,"PRU V04 C",1.0535,0.222,1.7965,0.597,"PRU"
"13",18,"PRU V05 A",1.6525,0.685,3.832,0.271,"PRU"
"14",17,"PRU V05 B",0.867,0.158,3.6745,-1.121,"PRU"
"15",16,"PRU V05 C",1.007,0.762,1.818,1.935,"PRU"
"16",24,"PRU V06 A",-2.4555,-4.181,-4.7775,-6.56,"PRU"
"17",23,"PRU V06 B",2.552,0.701,5.068,-0.529999999999999,"PRU"
"18",22,"PRU V06 C",1.964,0.837000000000001,8.025,2.865,"PRU"
"19",27,"PRU V07 A",1.673,0.572,7.583,2.315,"PRU"
"20",26,"PRU V07 B",1.912,0.482,6.23,1.615,"PRU"
"21",25,"PRU V07 C",1.869,0.522,8.148,2.108,"PRU"
"22",36,"PRU V08 A",1.072,0.126,3.8395,1.08,"PRU"
"23",35,"PRU V08 B",0.606,0.0980000000000003,2.0025,0.58,"PRU"
"24",34,"PRU V08 C",1.066,0.655,4.1075,1.599,"PRU"
"25",45,"PRU V09 A",-3.261,-1.183,-5.187,-2.978,"PRU"
"26",44,"PRU V09 B",-2.365,-1.363,-3.1575,-2.651,"PRU"
"27",43,"PRU V09 C",0.206,0.0429999999999997,0.4985,0.152,"PRU"
"28",42,"PRU V10 A",-0.0154999999999998,-0.136,-1.3575,-0.459,"PRU"
"29",41,"PRU V10 B",-1.327,-1.623,-3.215,-3.643,"PRU"
"30",40,"PRU V10 C",0.9555,0.252,4.2365,0.939,"PRU"
"31",30,"PRU V11 A",0.523,-0.369,2.3645,0.0870000000000006,"PRU"
"32",29,"PRU V11 B",-0.4235,-1.11,-2.2065,-3.091,"PRU"
"33",28,"PRU V11 C",0.926,0.204,4.017,0.811,"PRU"
"34",33,"PRU V12 A",0.2155,-0.214,0.7665,-0.989,"PRU"
"35",32,"PRU V12 B",0.183,-0.504,-0.85,-2.85,"PRU"
"36",31,"PRU V12 C",-0.0825,-1.049,0.0674999999999997,-2.467,"PRU"
"37",58,"PRU V13 A",-1.0135,-0.685,0.0814999999999997,-2.148,"PRU"
"38",59,"PRU V13 B",1.587,0.427,8.8335,2.01,"PRU"
"39",60,"PRU V13 C",1.916,0.472,9.919,1.711,"PRU"
"40",57,"PRU V14 A",0.696,0.164,4.0345,1.262,"PRU"
"41",56,"PRU V14 B",1.7835,1.598,8.4325,5.422,"PRU"
"42",55,"PRU V14 C",-3.2395,-3.741,-7.6165,-7.054,"PRU"
"43",21,"PRU V15 A",1.8965,0.456,8.061,1.754,"PRU"
"44",20,"PRU V15 B",1.274,0.431,4.6435,1.066,"PRU"
"45",19,"PRU V15 C",0.3,0.195,-0.536,-2.104,"PRU"
"46",12,"PRU V16 A",1.7375,1.249,10.8055,4.744,"PRU"
"47",11,"PRU V16 B",1.713,1.109,6.0585,3.584,"PRU"
"48",10,"PRU V16 C",1.561,0.538,7.52,2.894,"PRU"
"49",51,"PRU V17 A",1.659,1.101,7.413,3.179,"PRU"
"50",50,"PRU V17 B",2.326,1.204,11.769,4.309,"PRU"
