Vial_No_Only,Placement_Code,Max_L_AVG,Max_L_Basal,Area_AVG,Area_Basal
1,PRU V01 A,0.21950000000000025,-0.12300000000000022,1.7445,0.5009999999999994
3,PRU V01 B,0.5305,0.7209999999999996,2.7395000000000005,2.809000000000001
2,PRU V01 C,1.3094999999999999,1.5040000000000004,5.0489999999999995,4.324
6,PRU V02 A,-1.02,-0.42799999999999994,-0.6785000000000001,-1.1740000000000004
5,PRU V02 B,-0.2785000000000002,-0.2699999999999996,-0.6789999999999998,-0.8200000000000003
4,PRU V02 C,0.2014999999999998,-0.13199999999999967,0.43900000000000006,0.5030000000000001
9,PRU V03 A,1.2754999999999996,0.22799999999999976,4.0555,0.8879999999999999
8,PRU V03 B,-2.2905,-2.317,-5.2540000000000004,-3.351
7,PRU V03 C,-0.42100000000000004,0.4590000000000001,-0.7174999999999998,0.641
15,PRU V04 A,1.4305000000000003,0.30099999999999927,7.7345,1.2249999999999996
14,PRU V04 B,0.9809999999999999,-0.1299999999999999,5.405999999999999,0.6200000000000001
13,PRU V04 C,1.0535,0.22199999999999953,1.7965000000000004,0.5969999999999995
18,PRU V05 A,1.6525000000000003,0.6850000000000005,3.8320000000000003,0.2709999999999999
17,PRU V05 B,0.8669999999999998,0.15799999999999992,3.6745,-1.1210000000000004
16,PRU V05 C,1.007,0.762,1.8180000000000005,1.935
24,PRU V06 A,-2.4555,-4.181,-4.7775,-6.56
23,PRU V06 B,2.5519999999999996,0.7009999999999996,5.068,-0.5299999999999994
22,PRU V06 C,1.964,0.8370000000000006,8.025,2.8649999999999993
27,PRU V07 A,1.6729999999999998,0.5719999999999996,7.583,2.3150000000000004
26,PRU V07 B,1.912,0.4820000000000002,6.23,1.6149999999999998
25,PRU V07 C,1.869,0.5220000000000002,8.148,2.1080000000000005
36,PRU V08 A,1.0719999999999996,0.1259999999999999,3.8395000000000006,1.0799999999999992
35,PRU V08 B,0.6060000000000001,0.09800000000000031,2.0025,0.5800000000000001
34,PRU V08 C,1.0659999999999998,0.6549999999999998,4.1075,1.5989999999999998
45,PRU V09 A,-3.261,-1.1829999999999998,-5.187,-2.9779999999999998
44,PRU V09 B,-2.365,-1.363,-3.1575,-2.651
43,PRU V09 C,0.20600000000000018,0.042999999999999705,0.49850000000000017,0.15200000000000014
42,PRU V10 A,-0.015499999999999847,-0.13600000000000012,-1.3575,-0.45899999999999963
41,PRU V10 B,-1.3269999999999997,-1.6230000000000002,-3.215,-3.6430000000000002
40,PRU V10 C,0.9555000000000002,0.2519999999999998,4.2365,0.9390000000000001
30,PRU V11 A,0.5230000000000001,-0.3690000000000002,2.3645,0.08700000000000063
29,PRU V11 B,-0.4235,-1.11,-2.2065,-3.091
28,PRU V11 C,0.9259999999999999,0.20400000000000018,4.017000000000001,0.8109999999999999
33,PRU V12 A,0.2154999999999998,-0.21399999999999997,0.7665000000000002,-0.9889999999999999
32,PRU V12 B,0.18300000000000005,-0.504,-0.8500000000000001,-2.8499999999999996
31,PRU V12 C,-0.08250000000000002,-1.0490000000000004,0.06749999999999967,-2.467
58,PRU V13 A,-1.0135,-0.685,0.08149999999999968,-2.1480000000000006
59,PRU V13 B,1.5870000000000002,0.4269999999999996,8.8335,2.01
60,PRU V13 C,1.9160000000000001,0.472,9.919,1.7109999999999994
57,PRU V14 A,0.6959999999999997,0.16400000000000015,4.0344999999999995,1.2619999999999996
56,PRU V14 B,1.7834999999999996,1.5979999999999999,8.4325,5.422000000000001
55,PRU V14 C,-3.2394999999999996,-3.7409999999999997,-7.6165,-7.054
21,PRU V15 A,1.8964999999999996,0.4559999999999995,8.061,1.7539999999999996
20,PRU V15 B,1.2740000000000002,0.43100000000000005,4.6435,1.0659999999999998
19,PRU V15 C,0.30000000000000027,0.19500000000000028,-0.536,-2.103999999999999
12,PRU V16 A,1.7375000000000003,1.2489999999999997,10.805500000000002,4.7440000000000015
11,PRU V16 B,1.713,1.109,6.0584999999999996,3.5840000000000005
10,PRU V16 C,1.561,0.5380000000000003,7.52,2.894000000000001
51,PRU V17 A,1.6589999999999998,1.101,7.413,3.1790000000000003
50,PRU V17 B,2.326,1.2040000000000002,11.769,4.309
49,PRU V17 C,1.5465,0.8849999999999998,6.633,3.4079999999999995
39,PRU V18 A,0.3019999999999996,-0.6099999999999999,0.8924999999999998,-1.08
38,PRU V18 B,0.248,-0.2569999999999997,-0.0050000000000003375,-2.011
37,PRU V18 C,1.8490000000000002,0.19899999999999984,5.963500000000001,0.6459999999999999
48,PRU V19 A,1.0835000000000001,0.31800000000000006,4.2204999999999995,1.1160000000000005
47,PRU V19 B,0.8105,0.242,3.298,0.79
46,PRU V19 C,1.1084999999999998,0.4780000000000002,5.554499999999999,0.7770000000000001
54,PRU V20 A,1.6620000000000001,0.18799999999999972,4.974500000000001,1.1039999999999996
53,PRU V20 B,1.6085,0.30799999999999983,4.6235,1.371
52,PRU V20 C,1.3184999999999998,0.8900000000000001,6.271,1.9329999999999998
