Placement,Slurry Label,GENOTYPE,T0/T1,Aluminum Boat Weight,Slurry Volume (ml),Slurry Weight,Aliquot ml,Wet Weight,Wet weight of sample,Dry Weight,Dry Weight of Sample,Approximate Dry Weight of Whole Sample,Notes
NA,PA11,PA11,T0,2.2105,25,36.4976,5,6.672,4.4615,2.2316,0.0211,0.1055,
NA,PA13,PA13,T0,2.2426,25,36.3128,5,6.752,4.5094,2.2631,0.0205,0.1025,
NA,PA18,PA18,T0,2.2002,25,37.0792,5,6.6853,4.4851,2.2383,0.0381,0.1905,
NA,PA19,PA19,T0,2.2436,25,36.3151,5,6.7618,4.5182,2.2616,0.018,0.09,
NA,PA21,PA21,T0,2.2492,25,35.9902,5,6.7188,4.4696,2.2642,0.015,0.075,
NA,PA22,PA22,T0,2.2444,25,36.3902,5,6.728,4.4836,2.268,0.0236,0.118,
NA,PR02,PR02,T0,2.2964,45,56.5482,10,12.1815,9.8851,2.3322,0.0358,0.1611,
NA,PR03,PR03,T0,2.2695,45,56.7232,10,12.1606,9.8911,2.2877,0.0182,0.0819,
NA,PR04,PR04,T0,2.2327,45,57.4636,10,12.148,9.9153,2.2653,0.0326,0.1467,
NA,PR06,PR06,T0,2.2642,45,55.5418,10,12.1678,9.9036,2.3063,0.0421,0.18945,
NA,PR07,PR07,T0,2.2822,45,56.6561,10,12.2227,9.9405,2.3286,0.0464,0.2088,
NA,PR08,PR08,T0,2.2755,45,55.5059,10,12.1661,9.8906,2.3085,0.033,0.1485,
NA,PRUS 061,PR01,T0,2.213,46,57.6492,10,12.0997,9.8867,2.2426,0.0296,0.13616,"Not used in experiment, helpful for wet/dry weight"
NA,PRUS 064,PR02,T0,2.2766,45,56.5246,10,12.1816,9.905,2.2941,0.0175,0.07875,
NA,PRUS 065,PR04,T0,2.2788,45,56.2126,10,12.1821,9.9033,2.3127,0.0339,0.15255,
NA,PRUS 078,PR08,T0,2.2951,45,55.7011,10,12.2048,9.9097,2.3577,0.0626,0.2817,
NA,PRUS 079,PR06,T0,2.2761,45,56.1354,10,12.1224,9.8463,2.3174,0.0413,0.18585,
NA,PRUS 080,PR03,T0,2.2197,45,55.6789,10,12.1319,9.9122,2.2675,0.0478,0.2151,"Not used in experiment, helpful for wet/dry weight"
PAC V01 A,NA,,T1,,,,,,,,,,Corals did not exist
PAC V01 B,NA,,T1,,,,,,,,,,Corals did not exist
PAC V01 C,PAC 02,,T1,2.2652,25,37.3327,5,7.2244,4.9592,2.3106,0.0454,0.227,
PAC V02 A,PAC 06,,T1,2.2675,25,37.3051,5,7.2454,4.9779,2.3079,0.0404,0.202,
PAC V02 B,PAC 05,,T1,2.2675,25,37.6179,5,7.1933,4.9258,2.3018,0.0343,0.1715,
PAC V02 C,PAC 04,,T1,2.2717,25,37.1052,5,7.2091,4.9374,2.3171,0.0454,0.227,
PAC V03 A,PAC 09,,T1,2.3002,25,36.6551,5,7.2732,4.973,2.3468,0.0466,0.233,
PAC V03 B,PAC 08,,T1,2.2912,25,37.2301,5,7.2127,4.9215,2.3222,0.031,0.155,
PAC V03 C,PAC 07,,T1,2.2879,25,36.7675,5,7.2146,4.9267,2.3452,0.0573,0.2865,
PAC V04 A,PAC 15,,T1,2.2731,25,37.0245,5,7.2273,4.9542,2.3075,0.0344,0.172,
PAC V04 B,PAC 14,,T1,2.2986,25,37.5282,5,7.2848,4.9862,2.343,0.0444,0.222,
PAC V04 C,PAC 13,,T1,2.2816,25,36.8682,5,7.2537,4.9721,2.3181,0.0365,0.1825,
PAC V05 A,PAC 18,,T1,2.2758,25,36.9378,5,7.2694,4.9936,2.3276,0.0518,0.259,
PAC V05 B,PAC 17,,T1,2.2602,25,37.9411,5,7.2516,4.9914,2.302,0.0418,0.209,
PAC V05 C,PAC 16,,T1,2.2666,25,37.3865,5,7.2501,4.9835,2.3065,0.0399,0.1995,Slurry leaked in bag - added to falcon tube
PAC V06 A,PAC 24,,T1,2.2962,25,37.5641,5,7.2434,4.9472,2.3542,0.058,0.29,
PAC V06 B,PAC 23,,T1,2.2709,25,37.2992,5,7.2453,4.9744,2.3322,0.0613,0.3065,
PAC V06 C,PAC 22,,T1,2.285,25,37.4032,5,7.2883,5.0033,2.3677,0.0827,0.4135,
PAC V07 A,PAC 27,,T1,2.2753,25,37.2789,5,7.248,4.9727,2.3261,0.0508,0.254,
PAC V07 B,PAC 26,,T1,2.32,25,37.9994,5,7.3287,5.0087,2.3722,0.0522,0.261,
PAC V07 C,PAC 25,,T1,2.2611,25,37.6676,5,7.2254,4.9643,2.3189,0.0578,0.289,
PAC V08 A,PAC 36,,T1,2.2283,25,37.0378,5,7.2211,4.9928,2.2495,0.0212,0.106,
PAC V08 B,PAC 35,,T1,2.2315,25,37.1711,5,7.2399,5.0084,2.2766,0.0451,0.2255,
PAC V08 C,PAC 34,,T1,2.2239,25,37.1293,5,7.1987,4.9748,2.259,0.0351,0.1755,
PAC V09 A,PAC 45,,T1,2.2254,23,35.9669,5,7.2257,5.0003,2.2642,0.0388,0.17848,
PAC V09 B,PAC 44,,T1,2.2008,25,36.8933,5,7.229,5.0282,2.2474,0.0466,0.233,
PAC V09 C,PAC 43,,T1,2.2164,25,36.4186,5,7.167,4.9506,2.2906,0.0742,0.371,
PAC V10 A,PAC 42,,T1,2.2315,25,37.007,5,7.1636,4.9321,2.2839,0.0524,0.262,
PAC V10 B,PAC 41,,T1,2.2308,25,36.6839,5,7.2139,4.9831,2.2775,0.0467,0.2335,
