CowTagID,Minimum_Salinity,Minimum_Temperature,Minimum_TA,Minimum_pH,Minimum_Phosphate_umolL,Minimum_Silicate_umolL,Minimum_NN_umolL,Minimum_NNP_umolL,Minimum_Ammonia_umolL,Maximum_Salinity,Maximum_Temperature,Maximum_TA,Maximum_pH,Maximum_Phosphate_umolL,Maximum_Silicate_umolL,Maximum_NN_umolL,Maximum_NNP_umolL,Maximum_Ammonia_umolL,Mean_Salinity,Mean_Temperature,Mean_TA,Mean_pH,Mean_Phosphate_umolL,Mean_Silicate_umolL,Mean_NN_umolL,Mean_NNP_umolL,Mean_Ammonia_umolL,CV_Salinity,CV_Temperature,CV_TA,CV_pH,CV_Phosphate_umolL,CV_Silicate_umolL,CV_NN_umolL,CV_Ammonia_umolL,Time
V1,36.34,28.38,2333.14574,7.904822909610202,0.143281048,1.232851655,0.154868566,1.0808726496752035,0.230482094,36.67,29.3,2360.875128,8.033556118392447,0.187228219,4.940658029,0.758656776,4.052042902784863,0.828499422,36.5625,28.7825,2349.9651295,7.954676503475633,0.165382252,2.19441359475,0.4366859695,2.5565865363112015,0.5076636655,0.004132087502150571,0.01435976065868677,0.005260125528165121,0.0069979613758071975,0.11526763734033306,0.8344845362563399,0.5876430605248364,0.5695909849011092,Wet
V10,36.56,28.71,2329.516085,7.941249572922881,0.132885942,0.987118198,0.073660449,0.5543133298479384,0.129792442,36.61,29.51,2355.541037,8.041790621002262,0.15502195,1.241850345,0.185062483,1.193782448227493,0.334172034,36.59,29.07,2342.7591525,7.982425211481341,0.143884336,1.07563415825,0.12715325425000001,0.872518649796747,0.2400080075,6.694424003233335e-4,0.01168915944260949,0.004543272013292672,0.005995534300766949,0.06362281848786917,0.10806143190727223,0.38968896828445554,0.3668340374683701,Wet
V11,36.37,28.45,2316.6125,7.941591869193428,0.130612012,0.977081198,0.122511503,0.9379803673799926,0.092888905,36.63,29.3,2385.505837,8.042885776740297,0.173538235,3.202180346,0.540719787,3.5367227733542523,0.294148198,36.542500000000004,28.814999999999998,2345.01406875,7.981275746151393,0.15512636575,1.5618229945,0.31237265599999997,1.9787395890749626,0.19729891375,0.0032020632265569184,0.012780992901723813,0.012362114774365506,0.00592711477201897,0.1185467775445808,0.7006176301404184,0.6322755272779434,0.4478083834642356,Wet
V12,36.5,28.48,2319.751901,7.94470926351412,0.131215299,0.909244919,0.111785903,0.7537072477855151,0.125171999,36.63,29.38,2356.102916,8.04805275096319,0.163143128,1.077105098,0.25716736,1.7330996685477724,0.236962716,36.5775,28.865,2336.702701,7.986819395236072,0.14585662175,0.96341011075,0.162079054,1.1126162333921812,0.19540873225,0.0015201355403014212,0.013187504805594498,0.006515383239228372,0.005890346177086344,0.09252381843620781,0.07980300662149031,0.4082288840290883,0.24996545154671165,Wet
V13,36.38,28.56,2320.632545,7.932415829182265,0.134742211,1.170206929,0.125666091,0.7639790492153687,0.132612713,36.6,29.43,2350.382849,8.034910979849021,0.164488923,1.410056627,0.34603662,2.19666858535307,1.689881996,36.5325,28.975,2334.6996627500002,7.974779431238349,0.15119339575000001,1.2980921575,0.23977205825,1.5964208231543358,0.5913716904999999,0.0028567206741856614,0.01345692909566586,0.005462850034908242,0.00616655591222137,0.08518553415083574,0.08289427928213756,0.4057655749085169,1.2439674093837934,Wet
V14,36.47,28.53,2322.19,7.915014660600744,0.143002608,2.041695443,0.174607276,1.1072083138847466,0.223881462,36.57,29.4,2354.98,8.015504621165217,0.163235941,3.467295597,0.279610003,1.7908138978480463,0.272426115,36.5125,28.915,2333.84,7.971830465974693,0.1533397065,2.9075597755,0.20405761175,1.330532012022582,0.24225822325000002,0.0011484419149067023,0.014238415251764718,0.006278748078681895,0.006463368975985726,0.055611899553772694,0.20999896279266653,0.24727820592088381,0.08650194643266797,Wet
V15,36.38,28.51,2325.725545,7.937086860496725,0.148246568,0.984003267,0.1682981,1.1352579845221105,0.180377291,36.59,29.4,2352.742306,8.036101701175365,0.179246262,4.175077174,0.529273138,2.9527708533191057,1.451119107,36.5275,28.9,2335.6039275,7.976350365351702,0.162284603,1.95369863775,0.30326941575,1.8218421567752152,0.51705456575,0.0027136031211551417,0.01324254801179489,0.005430609251748703,0.005933978340637073,0.08484084789211134,0.772234149528157,0.51947681174026,1.2054253008992388,Wet
V16,36.55,28.58,2329.885978,7.951601105913203,0.127456354,0.828602813,0.087811031,0.587184252664216,0.178217084,36.64,29.36,2350.500981,8.052399017576992,0.164999397,1.469932526,0.156671188,1.022018698259641,0.387457142,36.5975,28.8675,2339.30751,7.994609012936833,0.1486758305,1.0702695545,0.12591395175,0.8507323707015582,0.27581644,0.0010314686024005702,0.011910924913452301,0.0040368765585537,0.005544187957237637,0.10518529297458322,0.2681313015180378,0.22583282647937147,0.3262642999026293,Wet
V17,36.46,28.46,2325.71,7.921680295036358,0.141331966,2.499244218,0.173705965,1.1354811327233547,0.187577982,36.57,29.28,2351.13,8.021317910894028,0.152980054,2.725595881,0.344684654,2.309892054213322,0.248183791,36.526666666666664,28.903333333333332,2335.4066666666668,7.983720442773668,0.14784437633333333,2.5956917156666663,0.24358760799999998,1.649340416763763,0.22176125833333332,0.0016041609628806958,0.014325167320210122,0.005883297430971461,0.006779977790425243,0.040210068324219764,0.045007600038663914,0.36808829798448517,0.13996716981933946,Wet
V18,36,28.61,2329.31,7.934220317717556,0.141192746,0.858814892,0.110343805,0.7815118561402581,0.164055727,36.6,29.07,2389.34,8.045124811185318,0.201475084,7.738904509,0.669156598,3.321287102677173,4.25986836,36.4375,28.802500000000002,2352.6217500000002,7.976358971809445,0.169997543,2.779959394,0.35287161675,1.918827232756695,1.24235792075,0.008011889167475814,0.006692647136707362,0.011007758402474931,0.006475622451909514,0.17904429414269712,1.1912069366487537,0.7465236102588101,1.620375903255573,Wet
V19,36.52,28.63,2320.615292,7.950193417749299,0.11887111,0.739466183,0.067080879,0.5643160815104695,0.155294887,36.62,29.37,2343.707945,8.047307202028277,0.187056048,1.185435481,0.37666396,2.0136422426715654,0.950458716,36.5725,28.92,2332.9028455,7.9925960119547526,0.14703175575,0.9303102205,0.1584244365,0.9863723569721792,0.37270267474999996,0.0013648669657868049,0.011154690721009889,0.004534551479525496,0.005493049733371275,0.20762666277908245,0.1997303026012873,0.922973274274469,1.0349025460610024,Wet
V2,36.42,28.43,2335.686567,7.9252367683307154,0.147550467,1.036264889,0.232831964,1.3338282256615983,0.163935715,36.64,29.32,2360.453386,8.039916817974959,0.174559182,3.700915433,0.620575938,3.6166385273586528,0.583375924,36.542500000000004,28.815,2346.84460025,7.966006929877351,0.16280667875,1.911820119,0.38461272925,2.3615419701074907,0.3074244705,0.0025118095027277434,0.013567205984080663,0.0046787944361478175,0.006598030655909957,0.07735912662328281,0.6476671996753083,0.43053501082796364,0.6113550733133759,Wet
V20,36.52,28.53,2310.803421,7.930857651646049,0.147596874,1.164669273,0.119176652,0.7160423005550925,0.15511487,36.66,29.4,2347.161306,8.033626688453257,0.166438005,1.495544182,0.28925403,1.8748708471808524,0.465584632,36.595,28.915,2325.32547025,7.97542242785598,0.15425623924999998,1.36281350475,0.18107418225,1.18029025642953,0.2556545075,0.0015855440347523233,0.014238415251764718,0.006679444627277453,0.006170555148783369,0.05595415153427213,0.10463448282855331,0.4408239703290506,0.5539842548260274,Wet
V3,36.43,28.48,2338.368209,7.917425625901645,0.112838235,0.940740334,0.17487767,1.170570021232453,0.223401416,36.63,29.31,2361.344489,8.046582442335957,0.165463464,3.033281857,0.458430097,2.770582011990272,0.66846408,36.55,28.8375,2348.57690275,7.970871915258636,0.1495807615,1.5768784949999999,0.278325635,1.8342764971021568,0.4423174015,0.002321554411556408,0.012446363141633688,0.004807381981405193,0.007107237606659988,0.16610854382735682,0.6294416996541775,0.4670060536566277,0.4140377237796562,Wet
V4,36.54,28.49,2338.301671,7.948435472894355,0.128152455,0.853522262,0.184071041,1.1314548797900899,0.132552707,36.65,29.33,2362.423851,8.05021091697143,0.163003907,1.174706274,0.252300281,1.7597369386618045,0.408759185,36.5775,28.8525,2350.21746375,7.987951849886608,0.14257334575,0.97768687875,0.20486879175,1.4477275190421977,0.27671652675,0.0013646803938552343,0.012245241020313317,0.004352944862947349,0.005670946602546283,0.10500535758902584,0.14741166446304027,0.157875816257036,0.4298002019871006,Wet
V5,36.5,28.47,2321.775911,7.94626126726384,0.116086706,0.891247539,0.135219987,0.8352576752880314,0.147074099,36.61,29.37,2352.301094,8.047674164660059,0.162771874,2.390567731,0.3723549,2.287587473496803,0.470025058,36.565,28.8625,2337.9675345,7.982863913151706,0.14587982500000002,1.32967409825,0.2367526665,1.6531200149656082,0.3228309475,0.0012730060662535974,0.013109145111101303,0.006432838483211966,0.005845844443119876,0.1501308245871782,0.5368785595130159,0.4353488797988468,0.4633979228256932,Wet
V6,36.36,28.34,2335.810823,7.91622854131028,0.141610406,1.491044837,0.134498939,0.9497814659185428,0.125652045,36.58,29.29,2405.71887,8.030438955976145,0.18040643,4.688002503,0.534681004,2.9637580212634327,0.298948658,36.4825,28.7675,2359.93571425,7.96892748278603,0.164546931,2.9299699745,0.31710453875,1.864856117699136,0.2315471965,0.002886780836104913,0.014863314566645197,0.013375449635321937,0.006588401885662157,0.10003143753628749,0.5430889704612153,0.6100869876454501,0.3236160279302652,Wet
V7,36.32,28.53,2332.53922,7.913070487026856,0.148432195,1.628447911,0.168388231,1.1344454685184708,0.162075537,36.58,29.48,2357.65494,8.024370259620593,0.17558013,5.850910131,0.479520773,2.8818809115477038,0.239062917,36.4525,28.9725,2341.45340375,7.967458468723285,0.16452372775000002,3.2701896765,0.307618241,1.8589795921733647,0.2014393105,0.002915088243475749,0.014809182776610202,0.00494852524752637,0.0064403571910543085,0.06971808622587501,0.5802573824666347,0.4784784950601241,0.18086028490611109,Wet
V8,36.46,28.61,2329.224197,7.930211620385833,0.145415758,1.306225589,0.169830328,1.0209512277337116,0.13123258,36.68,29.43,2355.165876,8.031922299916777,0.171403525,3.702299847,0.406694848,2.3727332795518645,0.342932874,36.5675,28.97,2342.36522525,7.974848803492579,0.1604167325,2.1683693095,0.2743598665,1.7063900786567807,0.22059614675,0.00245993551077023,0.012464943103395097,0.004781311489711908,0.005834951700019159,0.07057746871670721,0.5105272482574585,0.3575158058480793,0.41978522351484704,Wet
V9,36.52,28.86,2330.358812,7.93202266004098,0.131586553,1.031073338,0.105927381,0.6669343347531018,0.163515675,36.61,29.45,2354.123837,8.035633837371513,0.158827302,1.543652563,0.244549007,1.6454891056067287,0.264385345,36.572500000000005,29.0825,2340.76039825,7.97488636418586,0.1462278755,1.2095761975,0.1830570665,1.2627015669460873,0.2050696585,0.0011246120882496085,0.009124975163562674,0.004807208273751528,0.006266675873087434,0.07685964186525705,0.18829850455037506,0.33658265919770036,0.2356156651004597,Wet
VSEEP,15.12,26.98,2294.644581,7.025903882158052,0.16495299,3.096964894,0.353787894,2.144780121900185,0.208039943,36.54,30.09,3370.869465,8.019435671518288,2.3580421,447.2495465,18.53571555,11.066166168237368,4.325574659,27.421875,28.426875,2758.524264375,7.5501734841375505,1.0394727530625,183.566386647125,8.1370816225,6.478989244819499,1.6090433742499999,0.313307633911043,0.037903020407035165,0.1464287471259336,0.05134350005282576,0.7324546975169552,0.9252116971882681,0.8531845171615737,0.9602765778693315,Wet
