CowTagID,lat,lon,Location,dist_to_seep_m,alphabetical,pc1
V13,-17.540749,-149.899133,Varari,-54.016009,T,-1.3677744082536922
VSEEP,-17.540302,-149.899331,Varari,0,SEEP,NA
V14,-17.54039696,-149.899396,Varari,12.62318456,A,-0.6444831802744039
V20,-17.54045103,-149.899509,Varari,25.1434552,B,-2.167528707049819
V17,-17.54031901,-149.899572,Varari,25.65062044,C,-0.39832467164083957
V9,-17.540245,-149.899765,Varari,46.50132203,D,-1.455064599718856
V10,-17.54030501,-149.899788,Varari,48.50883373,E,-1.5511728875910031
V19,-17.54050802,-149.89978,Varari,52.88953478,F,-3.505142230819587
V18,-17.54019697,-149.899906,Varari,62.14245647,G,2.6869439449156727
V8,-17.54014903,-149.899896,Varari,62.34195113,H,1.7804263210049254
V7,-17.54004803,-149.899985,Varari,74.95438052,I,2.3891021653143483
V11,-17.54019303,-149.900068,Varari,79.16286546,J,1.5190036267664975
V12,-17.54030996,-149.900112,Varari,82.90297375,K,-1.1658658080118205
V6,-17.54002498,-149.900106,Varari,87.85163569,L,2.0402061809834726
V15,-17.54014299,-149.900183,Varari,92.15051842,M,1.639237858393172
V5,-17.54025003,-149.900336,Varari,106.8312081,N,0.01513414932425876
V4,-17.54024902,-149.900454,Varari,119.3452203,O,-0.6398965852960937
V16,-17.54029797,-149.900492,Varari,123.2336688,P,-3.410200010294734
V3,-17.54012598,-149.90056,Varari,131.9140796,Q,-0.15122394439168035
V2,-17.53989003,-149.900519,Varari,134.1793292,R,2.1901259181347634
V1,-17.53975298,-149.900506,Varari,138.8887466,S,2.1964968685054194
