"CowTagID","X._loss","lat","lon","dist_to_seep_m","shore_dist_m","Minimum_Salinity","Minimum_Temperature","Minimum_TA","Minimum_pH","Minimum_Phosphate_umolL","Minimum_Silicate_umolL","Minimum_NN_umolL","Minimum_NNP_umolL","Minimum_Ammonia_umolL","Maximum_Salinity","Maximum_Temperature","Maximum_TA","Maximum_pH","Maximum_Phosphate_umolL","Maximum_Silicate_umolL","Maximum_NN_umolL","Maximum_NNP_umolL","Maximum_Ammonia_umolL","Mean_Salinity","Mean_Temperature","Mean_TA","Mean_pH","Mean_Phosphate_umolL","Mean_Silicate_umolL","Mean_NN_umolL","Mean_NNP_umolL","Mean_Ammonia_umolL","CV_Salinity","CV_Temperature","CV_TA","CV_pH","CV_Phosphate_umolL","CV_Silicate_umolL","CV_NN_umolL","CV_Ammonia_umolL","sd_Salinity","sd_Temperature","sd_TA","sd_pH","sd_Phosphate_umolL","sd_Silicate_umolL","sd_NN_umolL","sd_NNP_umolL","sd_Ammonia_umolL","Low_Tide_Mean_Salinity","Low_Tide_Mean_Temperature","Low_Tide_Mean_TA","Low_Tide_Mean_pH","Low_Tide_Mean_Phosphate_umolL","Low_Tide_Mean_Silicate_umolL","Low_Tide_Mean_NN_umolL","Low_Tide_Mean_NNP_umolL","Low_Tide_Mean_Ammonia_umolL","Time","N_percent","C_N","pulse_pc1"
"V1",23.90531178,-17.53975298,-149.900506,138.888746616388,22.5,36.22,27.1,2309.516077,7.9048229096102,0.143281048,0.91,0.154868566,1.0808726496752,0.230482094,36.67,29.3,2377.029989,8.06599332264015,0.23,5.11,0.84,4.05204290278486,0.828499422,36.48125,28.24375,2344.84593925,7.99813518253769,0.190191126,2.347206797375,0.53709298475,2.74915483412586,0.45508183275,0.0042803780477668,0.0268912571945198,0.00885528971649135,0.00763831219280367,0.160393455261322,0.725286397545996,0.41720843800097,0.45234833327949,0.156153541655093,0.75950994538772,20.764290132597,0.0610922534844697,0.0305054118591814,1.70239716236359,0.224079725228826,0.954569908852219,0.205855508550238,36.43,28.2875,2355.5664505,7.98354497998953,0.1987122365,3.41604719775,0.69447906475,3.49064986306732,0.61039598625,"All",0.946727778,34.53571429,1.96702525926999
"V10",38.67261905,-17.54030501,-149.899788,48.508833727235,28.5,36.28,26.94,2303.174091,7.94124957292288,0.132885942,0.88,0.073660449,0.554313329847938,0.129792442,36.61,29.51,2363.270608,8.07304079395836,0.22,3.66,0.65,3.0952380952381,0.43,36.47375,28.28,2337.85259625,8.01614827013266,0.179442168,1.426567079125,0.336076627125,1.7049281560672,0.27625400375,0.00369566654428882,0.0334356809737041,0.008280107468313,0.00609769591653661,0.215487784451216,0.649602906348128,0.701847397940373,0.315690267312115,0.134794817619754,0.945561057936353,19.3576707420246,0.0488800345731399,0.0386675952194429,0.926702120700159,0.235874506256258,0.968259869990564,0.0872107002898795,36.45,28.3675,2342.498401,8.014312690105,0.18176250425,1.81897920325,0.4009730665,2.03877307610371,0.2965168885,"All",0.977659115,33.6626506,-1.68668813823539
"V11",30.92994012,-17.54019303,-149.900068,79.1628654576409,34,36.12,26.97,2308.380986,7.94159186919343,0.130612012,0.66,0.122511503,0.937980367379993,0.092888905,36.63,29.3,2385.505837,8.05364284248099,0.23,7.61,1.11,4.82608695652174,1.02,36.4625,28.175,2345.8864265,8.01272860898967,0.183813182875,2.08591149725,0.463686328,2.41108304505508,0.372399456875,0.0045153916979287,0.0288410735378024,0.0110785833954505,0.00577520583667884,0.184753293251815,1.13516672860753,0.654692722324125,0.765037912894969,0.164642469785725,0.812597246927583,25.9890984122356,0.0462751570303607,0.0339600908792544,2.36785733049811,0.303572064382797,1.29338301830186,0.28489970325087,36.4025,28.25,2346.734425,8.00593266830351,0.189106369,3.22989863675,0.64059296125,3.3087303291743,0.33616281325,"All",1.187867605,28.34951456,0.629220463937086
"V12",30.71669794,-17.54030996,-149.900112,82.9029737477621,47,36.28,27.02,2319.751901,7.94470926351412,0.131215299,0.85,0.111785903,0.753707247785515,0.125171999,36.63,29.38,2364.360097,8.05860581841409,0.24,4.18,0.75,3.26086956521739,0.76,36.46125,28.23625,2345.187674125,8.0143084016165,0.182928310875,1.421705055375,0.364789527,1.85591242638335,0.321454366125,0.00382409387105243,0.0287173914668169,0.00637254810881884,0.00546386755808574,0.235045177318541,0.802937817151194,0.652128877657617,0.650558673988631,0.13943124265591,0.810871444804909,14.9448212775705,0.0437891196760863,0.0429964172661955,1.14154075379562,0.237889784823763,0.946441043307196,0.209124926174136,36.415,28.315,2341.67476775,8.0091283648237,0.177267015,1.951961358,0.43589203875,2.2895828679989,0.3598750535,"All",1.101526748,31.12132353,-1.75067271832528
"V13",24.625,-17.540749,-149.899133,-54.0160089962688,NA,36.38,27.22,2320.632545,7.93241582918226,0.134742211,1.07,0.125666091,0.763979049215369,0.132612713,36.6,29.43,2368.647558,8.07033198092348,0.24,1.89,0.59,2.61904761904762,1.689881996,36.5214285714286,28.4485714285714,2341.928935,8.00720227774287,0.182110511857143,1.39748123285714,0.375584033285714,1.98173645058417,0.512212394571429,0.00234173746091855,0.0276172845874815,0.00701375104627437,0.00687672198169498,0.222891793423079,0.202000547864209,0.489034403199167,1.03702094199719,0.0855235974119754,0.785672293250152,16.4257065181565,0.0550633039152325,0.0405909385890334,0.282291974667093,0.183673513569015,0.658706976090108,0.5311749799211,36.505,28.3725,2340.17320225,8.0054678026332,0.18888561225,1.3930262685,0.44368746575,2.30615578209036,0.700546306,"All",0.949033392,36.34156379,-1.52372721020676
"V14",33.95641026,-17.54039696,-149.899396,12.6231845635526,17,36.28,26.97,2307.005078,7.91501466060074,0.143002608,1.45,0.174607276,1.10720831388475,0.223881462,36.57,29.4,2382.973932,8.09379097236841,0.23,3.66,0.6,2.60869565217391,0.69,36.41875,28.205,2334.58966325,8.01061236571851,0.18791985325,2.76752988775,0.349528805875,1.77544387162394,0.346129111625,0.00298071199479995,0.0320400937682895,0.0103460546441431,0.00715330311838071,0.199712207101181,0.273557731595285,0.474113469017392,0.455800953636798,0.108553804960621,0.903690844734604,24.1537922276362,0.0573023384158333,0.0375298886506875,0.757079198215044,0.165716314674903,0.546813562640332,0.157765979160133,36.4025,28.275,2345.11375475,8.01201534915183,0.18928006925,3.1131265185,0.37355431975,1.88899183440276,0.3846371875,"All",0.892337536,36.73913043,-0.605106786576997
"V15",35.00834725,-17.54014299,-149.900183,92.1505184174103,36,36.15,26.87,2313.624865,7.93708686049673,0.148246568,0.65,0.1682981,1.13525798452211,0.180377291,36.59,29.4,2376.479103,8.06272340552685,0.28,7.61,1.08,3.85714285714286,1.451119107,36.4475,28.1675,2336.0471595,8.0051154203022,0.1936423015,2.309349318875,0.451634707875,2.19356898603552,0.442277282875,0.00393449565435804,0.0320949536674747,0.00897120917470415,0.0062664933043077,0.227081737769282,1.04346004430369,0.631806848861017,0.949325551934615,0.143402530362215,0.904034607428593,20.957167709848,0.0501640021815341,0.0439726303302632,2.40971374258601,0.28534590161877,0.878777211768788,0.419865125673451,36.39,28.2425,2345.25953125,8.00535741596001,0.2084394345,3.6462181245,0.55861212775,2.5261746565845,0.25564012675,"All",1.139493642,30.09271523,1.37102813268433
"V16",41.37142857,-17.54029797,-149.900492,123.233668813241,70,36.4,26.91,2321.911981,7.9516011059132,0.127456354,0.66,0.087811031,0.587184252664216,0.178217084,36.64,29.36,2363.988112,8.08884245137269,0.21,1.469932526,0.47,2.23809523809524,0.86,36.5375,28.17375,2343.26512575,8.02486320796272,0.17683791525,1.07013477725,0.256706975875,1.36803535828311,0.36665822,0.00240719560666146,0.0302690511990867,0.00645896479010527,0.00575306047277924,0.183594650552108,0.260133607625226,0.585167703734187,0.572449962718139,0.0879529094783932,0.852792681220269,15.1350669411008,0.0461675233211907,0.032466495254687,0.27837802025126,0.150216631605321,0.608166952115754,0.209893484369299,36.5475,28.225,2344.9584885,8.02765945988637,0.1836363385,1.200470768,0.25112055475,1.28893942332807,0.3089185565,"All",0.876701361,38.21461187,-2.36308241603587
"V17",28.66973039,-17.54031901,-149.899572,25.6506204375272,18.5,36.02,26.98,2314.889032,7.92168029503636,0.141331966,1.25,0.173705965,1.13548113272335,0.187577982,37.05,29.28,2361.397676,8.07542471054167,0.29,7.39,0.99,3.41379310344828,0.33,36.4842857142857,28.0942857142857,2341.16911528571,8.0178236023583,0.196219018428571,3.026725021,0.448680403428571,2.14785350384282,0.265040539285714,0.00859622188613817,0.0322313757396077,0.00753687053467634,0.00596376854285194,0.269923883511696,0.65830995539593,0.605730653926924,0.198669730320738,0.313627015357261,0.905517478993037,17.6450885216912,0.0478164441818802,0.0529641994730931,1.99252321357025,0.271779474172984,0.739815794917654,0.0526555324639558,36.63,28.1975,2345.62927475,8.00549266562117,0.20013826875,3.66871002475,0.48926421475,2.27249239616314,0.25442644825,"All",1.079862347,30.83150183,0.714725840265961
"V18",33.68399533,-17.54019697,-149.899906,62.1424564678648,25,36,27.01,2320.524277,7.93422031771756,0.141192746,0.858814892,0.110343805,0.781511856140258,0.164055727,36.6,29.07,2389.34,8.06491147928196,0.31,7.738904509,1.09,3.51612903225806,4.25986836,36.4225,28.17625,2354.67743725,8.01087239907533,0.2049987715,2.784979697,0.473935808375,2.1446007410816,0.786178960375,0.00629128618875194,0.0275486193772794,0.0102578294085777,0.00638095759085252,0.255342621885121,1.09225673543583,0.654987884584291,1.789953396677,0.229144371209818,0.776216786729068,24.1538794635373,0.0511170370442307,0.0523449237980388,3.0419128321003,0.310422212556287,0.990522267555993,1.40722370051923,36.32,28.3425,2350.87985025,8.00313281572369,0.219570761,4.491727679,0.55812437175,2.3397807674378,1.2862120025,"All",1.167943674,28.9893617,2.6991033537369
