Species,Fine_Trophic,Family
Stegastes sp,Herbivore/Detritivore,Pomacentridae
Wrasse Unknown,Benthic Invertebrate Consumer,Labridae
Pateobatis fai,Benthic Invertebrate Consumer,Dasyatidae
Surgeonfish Unknown,Primary Consumer,Acanthuridae
Parrotfish Unknonwn,Scraper,Scaridae
Crenimugil crenilabrus,Benthic Invertebrate Consumer,Mugilidae
Bodianus perditio,Benthic Invertebrate Consumer,Labridae
Ellochelon vaigiensis,Benthic Invertebrate Consumer,Mugilidae
Bothus spp,Piscivore,Bothidae
Canthigaster solandri,Omnivore,Tetraodontidae
Caracanthus maculatus,Benthic Invertebrate Consumer,Scorpaenidae
Chrysiptera brownriggii,Omnivore,Pomacentridae
Dascyllus flavicaudus,Omnivore,Pomacentridae
Neocirrhites armatus,Benthic Invertebrate Consumer,Cirrhitidae
Paracirrhites arcatus,Benthic Invertebrate Consumer,Cirrhitidae
Plectroglyphidodon dickii,Omnivore,Pomacentridae
Pseudocheilinus hexataenia,Benthic Invertebrate Consumer,Labridae
Sargocentron tiere,Benthic Invertebrate Consumer,Holocentridae
Stegastes nigricans,Omnivore,Pomacentridae
Abudefduf septemfasciatus,Omnivore,Pomacentridae
Abudefduf sexfasciatus,Omnivore,Pomacentridae
Acanthurus nigrofuscus,Cropper,Acanthuridae
Acanthurus triostegus,Cropper,Acanthuridae
Balistapus undulatus,Omnivore,Balistidae
Cantherhines dumerilii,Corallivore,Monacanthidae
Centropyge flavissima,Omnivore,Pomacanthidae
Chaetodon citrinellus,Corallivore,Chaetodontidae
Chaetodon ornatissimus,Corallivore,Chaetodontidae
Chaetodon reticulatus,Corallivore,Chaetodontidae
Chaetodon unimaculatus,Corallivore,Chaetodontidae
Cheilinus chlorourus,Benthic Invertebrate Consumer,Labridae
Cheilio inermis,Benthic Invertebrate Consumer,Labridae
Chlorurus spilurus,Excavator,Scaridae
Coris aygula,Benthic Invertebrate Consumer,Labridae
Ctenochaetus striatus,Brusher,Acanthuridae
Forcipiger flavissimus,Benthic Invertebrate Consumer,Chaetodontidae
Gnatholepis anjerensis,Benthic Invertebrate Consumer,Gobiidae
