Pin,On.Adjacent,Block,Species,MaxN
1,Adjacent,Adjacent 5,Acanthurus nigrofuscus,1
1,Adjacent,Adjacent 5,Caranx melampygus,1
1,Adjacent,Adjacent 5,Chaetodon vagabundus,2
1,Adjacent,Adjacent 5,Chlorurus spilurus,1
1,Adjacent,Adjacent 5,Gomphosus varius,1
1,Adjacent,Adjacent 5,Halichoeres trimaculatus,2
1,Adjacent,Adjacent 5,Mulloidichthys flavolineatus,3
1,Adjacent,Adjacent 5,Parupeneus multifasciatus,1
1,Adjacent,Adjacent 5,Rhinecanthus aculeatus,1
1,Adjacent,Adjacent 5,Stegastes sp,7
1,Adjacent,Adjacent 5,Stethojulis bandanensis,1
1,Adjacent,Adjacent 5,Thalassoma hardwicke,2
1,Adjacent,Adjacent 7,Acanthurus nigrofuscus,1
1,Adjacent,Adjacent 7,Acanthurus triostegus,1
1,Adjacent,Adjacent 7,Chaetodon ephippium,1
1,Adjacent,Adjacent 7,Chaetodon lunula,2
1,Adjacent,Adjacent 7,Chaetodon ulietensis,1
1,Adjacent,Adjacent 7,Epinephelus merra,1
1,Adjacent,Adjacent 7,Halichoeres trimaculatus,2
1,Adjacent,Adjacent 7,Parupeneus multifasciatus,1
1,Adjacent,Adjacent 7,Rhinecanthus aculeatus,2
1,Adjacent,Adjacent 7,Stegastes sp,8
1,Adjacent,Adjacent 7,Stethojulis bandanensis,1
1,Adjacent,Adjacent 7,Thalassoma hardwicke,1
1,Adjacent,Adjacent 7,Zebrasoma scopas,1
1,Adjacent,Adjacent 8,Acanthurus nigrofuscus,1
1,Adjacent,Adjacent 8,Acanthurus triostegus,2
1,Adjacent,Adjacent 8,Carcharhinus melanopterus,1
1,Adjacent,Adjacent 8,Chaetodon ulietensis,1
1,Adjacent,Adjacent 8,Chlorurus spilurus,1
1,Adjacent,Adjacent 8,Halichoeres trimaculatus,4
1,Adjacent,Adjacent 8,Labroides dimidiatus,1
1,Adjacent,Adjacent 8,Stegastes sp,4
1,Adjacent,Adjacent 8,Thalassoma hardwicke,1
1,Adjacent,Adjacent 8,Zebrasoma scopas,1
1,Adjacent,Adjacent F,Acanthurus nigrofuscus,1
1,Adjacent,Adjacent F,Carcharhinus melanopterus,1
1,Adjacent,Adjacent F,Chaetodon lunula,1
1,Adjacent,Adjacent F,Epinephelus merra,1
1,Adjacent,Adjacent F,Halichoeres trimaculatus,5
1,Adjacent,Adjacent F,Parupeneus multifasciatus,1
1,Adjacent,Adjacent F,Scarus psittacus,1
1,Adjacent,Adjacent F,Stegastes sp,5
1,Adjacent,Adjacent F,Stethojulis bandanensis,1
1,Adjacent,Adjacent F,Thalassoma hardwicke,2
1,On,On 4,Acanthurus triostegus,5
1,On,On 4,Balistapus undulatus,1
1,On,On 4,Caranx melampygus,5
1,On,On 4,Centropyge flavissima,1
1,On,On 4,Chaetodon citrinellus,1
1,On,On 4,Cheilinus chlorourus,1
1,On,On 4,Cheilinus trilobatus,3
1,On,On 4,Chlorurus spilurus,36
1,On,On 4,Gomphosus varius,1
1,On,On 4,Halichoeres trimaculatus,1
1,On,On 4,Naso lituratus,1
1,On,On 4,Parupeneus multifasciatus,2
1,On,On 4,Stegastes sp,6
1,On,On 4,Stethojulis bandanensis,1
1,On,On 4,Thalassoma hardwicke,1
1,On,On 6,Acanthurus nigrofuscus,1
1,On,On 6,Acanthurus triostegus,1
1,On,On 6,Balistapus undulatus,1
1,On,On 6,Centropyge flavissima,1
1,On,On 6,Chaetodon lunula,1
1,On,On 6,Cheilinus trilobatus,1
1,On,On 6,Cheilio inermis,1
1,On,On 6,Chlorurus spilurus,3
1,On,On 6,Fistularia commersonii,1
1,On,On 6,Gomphosus varius,2
1,On,On 6,Mulloidichthys flavolineatus,1
1,On,On 6,Stegastes sp,4
1,On,On 6,Thalassoma hardwicke,1
1,On,On 8,Acanthurus nigrofuscus,1
1,On,On 8,Acanthurus triostegus,135
1,On,On 8,Centropyge flavissima,1
1,On,On 8,Cephalopholis argus,1
1,On,On 8,Chaetodon auriga,1
1,On,On 8,Chaetodon citrinellus,2
1,On,On 8,Chaetodon lunula,4
1,On,On 8,Chaetodon reticulatus,1
1,On,On 8,Cheilinus trilobatus,1
1,On,On 8,Cheilinus undulatus,1
1,On,On 8,Chlorurus spilurus,3
1,On,On 8,Epibulus insidiator,1
1,On,On 8,Fistularia commersonii,1
1,On,On 8,Gomphosus varius,1
1,On,On 8,Mulloidichthys flavolineatus,1
1,On,On 8,Rhinecanthus aculeatus,1
1,On,On 8,Scarus psittacus,6
1,On,On 8,Siganus spinus,2
1,On,On 8,Stegastes sp,4
1,On,On 8,Thalassoma hardwicke,4
1,On,On 9,Acanthurus nigrofuscus,1
1,On,On 9,Acanthurus triostegus,1
1,On,On 9,Balistapus undulatus,1
1,On,On 9,Centropyge flavissima,1
1,On,On 9,Chaetodon ephippium,1
1,On,On 9,Cheilinus trilobatus,1
1,On,On 9,Chlorurus spilurus,1
1,On,On 9,Gomphosus varius,1
1,On,On 9,Stegastes sp,6
1,On,On 9,Thalassoma hardwicke,1
