"Placement_Code","Cage_Uncaged","Pin_Number","Metabolomics_Vial","Microbiome_Vial","Slurry_Label","Genotype","Species","Change_Over_Area","Percent_Change","Change_per_day","FSC.Events_per_cm_2","FSC.Events_per_g_dry_weight","CowTagID","Δ15N","Δ13C","δ15N_host","δ15N_symb","δ13C_host","δ13C_symb","C_N_ratio_host","C_N_ratio_symb","δ15N_T0_host","δ15N_T0_symb","δ13C_T0_host","δ13C_T0_symb","Chl_ug.cm.2"
"PAC V01 A","A",1,NA,NA,NA,"PA22","Pocillopora acuta",NA,NA,NA,NA,NA,"V1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAC V01 B","B",1,NA,NA,NA,"PA22","Pocillopora acuta",NA,NA,NA,NA,NA,"V1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAC V01 C","C",1,"PAC 02","PAC 02","PAC 02","PA22","Pocillopora acuta",0.0431596848987483,12.8844660264735,0.211220754532352,18375.2471374667,4859320.34430477,"V1",0.8,-0.0999999999999979,6.8,6,-16.4,-16.3,6.0665362035225,6.51416122004357,6.2,5.8,-15.8,-15.8,2.8855285613122
"PAC V02 C","C",2,"PAC 04","PAC 04","PAC 04","PA21","Pocillopora acuta",0.0332908979237602,12.584177940016,0.206297999016655,3111.72384103326,1128556.16441627,"V2",0.4,0.199999999999999,6.7,6.3,-16.5,-16.7,5.28155339805825,6.82608695652174,5.6,4.7,-19.3,-19.3,1.63045165422296
"PAC V02 B","B",2,"PAC 05","PAC 05","PAC 05","PA21","Pocillopora acuta",0.0317791904182067,7.63950045225739,0.125237712332088,4799.49802469723,1357976.40775242,"V2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74467767273564
"PAC V02 A","A",2,"PAC 06","PAC 06","PAC 06","PA21","Pocillopora acuta",0.0375401196966819,10.1138756454434,0.165801240089236,25410.1555483786,7871404.51850063,"V2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11228474723025
"PAC V03 C","C",3,"PAC 07","PAC 07","PAC 07","PA11","Pocillopora acuta",0.0196958640367719,6.36630271375291,0.104365618258244,6727.1943095309,1677509.13983834,"V3",0.3,-0.0999999999999996,6.6,6.3,-16,-15.9,6.35492227979275,6.40106007067138,5.6,5.3,-16.6,-17,2.12700274256211
"PAC V03 B","B",3,"PAC 08","PAC 08","PAC 08","PA11","Pocillopora acuta",0.0770638394437314,13.6144268488012,0.223187325390183,7409.5915253585,2021592.79657313,"V3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76667444718955
"PAC V03 A","A",3,"PAC 09","PAC 09","PAC 09","PA11","Pocillopora acuta",0.0343078421867598,7.43952441245419,0.12195941659761,13060.9642844382,2971361.52691999,"V3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2322504690858
"PAC V16 C","C",16,"PAC 10","PAC 10","PAC 10","PA22","Pocillopora acuta",0.0168074219134608,5.83059193995915,0.0955834744255599,28970.8019430823,11918702.6261126,"V16",1.6,0.600000000000001,7.7,6.1,-15.2,-15.8,5.72101449275362,6.4589552238806,6.2,5.8,-15.8,-15.8,0.610599137249221
