PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species
T0_PA11,PA11,25,28,157,6067153.5,1.05,NA,NA,NA,NA
T0_PA13,PA13,25,28,145,5716855.0,0.97,NA,NA,NA,NA
T0_PA18,PA18,25,28,640,6871944.5,4.26,NA,NA,NA,NA
T0_PA19,PA19,25,28,200,5916568.5,1.33,NA,NA,NA,NA
T0_PA21,PA21,25,28,141,8188407.5,0.94,NA,NA,NA,NA
T0_PA22,PA22,25,28,282,6299837.0,1.88,NA,NA,NA,NA
PAC V01 C,PAC 02,25,28,521,5656613.0,3.47,1,C,PA22,Pocillopora_acuta
PAC V02 C,PAC 04,25,28,121,4327838.5,0.81,2,A,PR21,Pocillopora_acuta
PAC V02 B,PAC 05,25,28,110,3196454.5,0.73,2,B,PR21,Pocillopora_acuta
PAC V02 A,PAC 06,25,28,751,4111417.8,5.01,2,C,PR21,Pocillopora_acuta
PAC V03 C,PAC 07,25,28,227,4972355.0,1.51,3,A,PA11,Pocillopora_acuta
PAC V03 B,PAC 08,25,28,148,4627758.5,0.99,3,B,PA11,Pocillopora_acuta
PAC V03 A,PAC 09,25,28,327,5231836.5,2.18,3,C,PA11,Pocillopora_acuta
PAC V16 C,PAC 10,25,28,1109,5300318.5,7.39,16,A,PA11,Pocillopora_acuta
PAC V16 B,PAC 11,25,28,324,4785700.5,2.16,16,B,PA11,Pocillopora_acuta
PAC V16 A,PAC 12,25,28,342,4772058.5,2.28,16,C,PA11,Pocillopora_acuta
PAC V04 C,PAC 13,25,28,137,4799020.0,0.91,4,A,PA19,Pocillopora_acuta
PAC V04 B,PAC 14,25,28,311,5525032.5,2.07,4,B,PA19,Pocillopora_acuta
PAC V04 A,PAC 15,25,28,76,4673555.0,0.51,4,C,PA19,Pocillopora_acuta
PAC V05 C,PAC 16,25,28,342,3226977.5,2.28,5,A,PA19,Pocillopora_acuta
PAC V05 B,PAC 17,25,28,177,4712374.5,1.18,5,B,PA19,Pocillopora_acuta
PAC V05 A,PAC 18,25,28,310,4831851.5,2.07,5,C,PA19,Pocillopora_acuta
PAC V15 B,PAC 20,25,28,303,4042272.0,2.02,15,B,PA21,Pocillopora_acuta
PAC V15 A,PAC 21,25,28,274,4431563.0,1.83,15,C,PA21,Pocillopora_acuta
PAC V06 B,PAC 23,25,28,519,4216917.0,3.46,6,B,PA18,Pocillopora_acuta
PAC V06 A,PAC 24,25,28,339,3553019.0,2.26,6,C,PA18,Pocillopora_acuta
PAC V07 C,PAC 25,25,28,536,4718911.5,3.57,7,A,PA13,Pocillopora_acuta
PAC V07 B,PAC 26,25,28,610,5775362.5,4.07,7,B,PA13,Pocillopora_acuta
PAC V07 A,PAC 27,25,28,453,4423729.0,3.02,7,C,PA13,Pocillopora_acuta
PAC V11 B,PAC 29,25,28,186,4668692.0,1.24,11,B,PA18,Pocillopora_acuta
PAC V11 A,PAC 30,25,28,533,4368718.5,3.55,11,C,PA18,Pocillopora_acuta
PAC V12 C,PAC 31,25,28,236,4676591.0,1.57,12,A,PA21,Pocillopora_acuta
PAC V12 B,PAC 32,25,28,101,3362420.5,0.67,12,B,PA21,Pocillopora_acuta
PAC V12 A,PAC 33,25,28,198,3165413.5,1.32,12,C,PA21,Pocillopora_acuta
PAC V08 C,PAC 34,25,28,246,5943475.0,1.64,8,A,PA19,Pocillopora_acuta
