Placement_Code,X,Vial_No_Only,T0_dry_weight.g,T1_dry_weight.g,Change,Change_Over_Area,Percent_Change,Species,Cage_Uncaged,Pin_Number,Genotype,CowTagID,Parameters,Maximum,Minimum,Range,MeanSeasonal,CVSeasonal,lat,lon
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,Salinity,36.67,36.34,0.3299999999999983,36.5625,0.004132087502150571,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,pH,8.033556118392447,7.904822909610202,0.12873320878224526,7.954676503475633,0.0069979613758071975,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,Temperature,29.3,28.38,0.9200000000000016,28.7825,0.01435976065868677,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,TA,2360.875128,2333.14574,27.7293880000002,2349.9651295,0.005260125528165121,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,NN_umolL,0.758656776,0.154868566,0.60378821,0.4366859695,0.5876430605248364,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,Silicate_umolL,4.940658029,1.232851655,3.707806374,2.19441359475,0.8344845362563399,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,Ammonia_umolL,0.828499422,0.230482094,0.5980173280000001,0.5076636655,0.5695909849011092,-17.53975298,-149.900506
PAC V01 C,1,2,20.1085168446619,22.6993918659401,2.59087502127816,0.0431596848987483,0.128844660264735,PAC,C,1,PA22,V1,Phosphate_umolL,0.187228219,0.143281048,0.04394717100000001,0.165382252,0.11526763734033306,-17.53975298,-149.900506
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,Salinity,36.64,36.42,0.2199999999999989,36.5425,0.002511809502727744,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,pH,8.039916817974959,7.9252367683307154,0.11468004964424328,7.966006929877351,0.006598030655909957,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,Temperature,29.32,28.43,0.8900000000000006,28.815,0.013567205984080665,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,TA,2360.453386,2335.686567,24.76681899999994,2346.84460025,0.0046787944361478175,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,NN_umolL,0.620575938,0.232831964,0.387743974,0.38461272925,0.4305350108279637,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,Silicate_umolL,3.700915433,1.036264889,2.664650544,1.911820119,0.6476671996753083,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,Ammonia_umolL,0.583375924,0.163935715,0.419440209,0.3074244705,0.6113550733133759,-17.53989003,-149.900519
PAC V02 A,2,4,23.2259946225381,25.575042836079,2.34904821354087,0.0375401196966819,0.101138756454434,PAC,C,2,PA21,V2,Phosphate_umolL,0.174559182,0.147550467,0.027008715000000016,0.16280667875,0.07735912662328281,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,Salinity,36.64,36.42,0.2199999999999989,36.5425,0.002511809502727744,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,pH,8.039916817974959,7.9252367683307154,0.11468004964424328,7.966006929877351,0.006598030655909957,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,Temperature,29.32,28.43,0.8900000000000006,28.815,0.013567205984080665,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,TA,2360.453386,2335.686567,24.76681899999994,2346.84460025,0.0046787944361478175,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,NN_umolL,0.620575938,0.232831964,0.387743974,0.38461272925,0.4305350108279637,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,Silicate_umolL,3.700915433,1.036264889,2.664650544,1.911820119,0.6476671996753083,-17.53989003,-149.900519
PAC V02 B,3,5,20.185448359273,21.7275157779699,1.54206741869685,0.0317791904182067,0.0763950045225739,PAC,B,2,PA21,V2,Ammonia_umolL,0.583375924,0.163935715,0.419440209,0.3074244705,0.6113550733133759,-17.53989003,-149.900519
